
[00:00:00.000 --> 00:00:03.000]  剛才我說中國人或香港人
[00:00:03.000 --> 00:00:04.400]  我們有很多的節期
[00:00:04.400 --> 00:00:06.200]  猶太人他們也有很多的節期
[00:00:06.200 --> 00:00:09.000]  他們有分不同的節期
[00:00:09.000 --> 00:00:11.800]  有些叫做宗教的節期
[00:00:11.800 --> 00:00:12.400]  為什麼呢?
[00:00:12.400 --> 00:00:16.800]  因為他們的曆法跟我們中國人有部分相似
[00:00:16.800 --> 00:00:18.800]  他們都是有陰曆的
[00:00:18.800 --> 00:00:21.800]  而每個月就由新月開始
[00:00:21.800 --> 00:00:26.000]  每一年他們有354天
[00:00:26.000 --> 00:00:28.400]  所以結合新曆年的時候
[00:00:28.400 --> 00:00:30.000]  或者叫西曆陽曆
[00:00:30.000 --> 00:00:31.400]  就少了11天
[00:00:31.400 --> 00:00:33.800]  每三年他們就孕一月
[00:00:33.800 --> 00:00:38.400]  猶太人他們的宗教年曆是由正月
[00:00:38.400 --> 00:00:39.600]  他們叫做彌散月
[00:00:39.600 --> 00:00:40.800]  所以看聖經的時候
[00:00:40.800 --> 00:00:42.000]  有時候會看到一些名字
[00:00:42.000 --> 00:00:43.200]  我們不是很熟悉的
[00:00:43.200 --> 00:00:48.000]  要對照究竟相對於西曆是什麼年份
[00:00:48.000 --> 00:00:50.000]  有些他們叫做文時曆
[00:00:50.000 --> 00:00:52.400]  是他們的提斯尼月
[00:00:52.400 --> 00:00:56.200]  就是宗教曆七月的時候才是新年
[00:00:56.200 --> 00:00:58.400]  他們的節期有分做什麼呢?
[00:00:58.400 --> 00:00:59.600]  宗教的節期
[00:00:59.600 --> 00:01:00.600]  民間的節期
[00:01:00.600 --> 00:01:01.800]  還有其他的節日
[00:01:01.800 --> 00:01:03.600]  宗教的節期是說
[00:01:03.600 --> 00:01:04.600]  特別在律法書裡面
[00:01:04.600 --> 00:01:09.400]  神吩咐要遵守的七個重要日子
[00:01:09.400 --> 00:01:11.000]  有些是一天的
[00:01:11.000 --> 00:01:12.800]  或者有些是大的節期
[00:01:12.800 --> 00:01:17.400]  你看那幅圖就是紅色和綠色的七個節期
[00:01:17.400 --> 00:01:20.600]  禹節、除教節、七七節、催國節
[00:01:20.600 --> 00:01:22.800]  贖罪日、鑄盤節、嚴肅會
[00:01:22.800 --> 00:01:24.600]  有人就告訴我嚴肅會不是一個節期
[00:01:24.600 --> 00:01:26.800]  但是他們是一個很重要的日子
[00:01:26.800 --> 00:01:29.200]  所以都被記載在其中
[00:01:29.200 --> 00:01:32.400]  而中間有三個節期就是紅色
[00:01:32.400 --> 00:01:33.400]  我應該沒有打錯
[00:01:33.400 --> 00:01:36.200]  紅色的三個是重要的
[00:01:36.200 --> 00:01:38.800]  就是禹節、七七節和鑄盤節
