
[00:00:00.000 --> 00:00:04.440]  今天的講題不是我們一般的一路排下去的
[00:00:04.440 --> 00:00:06.600]  今天的講題是自由題
[00:00:06.600 --> 00:00:12.440]  自由題就是我們講完可以自己選擇經文和訊息
[00:00:12.440 --> 00:00:15.560]  那我今天講的訊息就是
[00:00:15.560 --> 00:00:18.120]  動力全方位
[00:00:18.120 --> 00:00:22.440]  其實我領受的就是我們要進入那個
[00:00:22.440 --> 00:00:25.760]  這個末後的這段路我們要有得力
[00:00:25.760 --> 00:00:27.000]  我們要力上加力
[00:00:27.000 --> 00:00:29.960]  我們要靠著主走前面的路
[00:00:29.960 --> 00:00:34.240]  所以剛才我覺得我們敬拜的時候基本上就是那個訊息
[00:00:34.240 --> 00:00:37.000]  是叫我們一起向前走
[00:00:37.000 --> 00:00:39.040]  Hallelujah
[00:00:39.040 --> 00:00:41.960]  你是不是主與我們同在
[00:00:41.960 --> 00:00:43.480]  沒錯
[00:00:43.480 --> 00:00:47.400]  所以我重點講一下
[00:00:47.400 --> 00:00:50.000]  很重點的
[00:00:50.000 --> 00:00:52.120]  第一個我們請讀這段經文
[00:00:52.120 --> 00:00:54.840]  哥倫多前書九章十六節
[00:00:54.840 --> 00:00:55.840]  請讀
[00:00:59.960 --> 00:01:04.640]  若不傳呼音便有禍了
[00:01:04.640 --> 00:01:06.560]  好 這個是保羅講的
[00:01:06.560 --> 00:01:08.720]  保羅是被差遣
[00:01:08.720 --> 00:01:11.680]  被神呼召做外邦人的使徒
[00:01:11.680 --> 00:01:15.280]  他說他傳呼音他做外邦人的使徒
[00:01:15.280 --> 00:01:16.440]  其實是怎樣的
[00:01:16.440 --> 00:01:18.080]  他說我沒有可誇的
[00:01:18.080 --> 00:01:19.600]  因為我是不得已的
[00:01:19.600 --> 00:01:22.040]  若不傳呼音便有禍了
[00:01:22.040 --> 00:01:24.760]  好 接著十七節
[00:01:24.760 --> 00:01:25.840]  十七節我讀一下
[00:01:25.840 --> 00:01:27.200]  因為我cut了
[00:01:27.200 --> 00:01:28.600]  有的 好
[00:01:28.600 --> 00:01:29.600]  繼續
[00:01:29.600 --> 00:01:32.080]  我若甘心作者是
[00:01:32.080 --> 00:01:33.520]  就有賞賜
[00:01:33.520 --> 00:01:34.800]  若不甘心
[00:01:34.800 --> 00:01:37.480]  責任已經託付我了
[00:01:37.480 --> 00:01:38.160]  好
[00:01:38.160 --> 00:01:39.960]  這個我想講一種的
[00:01:39.960 --> 00:01:42.200]  我想從一個動力去理解一下
[00:01:42.200 --> 00:01:43.480]  如果我是一個人一個
[00:01:43.480 --> 00:01:44.800]  或者一個球體
[00:01:44.800 --> 00:01:47.000]  這種力就叫做推動力
[00:01:47.000 --> 00:01:48.920]  在我們後面的
[00:01:48.920 --> 00:01:51.600]  責任託付我們
[00:01:51.600 --> 00:01:53.840]  若不傳就變有什麼
[00:01:53.840 --> 00:01:55.320]  禍
[00:01:55.320 --> 00:01:57.720]  即是有責任就要問責的
