
[00:00:00.000 --> 00:00:04.000]  今日想同大家一齊睇菲洛比書第二章
[00:00:04.000 --> 00:00:06.000]  第五至十一節
[00:00:06.000 --> 00:00:10.000]  我就揀咗《新漢語聖經》譯本
[00:00:10.000 --> 00:00:12.000]  好似有少少甩咳嘅
[00:00:12.000 --> 00:00:18.000]  不過有啲字翻譯係比較容易了解
[00:00:18.000 --> 00:00:23.000]  所以我就試下同大家用《新漢語聖經》譯本
[00:00:23.000 --> 00:00:26.000]  嚟到去讀呢一段嘅聖經
[00:00:26.000 --> 00:00:28.000]  一齊嚟到去重讀
[00:00:28.000 --> 00:00:34.000]  你們要以基督耶穌的想法為你們的想法
[00:00:34.000 --> 00:00:38.000]  他本有神的形象與神同等
[00:00:38.000 --> 00:00:42.000]  卻不認為這同等要抓住不放
[00:00:42.000 --> 00:00:46.000]  反而倒空自己取了奴僕的形象
[00:00:46.000 --> 00:00:48.000]  成為人的模樣
[00:00:48.000 --> 00:00:50.000]  既有人的樣子
[00:00:50.000 --> 00:00:52.000]  他就自甘卑微
[00:00:52.000 --> 00:00:54.000]  馴服至死
[00:00:54.000 --> 00:00:57.000]  甚至死在十字架上
[00:00:57.000 --> 00:01:00.000]  因此高舉了他
[00:01:00.000 --> 00:01:02.000]  成為至高
[00:01:02.000 --> 00:01:06.000]  且及他那超乎萬名之上的名
[00:01:06.000 --> 00:01:11.000]  至天上的、地下的和地底下的一切
[00:01:11.000 --> 00:01:15.000]  全都屈膝跪拜在耶穌的名字前
[00:01:15.000 --> 00:01:20.000]  全都口裡宣認耶穌基督是主
[00:01:20.000 --> 00:01:23.000]  把榮耀歸給父神
[00:01:23.000 --> 00:01:25.000]  好,我哋一齊祈禱
[00:01:27.000 --> 00:01:31.000]  親愛的主耶穌,萬失都跪拜
[00:01:31.000 --> 00:01:36.000]  萬口都承認耶穌基督是主
[00:01:36.000 --> 00:01:39.000]  我們來到祢的面前去敬拜祢
[00:01:39.000 --> 00:01:44.000]  多謝祢為我們來寫身
[00:01:44.000 --> 00:01:48.000]  為我們來釘在十字架上
[00:01:48.000 --> 00:01:52.000]  上帝來將祢升為至高
[00:01:52.000 --> 00:01:55.000]  我們今天來敬拜祢
[00:01:55.000 --> 00:01:58.000]  恭敬等候在祢的面前
[00:01:58.000 --> 00:02:01.000]  聆聽祢提醒我們的聲音
[00:02:01.000 --> 00:02:03.000]  提醒我們的說話
[00:02:03.000 --> 00:02:09.000]  幫助我們今天如何活出耶穌的模樣
[00:02:09.000 --> 00:02:10.000]  聽我們的祈禱
[00:02:10.000 --> 00:02:12.000]  奉耶穌的聖名祈求
[00:02:12.000 --> 00:02:14.000]  阿們
[00:02:14.000 --> 00:02:18.000]  我不知道你有沒有聽過一個童話故事
[00:02:18.000 --> 00:02:26.000]  有一個王子要找他的太太成為皇后
[00:02:26.000 --> 00:02:29.000]  有一天他去到一個貧窮的村莊
[00:02:29.000 --> 00:02:34.000]  他見到一個很美麗的農家少女
[00:02:34.000 --> 00:02:39.000]  他喜歡了這位少女
[00:02:39.000 --> 00:02:50.000]  想想如何可以娶到這位少女成為皇后
[00:02:50.000 --> 00:02:55.000]  如果我命令她嫁給我
[00:02:55.000 --> 00:02:59.000]  她是否心甘情願
