
[00:00:00.000 --> 00:00:02.800]  儘管是《新經百辰》
[00:00:02.800 --> 00:00:05.820]  但近月踏上教會的講壇
[00:00:05.820 --> 00:00:09.440]  都是一種如臨深淵
[00:00:09.440 --> 00:00:14.760]  如履薄冰的感覺
[00:00:14.760 --> 00:00:16.820]  如果我的訊息
[00:00:16.820 --> 00:00:20.500]  是不可以回應一個時代的處境
[00:00:20.500 --> 00:00:26.100]  是碰不到大家心裏很想觸碰的問題
[00:00:26.100 --> 00:00:33.200]  如常的講道,我就成為一個堅尼地的講員
[00:00:33.200 --> 00:00:35.180]  但如果我的訊息
[00:00:35.180 --> 00:00:39.840]  是碰到一些很現實的問題
[00:00:39.840 --> 00:00:44.240]  就很容易踩到一些顏色的地雷
[00:00:44.240 --> 00:00:46.120]  很多線
[00:00:46.120 --> 00:00:49.120]  輕者,我會被炸傷
[00:00:49.120 --> 00:00:54.760]  重者爆出教會很多潛藏的問題
[00:00:54.760 --> 00:00:56.760]  可想而知這些時間
[00:00:56.760 --> 00:00:59.880]  教會的講壇是怎樣
[00:00:59.880 --> 00:01:01.480]  但我相信
[00:01:01.480 --> 00:01:04.480]  神的話語是不分顏色
[00:01:04.480 --> 00:01:06.540]  神的話語是任何時代
[00:01:06.540 --> 00:01:09.780]  凡有耳聽的都應該聽
[00:01:09.780 --> 00:01:12.880]  所以我不會迴避
[00:01:12.880 --> 00:01:14.980]  但是
[00:01:14.980 --> 00:01:16.720]  我希望
[00:01:16.720 --> 00:01:18.840]  可以向個宗旨
[00:01:18.840 --> 00:01:20.200]  這麼多年來
[00:01:20.200 --> 00:01:21.640]  在傳媒界
[00:01:21.640 --> 00:01:23.160]  在教會
[00:01:23.160 --> 00:01:26.100]  任何宗派請我去講道
[00:01:26.100 --> 00:01:28.640]  只要有期就去
[00:01:28.640 --> 00:01:30.840]  任何組織團體
[00:01:30.840 --> 00:01:35.240]  左中右請我去講堂做培訓
[00:01:35.240 --> 00:01:37.040]  都去
[00:01:37.040 --> 00:01:39.400]  基督徒就當如此
[00:01:39.400 --> 00:01:44.760]  我們不需要有任何的選擇
[00:01:44.760 --> 00:01:52.600]  今日題目很特別
[00:01:52.600 --> 00:01:56.040]  叫「現在怎樣溝通」
[00:01:56.040 --> 00:01:58.040]  「現在」是一個食字
[00:01:58.040 --> 00:01:59.400]  即是怎樣
[00:01:59.400 --> 00:02:01.400]  今時今日處境
[00:02:01.400 --> 00:02:03.080]  怎樣溝通
[00:02:03.080 --> 00:02:05.360]  你可以加個標點符號
[00:02:05.360 --> 00:02:06.280]  加個冚誕號
[00:02:06.280 --> 00:02:07.320]  加個Question Mark
[00:02:07.320 --> 00:02:09.160]  自己加上去
[00:02:09.160 --> 00:02:12.120]  但「現在」是一個屬靈的含義
[00:02:12.120 --> 00:02:14.920]  一個Evangelical的Church
[00:02:14.920 --> 00:02:17.960]  一個Evangelical的Family
[00:02:17.960 --> 00:02:21.920]  我們怎樣去溝通
[00:02:21.920 --> 00:02:27.520]  故事從一間教堂的設計講起
[00:02:27.520 --> 00:02:28.720]  如果去歐洲旅行
[00:02:28.720 --> 00:02:31.720]  指定動作就是參觀教堂
[00:02:31.720 --> 00:02:34.440]  每間教堂可能都有一個歷史故事
[00:02:34.440 --> 00:02:37.720]  是大師的建築手筆
[00:02:37.720 --> 00:02:39.800]  很特別
[00:02:39.800 --> 00:02:42.440]  但這間教堂可能很多人
[00:02:42.440 --> 00:02:44.200]  聽都未聽過
[00:02:44.200 --> 00:02:46.760]  更加很少人去過
[00:02:46.760 --> 00:02:49.120]  我未去過,不過我一定會去
[00:02:49.120 --> 00:02:52.120]  是在南美阿根廷首都
[00:02:52.120 --> 00:02:57.560]  布延諾斯艾利斯的主教座堂
[00:02:57.560 --> 00:02:59.480]  教堂建於十九世紀中葉
[00:02:59.480 --> 00:03:03.000]  亦是獨立戰爭之後
[00:03:03.000 --> 00:03:06.120]  我特意拿一個Close-up
[00:03:06.120 --> 00:03:09.480]  上面是講一個聖經故事
[00:03:09.480 --> 00:03:12.120]  這聖經故事很特別
[00:03:12.120 --> 00:03:13.720]  是一個舊約的故事
