
[00:00:00.000 --> 00:00:03.120]  今天和大家在崇拜的港島
[00:00:03.120 --> 00:00:05.640]  我們會開始有一個新的系列
[00:00:05.640 --> 00:00:08.360]  我們過去都是按照教會
[00:00:08.360 --> 00:00:10.000]  我們今年的主題
[00:00:10.000 --> 00:00:12.480]  「高舉基督,活出照明」
[00:00:12.480 --> 00:00:16.200]  我們從不同的舊約人物來學習
[00:00:16.200 --> 00:00:20.240]  在當中知道如何明白神的心意
[00:00:20.240 --> 00:00:22.280]  在這個世代活出照明
[00:00:22.280 --> 00:00:24.200]  今天我想和大家開展
[00:00:24.200 --> 00:00:28.000]  在我們今年仍然有的崇拜港島裏面
[00:00:28.000 --> 00:00:29.280]  我們有一個新的系列
[00:00:29.280 --> 00:00:32.800]  我們主要會從登山補訓
[00:00:32.800 --> 00:00:35.360]  可能我們也有弟兄姊妹很熟悉的
[00:00:35.360 --> 00:00:38.240]  其中更加熟悉的就是「八福」
[00:00:38.240 --> 00:00:42.400]  在當中我們從耶穌的教導
[00:00:42.400 --> 00:00:46.720]  在祂對天國子民的期望裏面
[00:00:46.720 --> 00:00:48.800]  我們如何去領受
[00:00:48.800 --> 00:00:51.520]  我們要成為一個可以活出
[00:00:51.520 --> 00:00:54.960]  天國子民生命素質的基督徒
[00:00:54.960 --> 00:00:57.080]  這個我相信是在耶穌
[00:00:57.080 --> 00:00:59.480]  在登山補訓裏面給我們的教導
[00:00:59.480 --> 00:01:03.560]  在福音書裏面對我們的要求
[00:01:03.560 --> 00:01:05.520]  所以今天會從大家先來看
[00:01:05.520 --> 00:01:09.400]  「八福」裏面的第一福的開始
[00:01:09.400 --> 00:01:13.640]  可能有些弟兄姊妹很喜歡背聖經
[00:01:13.640 --> 00:01:14.720]  「八福」對你們來說
[00:01:14.720 --> 00:01:15.760]  也是一個很熟悉
[00:01:15.760 --> 00:01:18.320]  你背得到的經文
[00:01:18.320 --> 00:01:20.200]  尤其第一節、第一個福
[00:01:20.200 --> 00:01:22.520]  通常都是比較容易記得的
[00:01:22.520 --> 00:01:25.640]  背到第八個可能都一般般
[00:01:25.640 --> 00:01:29.600]  所以我很想和大家來看「八福」的第一福
[00:01:29.600 --> 00:01:32.320]  也是在馬達福音第五章的第三節
[00:01:32.320 --> 00:01:34.360]  我們通常都會記得
[00:01:34.360 --> 00:01:38.480]  一說到就是「虛心的人有福了」
[00:01:38.480 --> 00:01:41.040]  因為天國是他們的
[00:01:41.040 --> 00:01:43.360]  虛心可能我們都可以
[00:01:43.360 --> 00:01:44.520]  如果簡單的話
[00:01:44.520 --> 00:01:48.360]  我們會想起我們要做一個謙虛的人
[00:01:48.360 --> 00:01:52.000]  我們要有這份虛心
[00:01:52.000 --> 00:01:53.720]  其實這個都是好的
[00:01:53.720 --> 00:01:55.720]  也可以是一個這樣的意思
[00:01:55.720 --> 00:01:59.080]  但我想從另外一些的翻譯
[00:01:59.080 --> 00:02:02.080]  特別能夠將這個「虛心的人」
[00:02:02.080 --> 00:02:05.560]  可以給我們更多的認識
[00:02:05.560 --> 00:02:11.600]  在當中表達一個更精準一點的意義
[00:02:11.600 --> 00:02:13.880]  所以我拿了另外兩個版本
[00:02:13.880 --> 00:02:15.000]  和大家一起來看
[00:02:15.000 --> 00:02:16.960]  也很想邀請大家待會一起讀
[00:02:16.960 --> 00:02:19.600]  這兩個版本就是和學本的修訂版
[00:02:19.600 --> 00:02:21.440]  和現代中文譯本
[00:02:21.440 --> 00:02:25.000]  去將馬達福音第五章三節裡面的翻譯
[00:02:25.000 --> 00:02:25.600]  如果找到的話
[00:02:25.600 --> 00:02:26.960]  我們就讀這兩個版本
[00:02:26.960 --> 00:02:29.640]  和修版和現代中文譯本的版本
[00:02:29.640 --> 00:02:31.520]  我們嘗試去記一下
[00:02:31.520 --> 00:02:34.080]  這個另外一個翻譯的意思
[00:02:34.080 --> 00:02:35.520]  其實也是很好的
[00:02:35.520 --> 00:02:36.480]  我們一起來讀吧
[00:02:36.480 --> 00:02:37.520]  預備起
[00:02:37.520 --> 00:02:41.280]  「心靈貧窮的人有福了」
[00:02:41.280 --> 00:02:44.960]  「因為天國是他們的」
[00:02:44.960 --> 00:02:48.680]  「承認自己靈性貧乏的人」
[00:02:48.680 --> 00:02:50.800]  「多麼有福啊」
[00:02:50.800 --> 00:02:54.600]  「他們是天國的子民」
