
[00:00:00.000 --> 00:00:03.640]  我在年青的時候 特別是考試的時候
[00:00:03.640 --> 00:00:07.640]  最怕聽到以下的一句話
[00:00:07.640 --> 00:00:09.800]  我不知道你有沒有這樣的經歷
[00:00:09.800 --> 00:00:13.160]  就是time's up, pen's down
[00:00:13.160 --> 00:00:15.280]  記不記得這句話
[00:00:15.280 --> 00:00:18.680]  有些人可能不需要 但有些人經歷過
[00:00:18.680 --> 00:00:20.680]  就是當你考公開試的時候
[00:00:20.680 --> 00:00:23.080]  那個試卷員就
[00:00:23.080 --> 00:00:25.080]  time's up, pen's down
[00:00:25.080 --> 00:00:27.080]  put up all your paper and pass up
[00:00:27.080 --> 00:00:33.160]  就是當時間到了 請你停筆 然後把你的試卷交出來
[00:00:33.160 --> 00:00:44.800]  當你還是很急的時候 哎呀 寫選擇題 趁機 當他講完這句話還拼命填的時候
[00:00:44.800 --> 00:00:49.920]  填得多少多少 其實他不收你的試卷 是恩典來的 知不知道
[00:00:49.920 --> 00:00:54.960]  當他一講了 時間到了 你還是動的話 其實有權收你的試卷
[00:00:54.960 --> 00:00:59.280]  取消你的資格 只是他不收 是你的恩典
[00:00:59.280 --> 00:01:04.400]  同樣當我們聽到time's up 或者留意時間到的時候
[00:01:04.400 --> 00:01:06.400]  我們真的要留意
[00:01:06.400 --> 00:01:15.080]  我們今天想借助耶穌在馬可福音記載第一句的說話
[00:01:15.080 --> 00:01:21.720]  第一句的說話 就是在一個翻譯裡面就是time's up 時間到了
[00:01:21.720 --> 00:01:23.720]  或者看看這句說話是怎樣 好嗎
[00:01:23.720 --> 00:01:25.720]  這個是和合本的
[00:01:25.720 --> 00:01:35.160]  他說 1 2 3 4 5 6 日期滿了 神的國近了 你們當悔改順服任
[00:01:35.160 --> 00:01:41.960]  耶穌第一句的說話很簡單 但我發覺這句說話卻是很難演繹
[00:01:41.960 --> 00:01:49.600]  這個是耶穌的宣告 是耶穌 我看看這句說話是耶穌說的還是簡略了
[00:01:49.600 --> 00:01:58.880]  耶穌說的話是要留意 剛剛耶穌說的我們要留意
[00:01:58.880 --> 00:02:03.960]  所以如果上個禮拜受浸的 不知道大家有沒有上個禮拜受浸的弟兄姊妹
[00:02:03.960 --> 00:02:08.080]  或者在筲箕灣最近受浸的 你會有本教會有本聖經送給你的
[00:02:08.080 --> 00:02:16.200]  這本是浸會版的聖經 每逢是耶穌所說的 都有紅色的字
[00:02:16.200 --> 00:02:23.080]  以往沒有的那本都是黑字 但現在是紅字 即是說我們要留意那些字體
[00:02:23.080 --> 00:02:30.280]  請大家如果你打開有紅色字版的聖經 當耶穌所說的時候 你要慢慢的思想
[00:02:30.280 --> 00:02:32.760]  特別是那些心腸教訓
[00:02:32.760 --> 00:02:39.160]  今天想說馬可福音 因為接下來這一季 大家已經開始了每天讀經識二
[00:02:39.160 --> 00:02:43.080]  我們就用馬可福音 我們今天就用馬可福音的開始
[00:02:43.080 --> 00:02:46.760]  馬可福音現在同時可能正在上 是不是 應該是了
[00:02:46.760 --> 00:02:53.080]  就是等一下 是芙蕾福音 就是馬可福音 都還沒有上
[00:02:53.080 --> 00:02:56.280]  不要緊 無論怎樣都好 給大家看看甚麼是芙蕾福音
[00:02:56.280 --> 00:03:00.040]  芙蕾福音就是相同的意思 下一張powerpoint
[00:03:00.040 --> 00:03:05.480]  在聖經裏面 剛才那張是對的 powerpoint
[00:03:05.480 --> 00:03:11.080]  給大家看看芙蕾福音 特別容易看的那些就是相同的
[00:03:11.080 --> 00:03:14.920]  黃色那個就是藥王福音 我們今天不是說芙蕾福音
[00:03:14.920 --> 00:03:19.080]  我只是想借這個給大家看一下 在這個福音書裏面
[00:03:19.080 --> 00:03:24.200]  馬可 馬太 盧迦的內容是相同的 比較是相同的
[00:03:24.200 --> 00:03:26.920]  給大家有個概括認識一下
[00:03:26.920 --> 00:03:31.080]  也都有個重點是關於耶穌基督有個不同的教訓
[00:03:31.080 --> 00:03:34.680]  因為他的重點不同 所以他寫的人的重點都有不同
[00:03:34.680 --> 00:03:39.400]  好 我不詳細在這裏講特別的東西 有機會大家可以再看
[00:03:39.400 --> 00:03:45.720]  不過想分享一下 因為講馬可福音是芙蕾福音最原先的版本
[00:03:45.720 --> 00:03:51.880]  所以大部份的馬太和盧迦都會參照馬可的
[00:03:51.880 --> 00:03:55.320]  那甚麼是芙蕾福音呢 就是用不同的角度看耶穌
[00:03:55.320 --> 00:03:59.320]  舉一個例子 這個例子當我剛剛信耶穌讀神學院的時候
[00:03:59.320 --> 00:04:02.600]  都不是很明晰的時候 這個是一個難題來的
[00:04:02.600 --> 00:04:07.800]  因為在馬可和馬太同樣記載耶穌在風浪裏面
[00:04:07.800 --> 00:04:11.960]  平息風浪 如果大家有興趣可以自己研究一下
[00:04:11.960 --> 00:04:14.520]  馬可福音四章三十五節開始
[00:04:14.520 --> 00:04:19.320]  馬太福音八章 很容易的一個 馬可四 馬太八
[00:04:19.320 --> 00:04:23.160]  都講到平靜風浪 但是當在風浪的時候
[00:04:23.160 --> 00:04:27.480]  耶穌起身的時候 有兩個很不同的演繹方法
[00:04:27.480 --> 00:04:30.600]  馬可福音一開始起身的時候 他就叫甚麼
[00:04:30.600 --> 00:04:35.240]  風平靜 浪平靜 然後向門徒講 為甚麼你們小信
[00:04:35.240 --> 00:04:40.840]  另外在馬太就這樣講 一起身就說
[00:04:40.840 --> 00:04:45.160]  你為甚麼小信呀 講完一輪 其實如果照是還暗暗的
[00:04:45.160 --> 00:04:51.240]  然後就向門徒講 風平靜 浪平靜
[00:04:51.240 --> 00:04:55.080]  如果你明白馬可是一個受苦的基督徒
[00:04:55.080 --> 00:04:59.480]  他希望是一個很活動的 馬可福音是一件很多的事情
[00:04:59.480 --> 00:05:03.240]  那你就明白為甚麼他要先講平靜風浪
[00:05:03.240 --> 00:05:07.720]  然後馬太是教導基督 你就知道為甚麼他要先向門徒講
[00:05:07.720 --> 00:05:10.920]  歷史上是怎樣呢 我們不知道
[00:05:10.920 --> 00:05:13.960]  不過我相信馬可的比較真實一點
[00:05:13.960 --> 00:05:17.320]  就是先按人情的道理 先平靜風浪
[00:05:17.320 --> 00:05:19.640]  暗暗的他都聽不到你甚麼
[00:05:19.640 --> 00:05:21.960]  好 我不詳細的講 不過我想藉著這裡
[00:05:21.960 --> 00:05:25.640]  我們再看回我們今天的題目 叫日期滿了
[00:05:25.640 --> 00:05:28.520]  怎樣來的呢 下一張powerpoint會提醒我們
[00:05:28.520 --> 00:05:33.400]  當日期滿了的時候 應該是上一章 還有一章
[00:05:33.400 --> 00:05:41.640]  這一章就是一個叫做信息的版本message的聖經
[00:05:41.640 --> 00:05:48.040]  這一個翻譯的人 他將我們剛才所讀的這個和合本
[00:05:48.040 --> 00:05:52.840]  日期滿了 神腳近了 你們當悔改順福音
[00:05:52.840 --> 00:05:58.920]  他這樣翻譯 Times up Kingdom is here
[00:05:58.920 --> 00:06:01.080]  Change your life and believe the message
[00:06:01.080 --> 00:06:04.200]  我這樣翻譯 我自己在有這樣翻譯 不過沒有寫在這裡
[00:06:04.200 --> 00:06:09.480]  留意天國在此 我們生活的樣式要合乎
[00:06:09.480 --> 00:06:13.400]  福音是我自己透過這個信息再有些意義回來
[00:06:13.400 --> 00:06:19.240]  留意 留意呀 你們要留意
[00:06:19.240 --> 00:06:26.200]  天國在此 你們生活的樣式要合乎福音
[00:06:26.200 --> 00:06:29.960]  當然我們要留意留意什麼 天國在這裡是什麼意思
[00:06:29.960 --> 00:06:32.360]  生活樣式又是怎樣 合乎福音
[00:06:32.360 --> 00:06:34.840]  我們有少少的解釋在當中
[00:06:34.840 --> 00:06:39.400]  不過希望藉著這四個字 或者這四句簡單的詞
[00:06:39.400 --> 00:06:45.720]  我們去看耶穌第一句的說話
[00:06:45.720 --> 00:06:47.160]  其實耶穌每句說話都很重要
[00:06:47.160 --> 00:06:50.360]  記得上個禮拜五 上個禮拜五
[00:06:50.360 --> 00:06:52.280]  不是剛剛這個 是再上個禮拜五
[00:06:52.280 --> 00:06:55.800]  我們在這裡我們經歷什麼
[00:06:55.800 --> 00:06:57.880]  受苦節的一個崇拜
[00:06:57.880 --> 00:07:01.880]  記得耶穌幕後的七句說話
[00:07:01.880 --> 00:07:05.400]  還記不記得 還記不記得
[00:07:05.400 --> 00:07:08.760]  不記得不要緊 明年再想
[00:07:08.760 --> 00:07:10.360]  第一句說話一定記得
[00:07:10.360 --> 00:07:15.480]  父說赦免他們 他們所作的 他們不曉得
[00:07:15.480 --> 00:07:18.520]  不記得不要緊 只記得聖了
[00:07:18.520 --> 00:07:23.320]  不過今天想說的是耶穌所說的第一句說話
[00:07:23.320 --> 00:07:30.840]  日期滿了 天國近了 你們當悔改順福音
[00:07:30.840 --> 00:07:35.080]  如果剛才大家看我的訊息
[00:07:35.080 --> 00:07:36.760]  當悔改順福音
[00:07:36.760 --> 00:07:40.760]  我是有括著的 英文字的IMP
[00:07:40.760 --> 00:07:45.400]  是這兩個字在聖經裡面 是一個動詞
[00:07:45.400 --> 00:07:47.880]  而且這個動詞裡面是命令
[00:07:47.880 --> 00:07:51.160]  即是悔改是要命令我們要悔改
[00:07:51.160 --> 00:07:54.520]  順福音是要命令我們順福音
[00:07:54.520 --> 00:07:56.200]  不是隨隨便便
[00:07:56.200 --> 00:07:58.280]  好 我們再演繹
[00:07:58.280 --> 00:08:01.880]  第一個我想和大家看這四個大點裡面
[00:08:01.880 --> 00:08:03.720]  拆開四個小點
[00:08:03.720 --> 00:08:06.120]  第一個就是日期滿了
[00:08:06.120 --> 00:08:08.440]  什麼叫日期滿了呢
[00:08:08.440 --> 00:08:11.000]  在呂鎮忠裡面就是時期到了
[00:08:11.000 --> 00:08:12.440]  我最喜歡反映這個
[00:08:12.440 --> 00:08:17.720]  時期到了是一個時間
[00:08:17.720 --> 00:08:19.160]  因為在希臘文裡面
[00:08:19.160 --> 00:08:21.160]  關於時間有兩個演繹的
[00:08:21.160 --> 00:08:26.520]  一個字就是今天是2013年4月7日
[00:08:26.520 --> 00:08:28.120]  大概是10點鐘
[00:08:28.120 --> 00:08:31.640]  這個就是希臘文講一個宇宙一個時間
[00:08:31.640 --> 00:08:33.000]  我們不是講這個
[00:08:33.000 --> 00:08:35.640]  耶穌講的日期滿了這個字是什麼呢
[00:08:35.640 --> 00:08:38.120]  是一個時機 是一個特定的日子
[00:08:38.120 --> 00:08:43.000]  去針對自己在羅馬時代那個時候出世
[00:08:43.000 --> 00:08:45.240]  你會問 今天有人會問
[00:08:45.240 --> 00:08:46.760]  為什麼耶穌在那個時候出世
[00:08:46.760 --> 00:08:48.520]  不是在這個E世代出世
[00:08:48.520 --> 00:08:49.880]  這個E世代一出世
[00:08:49.880 --> 00:08:55.400]  「炸炸聲」所謂的Internet
[00:08:55.400 --> 00:08:57.800]  就會將你們的信息
[00:08:57.800 --> 00:09:02.760]  很快地傳遞到其他地方
[00:09:02.760 --> 00:09:05.160]  為什麼不是在這個時候
[00:09:05.160 --> 00:09:06.280]  我們不知道
[00:09:06.280 --> 00:09:09.080]  但相信耶穌說日期滿就在那個時候
[00:09:09.080 --> 00:09:12.840]  這個日期就是耶穌所講的時機到了
[00:09:12.840 --> 00:09:15.560]  什麼叫時機
[00:09:15.560 --> 00:09:20.840]  我相信在這個馬可福音的時候
[00:09:20.840 --> 00:09:22.360]  耶穌講這個說話
[00:09:22.360 --> 00:09:25.240]  是對當時很大的鼓勵
[00:09:25.240 --> 00:09:27.160]  其實馬可福音的出現
[00:09:27.160 --> 00:09:29.800]  大家知道為什麼嗎
[00:09:29.800 --> 00:09:31.640]  其實馬可福音的出現
[00:09:31.640 --> 00:09:36.760]  是比「貼撒羅尼加前後書」遲很多的
[00:09:36.760 --> 00:09:40.600]  遲大概10年到6年
[00:09:40.600 --> 00:09:42.360]  為什麼呢
[00:09:42.360 --> 00:09:44.680]  因為當耶穌死了之後30年
[00:09:44.680 --> 00:09:46.600]  耶穌死了之後
[00:09:46.600 --> 00:09:48.680]  公元後30年
[00:09:48.680 --> 00:09:51.400]  那些門徒繼續傳福音
[00:09:51.400 --> 00:09:52.680]  但傳著傳著有些東西
[00:09:52.680 --> 00:09:56.120]  到現在保羅我們怎樣面對死亡的問題
[00:09:56.120 --> 00:09:59.000]  所以「貼撒羅尼加前後書」就講了關於死亡的問題
[00:09:59.000 --> 00:10:00.440]  但一直傳傳傳
[00:10:00.440 --> 00:10:02.440]  傳到大概公元後60年
[00:10:02.440 --> 00:10:04.360]  那些人發覺 特別是馬可
[00:10:04.360 --> 00:10:05.800]  那些人說耶穌講過什麼呢
[00:10:05.800 --> 00:10:08.200]  他們開始模糊 他們不記得
[00:10:08.200 --> 00:10:09.720]  因為耶穌還沒有回來
[00:10:09.720 --> 00:10:12.840]  所以他們就開始將耶穌的東西記下
[00:10:12.840 --> 00:10:14.120]  而馬可記的時候
[00:10:14.120 --> 00:10:19.000]  正是尼祿政府將羅馬燒了的時候
[00:10:19.000 --> 00:10:21.320]  就賴誰呢 賴基督徒
[00:10:21.320 --> 00:10:23.480]  你想想在羅馬統治之下
[00:10:23.480 --> 00:10:27.320]  竟然這個羅馬城被人燒了
[00:10:27.320 --> 00:10:30.760]  賴誰呢 賴基督徒
[00:10:30.760 --> 00:10:32.440]  你們燒了我們的城
[00:10:32.440 --> 00:10:37.080]  所以就逼迫捉基督徒拿來燒
[00:10:37.080 --> 00:10:38.280]  扔十字架
[00:10:38.280 --> 00:10:40.920]  所有酷刑都加在基督徒身上
[00:10:40.920 --> 00:10:43.640]  你想想做基督徒收到第一句說話
[00:10:43.640 --> 00:10:45.080]  耶穌說什麼
[00:10:45.080 --> 00:10:48.840]  日期滿了 天國近了
[00:10:48.840 --> 00:10:52.040]  是一個很大的很大的安慰
[00:10:52.040 --> 00:10:54.200]  神的時間到了
[00:10:54.200 --> 00:10:55.720]  神的時間到了
[00:10:55.720 --> 00:10:56.840]  再一次提醒他們
[00:10:56.840 --> 00:10:58.200]  耶穌很快到
[00:10:58.200 --> 00:11:00.440]  當然他們不知道耶穌什麼時候到
[00:11:00.440 --> 00:11:02.600]  但是他們收到的安慰
[00:11:02.600 --> 00:11:06.120]  同樣這個說話在每一個時代都精準的
[00:11:06.120 --> 00:11:09.480]  特別在這一百世紀裡面
[00:11:09.480 --> 00:11:11.960]  經歷過種族的殺戮
[00:11:11.960 --> 00:11:14.840]  越戰 南北越
[00:11:14.840 --> 00:11:16.440]  現在又來的
[00:11:16.440 --> 00:11:19.880]  韓戰 南北韓
[00:11:19.880 --> 00:11:22.120]  南北韓似乎又會再打
[00:11:22.120 --> 00:11:24.600]  又金融時代 地震
[00:11:24.600 --> 00:11:28.120]  很多時候這個都是一個特別的時刻
[00:11:28.120 --> 00:11:29.720]  我們需要什麼
[00:11:29.720 --> 00:11:31.640]  收到一個訊息
[00:11:31.640 --> 00:11:34.600]  收到什麼訊息
[00:11:34.600 --> 00:11:36.360]  時間到了
[00:11:36.360 --> 00:11:39.080]  日期滿了
[00:11:39.080 --> 00:11:40.440]  但是妹妹們
[00:11:40.440 --> 00:11:41.640]  這個訊息
[00:11:41.640 --> 00:11:42.760]  這個時間
[00:11:42.760 --> 00:11:46.600]  我剛才說不是一個歷史的時間
[00:11:46.600 --> 00:11:51.640]  是在上帝裡面一個特定的時機
[00:11:51.640 --> 00:11:56.280]  在這裡每一個人上帝的生命都有一個特別的時機
[00:11:56.280 --> 00:11:57.880]  由你信耶穌的那一刻開始
[00:11:57.880 --> 00:11:59.160]  你不要想著信耶穌
[00:11:59.160 --> 00:12:01.160]  是2010年多少月多少日
