
[00:00:00.000 --> 00:00:03.080]  各位女性姐妹 新年蒙福
[00:00:03.080 --> 00:00:07.480]  大家都很開心
[00:00:07.480 --> 00:00:10.840]  雖然今天是年初六
[00:00:10.840 --> 00:00:14.600]  不過既然是春節後第一個主人
[00:00:14.600 --> 00:00:17.840]  我們都當它是年初一樣
[00:00:17.840 --> 00:00:21.840]  所以在這裏祝大家身心康泰
[00:00:21.840 --> 00:00:25.080]  靈明長進 事主得力
[00:00:25.080 --> 00:00:28.000]  有三個循環
[00:00:28.000 --> 00:00:34.360]  我每年在春節時很喜歡用那年的生肖動物
[00:00:34.360 --> 00:00:36.720]  來和大家分享
[00:00:36.720 --> 00:00:39.040]  生肖會不會迷信呢
[00:00:39.040 --> 00:00:43.680]  生肖在中國人的歷法就是迷信
[00:00:43.680 --> 00:00:46.480]  但是生肖那種動物
[00:00:46.480 --> 00:00:49.160]  絕大部分是上帝創造
[00:00:49.160 --> 00:00:51.680]  或者人類的想象力創造
[00:00:51.680 --> 00:00:53.680]  它本身是無罪的
[00:00:53.680 --> 00:00:56.360]  我們可以從那種動物
[00:00:56.360 --> 00:01:01.080]  來看看神蹟着這些動物的經文
[00:01:01.080 --> 00:01:03.080]  給我們有什麼提示
[00:01:03.080 --> 00:01:05.520]  與其每年年初三
[00:01:05.520 --> 00:01:07.720]  有些社會的領袖
[00:01:07.720 --> 00:01:12.080]  碰巧拿到一支下下籤或者上上籤
[00:01:12.080 --> 00:01:16.960]  嚇得由官到一般百姓都驚到不得了
[00:01:16.960 --> 00:01:20.760]  不如我們每一年去聖經裏面
[00:01:20.760 --> 00:01:25.800]  看看那種動物所呈現的聖經教導
[00:01:25.800 --> 00:01:29.560]  或者屬靈的提示
[00:01:29.560 --> 00:01:32.280]  有什麼作用更加好了
[00:01:32.280 --> 00:01:38.400]  生肖的動物已經不是純粹是占卜
[00:01:38.400 --> 00:01:41.520]  五行深刻這麼簡單
[00:01:41.520 --> 00:01:45.000]  你看看歐美的政治領袖
[00:01:45.000 --> 00:01:47.600]  到日本最近
[00:01:47.600 --> 00:01:53.040]  都是用這些春節和生肖動物話題
[00:01:53.040 --> 00:01:58.200]  作爲政治友好國際友善的宣傳
[00:01:58.200 --> 00:02:00.200]  商場媒體呢
[00:02:00.200 --> 00:02:04.600]  今年那個我是粉紅小豬披齒
[00:02:04.600 --> 00:02:06.600]  紅到不得了
[00:02:06.600 --> 00:02:08.600]  在國內幾乎
[00:02:08.600 --> 00:02:10.600]  無論卡通片
[00:02:10.600 --> 00:02:14.280]  我兩歲的孫都能夠講出他的名字
[00:02:14.280 --> 00:02:16.280]  原來他有個弟弟叫George
[00:02:16.280 --> 00:02:17.520]  我都不知道
[00:02:17.520 --> 00:02:19.520]  兩個都是豬頭豬樣
[00:02:19.520 --> 00:02:21.520]  原來有一個叫George
[00:02:21.520 --> 00:02:23.520]  有個叫Pepper
[00:02:23.520 --> 00:02:25.520]  這樣不同
[00:02:25.520 --> 00:02:28.240]  我們能不能夠傳揚耶穌基督
[00:02:28.240 --> 00:02:30.240]  用豬般智慧
[00:02:30.240 --> 00:02:32.240]  藉着社會的話題
[00:02:32.240 --> 00:02:34.240]  導人入政
[00:02:34.240 --> 00:02:38.080]  和作爲福音的橋樑
[00:02:38.080 --> 00:02:40.080]  我相信是可以的
[00:02:40.080 --> 00:02:42.960]  生肖記裏面有個豬八戒
[00:02:42.960 --> 00:02:46.560]  其實八戒是說人生裏面
[00:02:46.560 --> 00:02:48.560]  八個雷區
[00:02:48.560 --> 00:02:50.560]  好像地雷一樣
[00:02:50.560 --> 00:02:52.560]  你踏進去的話
[00:02:52.560 --> 00:02:54.560]  你的私慾
[00:02:54.560 --> 00:02:56.560]  你的人性就出問題
[00:02:56.560 --> 00:02:58.560]  要禁戒的東西
[00:02:58.560 --> 00:03:00.560]  就是說我們人性必須要
[00:03:00.560 --> 00:03:02.560]  持守的一些
[00:03:02.560 --> 00:03:04.560]  道德信仰原則
[00:03:04.560 --> 00:03:06.560]  戒律不一定是
[00:03:06.560 --> 00:03:08.560]  消極
[00:03:08.560 --> 00:03:10.560]  戒律其實是可以很積極
[00:03:10.560 --> 00:03:12.560]  是代表着
[00:03:12.560 --> 00:03:14.560]  我們行爲
[00:03:14.560 --> 00:03:16.560]  思想言語上
[00:03:16.560 --> 00:03:18.560]  的一個boundary
[00:03:18.560 --> 00:03:20.560]  代表着一個
[00:03:20.560 --> 00:03:22.560]  這樣的boundary
[00:03:22.560 --> 00:03:24.560]  假如
[00:03:24.560 --> 00:03:26.560]  你能夠有所提醒
[00:03:26.560 --> 00:03:28.560]  讓你不越過
[00:03:28.560 --> 00:03:30.560]  這些界限的話
[00:03:30.560 --> 00:03:32.560]  你生命就能夠
[00:03:32.560 --> 00:03:34.560]  在神的恩典和
[00:03:34.560 --> 00:03:36.560]  祝福裏面
[00:03:36.560 --> 00:03:38.560]  聖經有關豬的經文
[00:03:38.560 --> 00:03:40.560]  根據我們舊的
[00:03:40.560 --> 00:03:42.560]  中文和合本大概有
[00:03:42.560 --> 00:03:44.560]  十三節
[00:03:44.560 --> 00:03:46.560]  我們可以將它分成八組
[00:03:46.560 --> 00:03:48.560]  剛剛好
[00:03:48.560 --> 00:03:50.560]  八個戒律
[00:03:50.560 --> 00:03:52.560]  第一
[00:03:52.560 --> 00:03:54.560]  就是要戒
[00:03:54.560 --> 00:03:56.560]  財嘴亂喫
[00:03:56.560 --> 00:03:58.560]  不要什麼都喫
[00:03:58.560 --> 00:04:00.560]  原來聖經裏面
[00:04:00.560 --> 00:04:02.560]  飲食也是
[00:04:02.560 --> 00:04:04.560]  聖潔的一部分
[00:04:04.560 --> 00:04:06.560]  你不要以爲我不想不好的事
[00:04:06.560 --> 00:04:08.560]  我不做不好的事
[00:04:08.560 --> 00:04:10.560]  就喫得開開心心
[00:04:10.560 --> 00:04:12.560]  聖經都說
[00:04:12.560 --> 00:04:14.560]  凡擺在桌上的不要問緣由
[00:04:14.560 --> 00:04:16.560]  無論穿三甲也好
[00:04:16.560 --> 00:04:18.560]  果子狸也好
[00:04:18.560 --> 00:04:20.560]  都照喫
[00:04:20.560 --> 00:04:22.560]  其實飲食
[00:04:22.560 --> 00:04:24.560]  都有聖潔
[00:04:24.560 --> 00:04:26.560]  牧師飲食怎麼聖潔
[00:04:26.560 --> 00:04:28.560]  今天我們要爲
[00:04:28.560 --> 00:04:30.560]  聖靈的電而喫
[00:04:30.560 --> 00:04:32.560]  爲什麼
[00:04:32.560 --> 00:04:34.560]  因爲身體的健康
[00:04:34.560 --> 00:04:36.560]  這個身體就是聖靈的電
[00:04:36.560 --> 00:04:38.560]  能夠承載
[00:04:38.560 --> 00:04:40.560]  上帝在你生命裏面的恩典
