
[00:00:00.000 --> 00:00:03.560]  上一次和大家說我們是新造的人
[00:00:03.560 --> 00:00:04.920]  這真是好
[00:00:04.920 --> 00:00:07.480]  因為我們在新的一年開始
[00:00:07.480 --> 00:00:10.320]  彼此提醒我們這麼重要的身份
[00:00:10.320 --> 00:00:15.440]  在基督耶穌裏面讓我們能夠成為新造
[00:00:15.440 --> 00:00:17.760]  中國人特別好
[00:00:17.760 --> 00:00:20.760]  現在二月了還說新年快樂
[00:00:20.760 --> 00:00:22.520]  說不說新年快樂?
[00:00:22.520 --> 00:00:23.360]  (說)
[00:00:23.360 --> 00:00:24.480]  二月也說?
[00:00:24.480 --> 00:00:26.960]  不是,因為我們又在來什麼?
[00:00:26.960 --> 00:00:29.240]  農曆年嘛
[00:00:29.240 --> 00:00:30.960]  所以
[00:00:30.960 --> 00:00:36.480]  說幾個月新年快樂也不怕
[00:00:36.480 --> 00:00:37.800]  所以我們又很好
[00:00:37.800 --> 00:00:40.240]  經常有新的開始
[00:00:40.240 --> 00:00:45.600]  神給我們恩典
[00:00:45.600 --> 00:00:46.640]  很熟悉的經文
[00:00:46.640 --> 00:00:52.400]  我們看到神給我們有一個新造的身份
[00:00:52.400 --> 00:00:53.760]  因為在基督耶穌裏面
[00:00:53.760 --> 00:00:56.960]  我們都是舊事已過變成新的了
[00:00:56.960 --> 00:00:57.800]  是一個新造的人
[00:00:57.800 --> 00:01:00.760]  上一次和大家說的就是舊造和新造
[00:01:00.760 --> 00:01:02.840]  如果大家記得上兩星期
[00:01:02.840 --> 00:01:04.400]  和大家比較一下
[00:01:04.400 --> 00:01:10.120]  原來神在舊造的時候和新造有很多相關
[00:01:10.120 --> 00:01:12.120]  當然也有一些更新的地方
[00:01:12.120 --> 00:01:15.000]  譬如舊造和新造都是神奇妙的作為
[00:01:15.000 --> 00:01:17.000]  上帝創造了天地萬物
[00:01:17.000 --> 00:01:18.600]  創造了我們肉身的生命
[00:01:18.600 --> 00:01:20.400]  很奇妙
[00:01:20.400 --> 00:01:22.600]  但是在這個新造
[00:01:22.600 --> 00:01:26.240]  在基督耶穌裏叫我們蒙恩得救
[00:01:26.240 --> 00:01:28.400]  有一個靈魂的得救
[00:01:28.400 --> 00:01:30.640]  這個更加奇妙
[00:01:30.640 --> 00:01:31.800]  我們也看到
[00:01:31.800 --> 00:01:34.880]  舊造和新造都是靠聖靈的工作
[00:01:34.880 --> 00:01:37.400]  無論在創世基督神創造萬有的時候
[00:01:37.400 --> 00:01:38.920]  聖靈運行
[00:01:38.920 --> 00:01:40.480]  接著在新造的時候
[00:01:40.480 --> 00:01:45.560]  聖靈更加在我們生命當中賜給我們新生
[00:01:45.560 --> 00:01:48.680]  所以我們一生都要依靠聖靈
[00:01:48.680 --> 00:01:50.880]  因為這個新造的人就是配合
[00:01:50.880 --> 00:01:53.920]  無論舊到新的都是聖靈的工作
[00:01:53.920 --> 00:01:57.040]  我們要配合聖靈來信服聖靈
[00:01:57.040 --> 00:02:01.080]  我們舊造和新造都是藉著神的話語的能力
[00:02:01.080 --> 00:02:03.000]  神說有就有
[00:02:03.000 --> 00:02:05.520]  用祂的話語創造萬有
[00:02:05.520 --> 00:02:06.920]  我們更加感謝神
[00:02:06.920 --> 00:02:08.480]  我們聽了道
[00:02:08.480 --> 00:02:09.480]  了解福音
[00:02:09.480 --> 00:02:10.280]  信主
[00:02:10.280 --> 00:02:11.200]  生命就改變
[00:02:11.200 --> 00:02:12.280]  如果沒有了神的道
[00:02:12.280 --> 00:02:15.880]  我們沒有辦法能夠領受這個新造的生命
[00:02:15.880 --> 00:02:18.960]  所以我們一生都要配合上帝創造的能力
[00:02:18.960 --> 00:02:21.360]  來好好地專注在神的話
[00:02:21.360 --> 00:02:25.520]  進行祂的話語來讓神的話在我們生命當中
[00:02:25.520 --> 00:02:27.320]  藉著聖靈動工
[00:02:27.320 --> 00:02:32.840]  我們舊造和新造都是幫我們從黑暗轉向光明
[00:02:32.840 --> 00:02:35.240]  悔改歸向光明
[00:02:35.240 --> 00:02:36.680]  在創造萬物的時候
[00:02:36.680 --> 00:02:38.280]  第一天就是神說
[00:02:38.280 --> 00:02:40.320]  有光就有了光
[00:02:40.320 --> 00:02:42.440]  所以我們與神同行
[00:02:42.440 --> 00:02:44.960]  就是與這位光明的主同行
[00:02:44.960 --> 00:02:46.760]  離棄黑暗罪惡
[00:02:46.760 --> 00:02:48.720]  追求結出光明的果子
[00:02:48.720 --> 00:02:53.520]  就是一切的良善、正直和誠實
[00:02:53.520 --> 00:02:57.040]  我們在舊造和新造都有一個關鍵的人物
[00:02:57.040 --> 00:02:58.480]  就是亞當
[00:02:58.480 --> 00:03:01.480]  第一個亞當和末後的亞當
[00:03:01.480 --> 00:03:04.240]  當然舊造的亞當犯罪跌倒
[00:03:04.240 --> 00:03:06.280]  所以就引來新的亞當
