
[00:00:00.000 --> 00:00:02.900]  有一套電影是這樣的
[00:00:02.900 --> 00:00:07.240]  在魔鬼湖出現了一條怪魚
[00:00:07.240 --> 00:00:10.820]  大帥為了報一個舊仇
[00:00:10.820 --> 00:00:17.700]  邀請了蝦哥率領他十個兒子去殺這條魚
[00:00:17.700 --> 00:00:20.640]  蝦哥希望為民除害
[00:00:20.640 --> 00:00:23.900]  於是就因言應命
[00:00:23.900 --> 00:00:29.180]  但是十兄弟在陸上的本領雖然高強
[00:00:29.180 --> 00:00:33.180]  去到水裡卻是無用武之地
[00:00:33.180 --> 00:00:38.080]  蝦哥更加被這條怪魚咬上
[00:00:38.080 --> 00:00:41.720]  十兄弟偶然遇到一個奇人
[00:00:41.720 --> 00:00:44.640]  不但治好蝦哥
[00:00:44.640 --> 00:00:46.940]  更加指點他們去仙谷
[00:00:46.940 --> 00:00:52.100]  借寶物去修復這條怪魚
[00:00:52.100 --> 00:00:54.960]  仙谷為處險要
[00:00:54.960 --> 00:00:58.520]  加上大帥又設置了陷阱
[00:00:58.520 --> 00:01:01.940]  沿途險象還生
[00:01:01.940 --> 00:01:05.500]  但是十兄弟十分齊心
[00:01:05.500 --> 00:01:10.940]  他們沒有自此自己的本領去渡過難關
[00:01:10.940 --> 00:01:14.060]  終於奪得寶物而回
[00:01:14.060 --> 00:01:16.580]  將怪魚消滅
[00:01:16.580 --> 00:01:18.300]  大帥老修成路
[00:01:18.300 --> 00:01:21.580]  在岸上射殺蝦哥父子
[00:01:21.580 --> 00:01:25.680]  反而被十兄弟打敗
[00:01:25.680 --> 00:01:28.760]  這裡是什麼電影呢?
[00:01:28.760 --> 00:01:35.320]  有誰可以說得出這套電影的名字呢?
[00:01:35.320 --> 00:01:36.360]  沒錯
[00:01:36.360 --> 00:01:40.300]  是《十兄弟 露海除魔》
[00:01:40.300 --> 00:01:45.420]  這套電影的這條大魚和所謂的水底拍攝
[00:01:45.420 --> 00:01:46.940]  在當年
[00:01:46.940 --> 00:01:49.740]  就是62年前
[00:01:49.740 --> 00:01:51.340]  1960年
[00:01:51.340 --> 00:01:54.000]  已經很先進了
[00:01:54.000 --> 00:01:57.080]  這個寶物是什麼呢?
[00:01:57.080 --> 00:02:01.820]  這個寶物就好像在街邊的水龍頭
[00:02:01.820 --> 00:02:02.880]  當時
[00:02:02.880 --> 00:02:06.100]  他們十兄弟都稱為
[00:02:06.100 --> 00:02:10.100]  「未水童人」的頭盔
[00:02:10.100 --> 00:02:13.220]  他們要在露海除魔
[00:02:13.220 --> 00:02:17.180]  就一定要戴頭盔
[00:02:17.180 --> 00:02:24.940]  除魔 對付魔鬼 一定要戴頭盔
[00:02:24.940 --> 00:02:26.620]  這幅所書
[00:02:26.620 --> 00:02:31.200]  六章 十六到十八節
[00:02:31.200 --> 00:02:32.260]  此外
[00:02:32.260 --> 00:02:35.060]  又拿著信德當作藤牌
[00:02:35.060 --> 00:02:39.620]  可以滅盡那惡者一切的火箭
[00:02:39.620 --> 00:02:42.580]  並戴上救恩的頭盔
[00:02:42.580 --> 00:02:44.580]  拿著聖靈的寶劍
[00:02:44.580 --> 00:02:46.820]  就是神的道
[00:02:46.820 --> 00:02:48.180]  敲著聖靈
[00:02:48.180 --> 00:02:52.340]  隨時多方禱告祈求
[00:02:52.340 --> 00:02:56.300]  上次我們說過
