
[00:00:00.000 --> 00:00:04.040]  上個星期有沒有人在這裡崇拜
[00:00:04.040 --> 00:00:07.560]  記不記得上個星期講了甚麼訊息
[00:00:07.560 --> 00:00:11.560]  蔣老太是不是在這裡
[00:00:11.560 --> 00:00:13.160]  獅子王
[00:00:13.160 --> 00:00:15.640]  有個很特別的題目 獅子王
[00:00:15.640 --> 00:00:16.840]  它講甚麼呢
[00:00:16.840 --> 00:00:21.960]  就說魔鬼好像獅子般遍地尋找可吞
[00:00:21.960 --> 00:00:24.600]  今天當我預備這個訊息的時候
[00:00:24.600 --> 00:00:28.120]  剛好我在找這些例子
[00:00:28.120 --> 00:00:31.040]  發覺看到一個例子講
[00:00:31.040 --> 00:00:34.000]  獅子怎樣去尋找獵物
[00:00:34.000 --> 00:00:35.520]  我覺得挺有趣的
[00:00:35.520 --> 00:00:38.720]  所以上個星期如果你沒有聽
[00:00:38.720 --> 00:00:40.720]  或者你有聽了也好
[00:00:40.720 --> 00:00:42.720]  再重溫一下
[00:00:42.720 --> 00:00:45.680]  其實獅子怎樣去尋找獵物
[00:00:45.680 --> 00:00:49.240]  我相信可能大部分人都會看過
[00:00:49.240 --> 00:00:52.360]  不多不少都會看過一些動物的紀錄片
[00:00:52.360 --> 00:00:56.960]  講獅子怎樣去捕獵
[00:00:56.960 --> 00:01:00.240]  怎樣去捕獵牠們的食物
[00:01:00.240 --> 00:01:02.240]  預備牠們的晚餐
[00:01:02.240 --> 00:01:04.240]  可以看看這張
[00:01:04.240 --> 00:01:11.200]  這裡是講獅子怎樣去覓食
[00:01:11.200 --> 00:01:16.320]  圖中你看到一些獅子和一些水牛
[00:01:16.320 --> 00:01:17.760]  可能也不會很陌生
[00:01:17.760 --> 00:01:19.400]  如果你看過那些動物紀錄片
[00:01:19.400 --> 00:01:24.720]  你會知道牠們通常是一小群的獅子
[00:01:24.720 --> 00:01:29.280]  牠發現到特別去捕一些走失了的
[00:01:29.280 --> 00:01:32.760]  或者稍微走遠一點離群的動物
[00:01:32.760 --> 00:01:34.760]  這裡特別是一隻水牛
[00:01:34.760 --> 00:01:38.640]  牠看到的時候通常會蜂擁而上
[00:01:38.640 --> 00:01:43.040]  一隻會駛著牠的後肘
[00:01:43.040 --> 00:01:46.160]  另外那些又是爬著牠
[00:01:46.160 --> 00:01:48.160]  然後看看下一張
[00:01:48.160 --> 00:01:52.600]  之後那些最好有一些會爬上牠的背部
[00:01:52.600 --> 00:01:54.840]  盡量將牠拖慢
[00:01:54.840 --> 00:01:59.480]  拖慢了之後那群的獅子就會上
[00:01:59.480 --> 00:02:02.200]  你知道那個後果會是怎樣
[00:02:02.200 --> 00:02:04.440]  很多時候
[00:02:04.440 --> 00:02:09.240]  當一隻水牛被一些獅子圍捕
[00:02:09.240 --> 00:02:11.800]  或者壓低了 已經開始跑了
[00:02:11.800 --> 00:02:12.680]  很有趣的
[00:02:12.680 --> 00:02:15.920]  其實離那個現場不是很遠
[00:02:15.920 --> 00:02:17.680]  可能一百米左右
[00:02:17.680 --> 00:02:24.400]  其實你會看到另外一大群的水牛是在這裡的
[00:02:24.400 --> 00:02:28.200]  我不知道那些其他的水牛是在想些什麼
[00:02:28.200 --> 00:02:30.360]  又或者牠們懂不懂得思考
[00:02:30.360 --> 00:02:32.160]  我不知道 因為我不是
[00:02:32.160 --> 00:02:34.040]  但如果牠們會思考的話
[00:02:34.040 --> 00:02:36.920]  我猜啦 我猜牠們會這樣想
[00:02:36.920 --> 00:02:39.160]  哇 幸好不是我
[00:02:39.160 --> 00:02:41.960]  就是看著那隻被獅子咬著
[00:02:41.960 --> 00:02:44.600]  或者已經捕捉住了 開始咬牠
[00:02:44.600 --> 00:02:47.400]  那群水牛如果懂得思考我猜
[00:02:47.400 --> 00:02:48.680]  哇 幸好不是我
[00:02:48.680 --> 00:02:53.400]  咬著咬著牠 幸好不是我
[00:02:53.400 --> 00:02:56.280]  當魔鬼好像獅子
[00:02:56.280 --> 00:02:58.040]  聖經說魔鬼好像獅子
[00:02:58.040 --> 00:03:01.160]  咆哮的獅子去找獵物的時候
[00:03:01.160 --> 00:03:05.600]  牠會令到很多的基督徒對教會不滿
[00:03:05.600 --> 00:03:09.160]  或者弟兄姊妹之間不和
[00:03:09.160 --> 00:03:12.680]  然後牠會再加劇那個的攻擊
[00:03:12.680 --> 00:03:14.560]  可能令到那個人生病
[00:03:14.560 --> 00:03:15.760]  或者令到他失業
[00:03:15.760 --> 00:03:17.280]  或者令到他有很多的問題
[00:03:17.280 --> 00:03:20.520]  然後令到他再加劇埋怨神
[00:03:20.520 --> 00:03:22.640]  埋怨教會 埋怨弟兄姊妹
[00:03:22.640 --> 00:03:25.720]  那個人真是壞 令到我這樣
