
[00:00:00.000 --> 00:00:09.200]  我想問問羅亞這個人
[00:00:09.200 --> 00:00:14.300]  大家應該聽過,誰聽過羅亞這個人的?
[00:00:14.300 --> 00:00:16.300]  請你舉手好嗎?
[00:00:16.300 --> 00:00:20.100]  哦,都不少
[00:00:20.100 --> 00:00:24.200]  不緊要的,這個遊戲是問答遊戲,有獎的
[00:00:24.200 --> 00:00:28.300]  總之一問一答,你答得到就有禮物
[00:00:28.300 --> 00:00:30.300]  禮物很實用
[00:00:30.300 --> 00:00:35.300]  我想問問,一起在羅亞
[00:00:35.300 --> 00:00:39.300]  其實是和什麼有關,他做過什麼?
[00:00:39.300 --> 00:00:42.300]  你大聲叫出來,你舉手
[00:00:42.300 --> 00:00:45.300]  Eva,大聲叫出來
[00:00:45.300 --> 00:00:51.300]  Eva,起方舟
[00:00:51.300 --> 00:00:54.300]  造船起方舟,OK
[00:00:54.300 --> 00:00:59.300]  這一條比較簡單的題目,禮物都比較細分
[00:00:59.300 --> 00:01:04.300]  所以你得到一塊麵包,待會你可以去拿
[00:01:04.300 --> 00:01:06.300]  待會可以拿
[00:01:06.300 --> 00:01:10.300]  第二題,第二題,都是簡單一點的
[00:01:10.300 --> 00:01:12.300]  有禮物的,我都講了
[00:01:12.300 --> 00:01:17.300]  羅亞出現在聖經哪一卷的書裡面?
[00:01:17.300 --> 00:01:19.300]  Joseph
[00:01:19.300 --> 00:01:27.300]  創世紀,因為你是基督徒,所以你的禮物是牛油一塊的
[00:01:27.300 --> 00:01:29.300]  待會可以在這裡拿
[00:01:29.300 --> 00:01:32.300]  非常開心,都說有禮物
[00:01:32.300 --> 00:01:34.300]  講了
[00:01:34.300 --> 00:01:40.300]  我找一題重要一點
[00:01:40.300 --> 00:01:43.300]  深一點
[00:01:43.300 --> 00:01:46.300]  羅亞一家有多少口?
[00:01:46.300 --> 00:01:49.300]  誰答了八口?Siki是不是?
[00:01:49.300 --> 00:01:52.300]  Siki答了八口
[00:01:52.300 --> 00:01:56.300]  你會有湯一碗,自己舀吧
[00:01:56.300 --> 00:02:02.300]  這些禮物根據難度不同
[00:02:02.300 --> 00:02:11.300]  羅亞為什麼要造這個船呢?
[00:02:11.300 --> 00:02:24.300]  為什麼?是綠色衣服的老友記
[00:02:24.300 --> 00:02:29.300]  上帝跟他說的
[00:02:29.300 --> 00:02:33.300]  因為他是二人,非常好
[00:02:33.300 --> 00:02:35.300]  你是老友記
[00:02:35.300 --> 00:02:38.300]  上帝知道他是二人,所以他要建一個方舟
[00:02:38.300 --> 00:02:42.300]  這一題難一點,所以你可以有沙律一碟
[00:02:42.300 --> 00:02:45.300]  待會麻煩自己拿
