
[00:00:00.000 --> 00:00:07.060]  今天是會講傳道書的最後一講
[00:00:07.060 --> 00:00:17.160]  這一講也是我為大家做這本書的一個總結、一個結論
[00:00:17.160 --> 00:00:22.480]  究竟傳道書講什麼呢?
[00:00:22.480 --> 00:00:32.520]  傳道者想讀者得到什麼訊息呢?
[00:00:32.520 --> 00:00:36.520]  傳道者詳細研究人生
[00:00:36.520 --> 00:00:39.920]  他研究了很久、很認真研究之後
[00:00:39.920 --> 00:00:42.120]  他得到一個結論
[00:00:42.120 --> 00:00:48.360]  結論是我們要用屬靈的眼睛來看屬世的事物
[00:00:48.360 --> 00:00:58.000]  這樣我們才可以明白或較為明白這個世界究竟是怎麼一回事
[00:00:58.000 --> 00:01:05.560]  還有追求屬靈的事比追求屬世的事更加重要
[00:01:05.560 --> 00:01:08.200]  屬靈的事有永恆價值
[00:01:08.200 --> 00:01:12.760]  屬世的事遲早都會過去
[00:01:12.760 --> 00:01:15.360]  這個就是結論
[00:01:15.360 --> 00:01:21.080]  也是今天要跟大家講的訊息
[00:01:21.080 --> 00:01:27.520]  我們看傳道書十二章第八節
[00:01:27.520 --> 00:01:34.680]  傳道者說:虛空的虛空,凡事都是虛空
[00:01:34.680 --> 00:01:40.000]  這是傳道者對人生整體的一個結論
[00:01:40.000 --> 00:01:48.480]  他其實也是回應他最初在一章二節所定的主題
[00:01:48.480 --> 00:01:56.400]  整捐傳道書是一個人生哲學或研究的報告
[00:01:56.400 --> 00:02:01.240]  如果我們做研究當然要定一個主題
[00:02:01.240 --> 00:02:04.520]  然後去找資料證明你的主題是對的
[00:02:04.520 --> 00:02:07.320]  然後你就下一個結論
[00:02:07.320 --> 00:02:09.080]  他正正都是這樣
[00:02:09.080 --> 00:02:11.640]  一章二節定了一個主題
[00:02:11.640 --> 00:02:14.720]  人生是絕對虛空
[00:02:14.720 --> 00:02:18.960]  現在十二章八節他就完結了
[00:02:18.960 --> 00:02:24.640]  他結論也說人生是虛空
[00:02:24.640 --> 00:02:29.600]  傳道者認為世人一生所做的事都是沒有意義的
[00:02:29.600 --> 00:02:32.760]  沒有永久的價值或目的
[00:02:32.760 --> 00:02:37.600]  最終因為一切都會過去
[00:02:37.600 --> 00:02:40.640]  為了證明他的看法
[00:02:40.640 --> 00:02:46.320]  於是他就用了十一章半的經文篇幅
[00:02:46.320 --> 00:02:49.600]  來解釋他的觀點
[00:02:49.600 --> 00:02:52.120]  或者要去證明他的觀點
[00:02:52.120 --> 00:02:56.960]  他是從多方面去研究、去思考、去觀察
[00:02:56.960 --> 00:02:59.800]  所得到的觀點
[00:02:59.800 --> 00:03:03.080]  不是隨便說出來的
[00:03:03.080 --> 00:03:06.200]  是深思熟慮的
[00:03:06.200 --> 00:03:10.440]  現在我就先跟大家去溫習一下
[00:03:10.440 --> 00:03:15.120]  前面的十一章半的聖經究竟是說些什麼
[00:03:15.120 --> 00:03:18.640]  我在裡面當然十一章半的聖經讀也要很長時間
[00:03:18.640 --> 00:03:28.680]  我就將裡面其中一些我認為很精彩的聖經引述出來
[00:03:28.680 --> 00:03:31.920]  請大家去再想一想、回味一下
[00:03:31.920 --> 00:03:38.920]  看看你同不同意傳道者所定的一個結論
[00:03:38.920 --> 00:03:42.360]  這些經文我覺得是非常精彩的
[00:03:42.360 --> 00:03:50.080]  所以請大家細心去留意、去聽
[00:03:50.080 --> 00:03:55.000]  我們看一章四節
[00:03:55.000 --> 00:03:57.000]  一代過去 一代又來
[00:03:57.000 --> 00:04:00.400]  地卻永遠長存
[00:04:00.400 --> 00:04:03.840]  日出日落 一代一代的過去
