
[00:00:00.000 --> 00:00:02.000]  我們繼續去探討
[00:00:02.000 --> 00:00:06.640]  如果你看回今天PowerPoint的題目
[00:00:06.640 --> 00:00:12.680]  你會看到今天我們已經進入了變臉的正傳
[00:00:12.680 --> 00:00:14.180]  我們已經說了
[00:00:14.180 --> 00:00:16.180]  我們有變臉前傳
[00:00:16.180 --> 00:00:17.860]  有變臉正傳
[00:00:17.860 --> 00:00:19.860]  然後有變臉後傳
[00:00:19.860 --> 00:00:23.440]  在變臉前傳的時候
[00:00:23.440 --> 00:00:29.240]  我想和大家溫習一下我們過去曾經看過的信息
[00:00:29.240 --> 00:00:31.240]  如果大家沒有的話
[00:00:31.240 --> 00:00:33.040]  如果你錯過了的話
[00:00:33.040 --> 00:00:35.040]  可以在YouTube裡面重溫
[00:00:35.040 --> 00:00:36.240]  一開始的時候
[00:00:36.240 --> 00:00:41.020]  耶穌和一幫門徒去到蓋薩利亞菲勒比
[00:00:41.020 --> 00:00:43.480]  一個對他們絕對不利的地方
[00:00:43.480 --> 00:00:44.480]  就問耶穌
[00:00:44.480 --> 00:00:45.980]  耶穌就問他們
[00:00:45.980 --> 00:00:48.140]  你說我是誰?
[00:00:48.140 --> 00:00:50.880]  我們看就是「請問我是誰?」
[00:00:50.880 --> 00:00:52.880]  這是我們第一次看的
[00:00:52.880 --> 00:00:56.580]  在《馬太福音》第十六章的第十三到二十節
[00:00:56.580 --> 00:01:00.840]  這個地方是充滿了偶像的廟宇
[00:01:00.840 --> 00:01:06.260]  還有就是為君王而設的那個廟宇
[00:01:06.260 --> 00:01:07.920]  就是蓋薩的廟宇
[00:01:07.920 --> 00:01:10.520]  但是耶穌那時候只是粗衣麻布
[00:01:10.520 --> 00:01:16.040]  跟隨的人只不過是一些市井平民
[00:01:16.040 --> 00:01:19.060]  但是耶穌問你說我是誰呢?
[00:01:19.060 --> 00:01:23.640]  很多門徒就說到你是以利 你是施洗約翰
[00:01:23.640 --> 00:01:26.500]  你是先知的其中一位
[00:01:26.500 --> 00:01:31.060]  但是只有彼得就說你是尼塞亞永生神的兒子
[00:01:31.060 --> 00:01:33.220]  我們就看第二部分了
[00:01:33.220 --> 00:01:35.940]  就是「悟道德福」
[00:01:35.940 --> 00:01:41.280]  彼得他竟然看出耶穌就是尼塞亞
[00:01:41.280 --> 00:01:46.380]  所以耶穌說這個絕對不是你自己憑肉眼所看到的
[00:01:46.380 --> 00:01:48.540]  有神的靈來啟示你
[00:01:48.540 --> 00:01:51.280]  他答對了這個題目的話
[00:01:51.280 --> 00:01:52.880]  主耶穌不僅稱讚他
[00:01:52.880 --> 00:01:59.400]  第三部分就是「悟道德權」 馬當第十六章十七到二十節
[00:01:59.400 --> 00:02:03.440]  主耶穌說你要成為一個盤石
[00:02:03.440 --> 00:02:06.760]  教會要建基在你這個盤石上
[00:02:06.760 --> 00:02:09.060]  是很重要的
[00:02:09.060 --> 00:02:12.620]  但是很可惜 彼得聽到主耶穌一說
[00:02:12.620 --> 00:02:16.460]  我其實是要為人受死 但是我會復活的
[00:02:16.460 --> 00:02:19.440]  但是彼得很愛耶穌 馬上拉著耶穌
[00:02:19.440 --> 00:02:22.120]  跟耶穌說 不要啊 你不要死啊
[00:02:22.120 --> 00:02:27.040]  我們看第四點 馬當第十六章二十一到二十三節
[00:02:27.040 --> 00:02:29.240]  就是「悟道受責」
[00:02:29.240 --> 00:02:32.840]  這個「悟道」跟前面的「悟道」是不同的
[00:02:32.840 --> 00:02:36.000]  前面是領悟了「悟」 不領悟了神的「道」
[00:02:36.000 --> 00:02:38.500]  於是得到讚賞 得到權柄
[00:02:38.500 --> 00:02:41.120]  但是現在是亂說話的「悟道」
[00:02:41.120 --> 00:02:44.920]  說錯話了 被主耶穌責備他
