
[00:00:00.000 --> 00:00:02.720]  讓我們平安
[00:00:02.720 --> 00:00:05.600]  剛才聽到這段經文
[00:00:05.600 --> 00:00:06.880]  最為人熟悉
[00:00:06.880 --> 00:00:08.760]  可能就是耶穌說
[00:00:08.760 --> 00:00:11.680]  你們中間誰是沒有罪的
[00:00:11.680 --> 00:00:15.160]  誰就可以先拿石頭打他
[00:00:15.160 --> 00:00:17.280]  我們今天不單止去理解
[00:00:17.280 --> 00:00:20.160]  耶穌說出來的話
[00:00:20.160 --> 00:00:22.240]  我們也去想想
[00:00:22.240 --> 00:00:25.600]  耶穌在那一刻的舉動
[00:00:25.600 --> 00:00:28.640]  為何祂會彎著腰
[00:00:28.640 --> 00:00:31.920]  在地上畫字呢
[00:00:31.920 --> 00:00:33.960]  祂的身體語言
[00:00:33.960 --> 00:00:35.480]  微妙動作
[00:00:35.480 --> 00:00:41.200]  究竟是想表達甚麼意思呢
[00:00:41.200 --> 00:00:44.360]  在剛才經文的前一章
[00:00:44.360 --> 00:00:45.680]  就會說出
[00:00:45.680 --> 00:00:50.200]  耶穌陷在這個兩難局面的起因
[00:00:50.200 --> 00:00:55.280]  耶穌已經知道猶太人想要殺祂
[00:00:55.280 --> 00:01:00.080]  加利利是耶穌成長熟悉的地方
[00:01:00.080 --> 00:01:03.560]  可以說是耶穌的地頭
[00:01:03.560 --> 00:01:05.840]  耶穌仍然由加利利
[00:01:05.840 --> 00:01:09.440]  去到耶路撒冷的這個駐棒節
[00:01:09.440 --> 00:01:12.520]  因為這是一個大節
[00:01:12.520 --> 00:01:13.840]  各處的猶太人
[00:01:13.840 --> 00:01:17.840]  都會來到聖殿所在的耶路撒冷
[00:01:17.840 --> 00:01:20.080]  反對祂的宗教領袖
[00:01:20.080 --> 00:01:24.160]  更加會雲集在這個地方
[00:01:24.160 --> 00:01:27.160]  而耶穌還在節期當中
[00:01:27.160 --> 00:01:30.240]  去到聖殿教訓人
[00:01:30.240 --> 00:01:32.160]  對於那些已經
[00:01:32.160 --> 00:01:36.200]  對耶穌非常不滿的宗教領袖
[00:01:36.200 --> 00:01:39.080]  洗屍長、發彌賽人
[00:01:39.080 --> 00:01:40.480]  對他們來說
[00:01:40.480 --> 00:01:42.520]  耶穌在聖殿的活動
[00:01:42.520 --> 00:01:44.800]  是公然的挑戰
[00:01:44.800 --> 00:01:48.240]  更加令他們急切地打發人
[00:01:48.240 --> 00:01:52.040]  去捉拿耶穌
[00:01:52.040 --> 00:01:54.400]  根據摩西的律法
[00:01:54.400 --> 00:01:57.160]  駐棒節要守七天
[00:01:57.160 --> 00:02:00.080]  而第八天當為聖會
[00:02:00.080 --> 00:02:02.960]  且要獻祭
[00:02:02.960 --> 00:02:04.760]  到了耶穌時代
[00:02:04.760 --> 00:02:07.040]  在那七天裡
[00:02:07.040 --> 00:02:09.880]  祭司會在聖殿的園子裡
[00:02:09.880 --> 00:02:13.120]  去進行一個澱水的儀式
[00:02:13.120 --> 00:02:17.120]  將水倒在地上
[00:02:17.120 --> 00:02:20.160]  這個禮儀有兩個典故
[00:02:20.160 --> 00:02:22.600]  第一是紀念神
[00:02:22.600 --> 00:02:25.720]  帶領以色列人出埃及時
[00:02:25.720 --> 00:02:31.320]  神在曠野供應他們祖先的需要
[00:02:31.320 --> 00:02:36.000]  第二是神曾經應許
[00:02:36.000 --> 00:02:40.400]  以西傑、若爾、撒加利亞幾位先知
[00:02:40.400 --> 00:02:41.800]  他說有一天
[00:02:41.800 --> 00:02:44.560]  沒水要由聖殿流出
[00:02:44.560 --> 00:02:46.400]  滋養土地
[00:02:46.400 --> 00:02:50.160]  連曠野都會充滿生命
[00:02:50.160 --> 00:02:54.040]  現在他們將水倒在地上
[00:02:54.040 --> 00:02:59.000]  就是祈求神的應許實現
[00:02:59.000 --> 00:03:02.560]  耶穌在這個節期最後一天
[00:03:02.560 --> 00:03:07.080]  也就是沒有澱水儀禮儀的那一天
[00:03:07.080 --> 00:03:10.920]  同樣是猶太人認為最隆重的那一天
[00:03:10.920 --> 00:03:13.720]  耶穌在聖殿裡說
[00:03:13.720 --> 00:03:18.720]  「人若渴了,可以到我者裡來渴」
[00:03:18.720 --> 00:03:21.240]  經文形容耶穌
[00:03:21.240 --> 00:03:25.360]  「站著並且高聲說」
[00:03:25.360 --> 00:03:30.280]  高聲說是勇敢而含糊的聲明
[00:03:30.280 --> 00:03:35.440]  是耶穌公開高調地作出宣告
[00:03:35.440 --> 00:03:40.600]  「神所應許的活水在我這裡」
[00:03:40.600 --> 00:03:43.000]  耶穌不需要啦啦隊
[00:03:43.000 --> 00:03:45.400]  耶穌不需要其他人
[00:03:45.400 --> 00:03:47.160]  吶喊助威
[00:03:47.160 --> 00:03:49.000]  虛張聲勢
[00:03:49.000 --> 00:03:51.240]  因為祂本來就是那位
[00:03:51.240 --> 00:03:56.120]  賜予人豐盛生命的主
[00:03:56.120 --> 00:03:59.720]  然後耶穌這麼高姿態
[00:03:59.720 --> 00:04:03.280]  群眾的一些紛爭討論
[00:04:03.280 --> 00:04:06.280]  有人說「耶穌是基督」
[00:04:06.280 --> 00:04:08.880]  有人說「是不是先知」
[00:04:08.880 --> 00:04:14.280]  有人說「不基督是加里尼那裡來的嗎?」
[00:04:14.280 --> 00:04:18.360]  然後這些宣揚、吵鬧
[00:04:18.360 --> 00:04:23.040]  那些原來被吩咐來抓耶穌的那些差役
[00:04:23.040 --> 00:04:25.440]  都不知所措
[00:04:25.440 --> 00:04:28.800]  不能夠辦好這個差事
[00:04:28.800 --> 00:04:33.200]  於是祭祀長和利未人、伯利賽人
[00:04:33.200 --> 00:04:35.280]  這一班的宗教領袖
[00:04:35.280 --> 00:04:43.080]  就進一步去商量怎樣對付耶穌
[00:04:43.080 --> 00:04:44.280]  更有經文
[00:04:44.280 --> 00:04:47.560]  就是說到耶穌在第二天的清早
[00:04:47.560 --> 00:04:51.000]  祂又再次回到聖殿
[00:04:51.000 --> 00:04:55.480]  當群眾再次圍籠著
[00:04:55.480 --> 00:04:59.920]  等耶穌看看祂說什麼的時候
[00:04:59.920 --> 00:05:02.640]  耶穌不再站在那裡了
[00:05:02.640 --> 00:05:05.440]  祂不再以宣告的姿態
[00:05:05.440 --> 00:05:11.680]  而是以教師的態度坐下來教訓百姓
[00:05:11.680 --> 00:05:13.840]  當時的教師
[00:05:13.840 --> 00:05:17.360]  這是他們典型的模樣
[00:05:17.360 --> 00:05:18.680]  沒多久
[00:05:18.680 --> 00:05:22.280]  文氏和伯利賽人就帶著一個
[00:05:22.280 --> 00:05:27.520]  捉姦在床的女人來到耶穌那裡
[00:05:27.520 --> 00:05:31.920]  文氏和伯利賽人企圖以摩西的律法
[00:05:31.920 --> 00:05:33.800]  作為他們的武器
[00:05:33.800 --> 00:05:37.920]  迫使耶穌在群眾面前表態
[00:05:37.920 --> 00:05:42.800]  看看他怎樣定這個女人的罪
[00:05:42.800 --> 00:05:47.480]  這個十分敏感又尖銳
[00:05:47.480 --> 00:05:53.440]  看來也不知道怎樣去拆解這個難題
[00:05:53.440 --> 00:05:57.560]  因為猶太人當時是被羅馬統治
[00:05:57.560 --> 00:06:00.440]  猶太人只有宗教權
[00:06:00.440 --> 00:06:03.760]  沒有司法權
[00:06:03.760 --> 00:06:06.320]  根據羅馬的法規
[00:06:06.320 --> 00:06:10.520]  犯姦淫的婦人雖然有罪
