
[00:00:00.000 --> 00:00:04.000]  我等師父讓我們聽神的導議先,我們先同心妥協。
[00:00:04.000 --> 00:00:07.000]  弟子們,讓我們聽到之前先同心禱告。
[00:00:07.000 --> 00:00:13.000]  神父,多謝祢讓我們可以再次打開祢的說話,
[00:00:13.000 --> 00:00:18.000]  求祢讓我們藉著祢的說話再次認識祢是怎樣的一位上主,
[00:00:18.000 --> 00:00:23.000]  怎樣愛我們,帶我們回到祢的裡面,
[00:00:23.000 --> 00:00:27.000]  求祢將正確的道理告訴我們,
[00:00:27.000 --> 00:00:30.000]  因為所走、所行、所想,
[00:00:30.000 --> 00:00:34.000]  都是在上帝的說話,在祢的主權當中,
[00:00:34.000 --> 00:00:37.000]  也邁向天國的路。
[00:00:37.000 --> 00:00:40.000]  我們親愛的主,感謝祢,
[00:00:40.000 --> 00:00:43.000]  給我們今天再次能夠打開祢的說話,
[00:00:43.000 --> 00:00:50.000]  透過父神的說話,讓我們明白我們應當怎樣認識祢,
[00:00:50.000 --> 00:00:53.000]  也明白祢怎樣愛我們,
[00:00:53.000 --> 00:00:57.000]  使我們能夠重新走到這條天路,
[00:00:57.000 --> 00:01:00.000]  往神祢的國那邊來到一起走。
[00:01:00.000 --> 00:01:02.000]  求祢的幫助,
[00:01:02.000 --> 00:01:07.000]  讓心靈給我們有領受主祢說話的機會跟心願,
[00:01:07.000 --> 00:01:09.000]  求祢與我們同在。
[00:01:09.000 --> 00:01:11.000]  我們大家奉主耶穌的名求。
[00:01:11.000 --> 00:01:12.000]  Amen。
[00:01:12.000 --> 00:01:19.000]  今天我們會一起去看《使徒行經》第十四章,
[00:01:21.000 --> 00:01:24.000]  最後一部分從第21節至第28節。
[00:01:24.000 --> 00:01:27.000]  我們看一個題目,
[00:01:27.000 --> 00:01:29.000]  我相信在今天的教會裡面,
[00:01:29.000 --> 00:01:33.000]  很多教會都未必敢講的題目,
[00:01:33.000 --> 00:01:35.000]  就我們看一個題目,
[00:01:35.000 --> 00:01:39.000]  可能在今天教會中很多教會都不敢講的題目,
[00:01:39.000 --> 00:01:42.000]  就是教會應該是怎樣形成的呢?
[00:01:42.000 --> 00:01:46.000]  怎樣走一條教會合神生命的道路呢?
[00:01:46.000 --> 00:01:52.000]  這個正正就是今天我們想要看的題目,主題。
[00:01:52.000 --> 00:01:56.000]  我們從這段聖經裡面可以看到什麼呢?
[00:01:56.000 --> 00:02:00.000]  我們可以看到原來教會是怎樣開始去成形的。
[00:02:00.000 --> 00:02:09.000]  同時我們可以看到教會的教牧的角色是怎樣出現的。
[00:02:09.000 --> 00:02:13.000]  希望藉著這段聖經,
[00:02:13.000 --> 00:02:17.000]  重新對教會有一個準確的理解。
[00:02:17.000 --> 00:02:19.000]  對教會有一個準確的理解。
[00:02:19.000 --> 00:02:25.000]  同時我們怎樣去找一個合適的上帝的牧者。
[00:02:25.000 --> 00:02:31.000]  我們怎樣去尋找一個符合上帝標準的牧者,
[00:02:31.000 --> 00:02:34.000]  然後去跟隨他的教導,
[00:02:34.000 --> 00:02:38.000]  去邁向神的國。
[00:02:38.000 --> 00:02:41.000]  我們回去再看看這段聖經,好不好?
[00:02:41.000 --> 00:02:43.000]  我們再看看這段聖經。
[00:02:43.000 --> 00:02:46.000]  在這段聖經裡面,我相信今天會對你有很多的衝擊。
[00:02:46.000 --> 00:02:49.000]  我相信這段聖經可能會對你有很多的衝擊。
[00:02:49.000 --> 00:02:50.000]  什麼衝擊呢?
[00:02:50.000 --> 00:02:51.000]  什麼衝擊呢?
[00:02:51.000 --> 00:02:57.000]  究竟是聽聖經的話,還是聽人所講的?
[00:02:57.000 --> 00:03:01.000]  特別是那些人所講的話,是不是真的從聖經而出的呢?
[00:03:01.000 --> 00:03:03.000]  人所講的話,是不是真的從聖經而出的呢?
[00:03:03.000 --> 00:03:05.000]  如果是的話,你才會去跟從,對不對?
[00:03:05.000 --> 00:03:07.000]  是的,你就是在跟從。
[00:03:07.000 --> 00:03:08.000]  不過為什麼會衝擊呢?
[00:03:08.000 --> 00:03:09.000]  怎麼會衝擊呢?
[00:03:09.000 --> 00:03:12.000]  因為你聽到的東西可能跟你一直聽過的東西是不同的。
[00:03:12.000 --> 00:03:16.000]  你聽人所聽到的話,可能跟你一直聽到的東西有所不同。
[00:03:16.000 --> 00:03:20.000]  希望你將你對上帝的主權重新擺正。
[00:03:20.000 --> 00:03:23.000]  希望你能把上帝的主權重新擺正。
[00:03:23.000 --> 00:03:26.000]  好,事不宜遲了,我們今天先回去看今天的經文。
