
[00:00:00.000 --> 00:00:04.040]  各位親愛的弟兄姊妹朋友們,平安。
[00:00:04.040 --> 00:00:08.460]  我們非常高興能夠有機會到你的家庭裡面,
[00:00:08.460 --> 00:00:12.100]  到你的家中,與你一同來敬拜、讚美我們的主,
[00:00:12.100 --> 00:00:15.100]  一起來聆聽神的聲音。
[00:00:15.100 --> 00:00:23.140]  這是生命和琳蘭堂成立25年以來第一次完全網路現場直播。
[00:00:23.140 --> 00:00:28.140]  所以今天你是第一次我們教會現場沒有觀眾,
[00:00:28.140 --> 00:00:34.140]  乃是透過網路的直播到你的家裡面,與你一同來會面。
[00:00:34.140 --> 00:00:36.640]  我們如此做並不是因為我們懼怕,
[00:00:36.640 --> 00:00:38.640]  我們如此做乃是因為我們尊重,
[00:00:38.640 --> 00:00:43.640]  我們也服從白宮還有美國加州政府所下的命令,
[00:00:43.640 --> 00:00:48.140]  為了防止這個病毒的疫情的蔓延。
[00:00:48.140 --> 00:00:51.640]  雖然我們知道病毒會使我們隔離,
[00:00:51.640 --> 00:00:55.140]  但是我們的主永遠與我們同在,阿們。
[00:00:55.140 --> 00:00:57.640]  我們主的愛永遠不改變,
[00:00:57.640 --> 00:00:59.640]  沒有任何的事情,
[00:00:59.640 --> 00:01:07.640]  沒有任何的病毒可以叫我們與基督的愛隔絕,阿們。
[00:01:07.640 --> 00:01:11.640]  那麼一起我們同心來禱告。
[00:01:11.640 --> 00:01:15.640]  我們親愛的阿爸父,我們感謝你,因為你愛我們。
[00:01:15.640 --> 00:01:20.140]  沒有任何的事情,甚至病毒可以攔阻你來愛我們。
[00:01:20.140 --> 00:01:23.640]  我們感謝你給我們寶貴的話語和應許,
[00:01:23.640 --> 00:01:27.640]  好讓我們今天能夠聆聽,能夠傳講祝你的話語。
[00:01:27.640 --> 00:01:29.640]  祝你的高默,祝你的仆人,
[00:01:29.640 --> 00:01:33.640]  特別是讓我們在你面前能夠清楚地傳講,
[00:01:33.640 --> 00:01:35.640]  還有聆聽祝你的話語,
[00:01:35.640 --> 00:01:39.640]  除去我們一切的不幸和一切的恐懼的靈,
[00:01:39.640 --> 00:01:43.640]  好讓我們講的聽的都能夠同感於一個聖靈,
[00:01:43.640 --> 00:01:45.640]  同樣得著祝你話語的造就,
[00:01:45.640 --> 00:01:48.640]  我們將一切的珍貴能力榮耀都歸給你。
[00:01:48.640 --> 00:01:52.640]  聽我們的禱告,奉考主耶穌基督的名求,阿們。
[00:01:52.640 --> 00:01:54.640]  阿們。
[00:01:54.640 --> 00:01:59.640]  新冠病毒在全世界不斷地蔓延,
[00:01:59.640 --> 00:02:01.640]  美國也不例外。
[00:02:01.640 --> 00:02:03.640]  我們看到這樣的一個疫情,
