
[00:00:00.000 --> 00:00:05.080]  今天和大家繼續分享神的旨意這個題目
[00:00:05.080 --> 00:00:11.320]  這次大家看到那個副頁裏面寫了第二次
[00:00:11.320 --> 00:00:14.960]  剛才讀那幾節的經文
[00:00:14.960 --> 00:00:17.440]  我都想少許重覆它
[00:00:17.440 --> 00:00:19.840]  因為實在是很重要的經文
[00:00:19.840 --> 00:00:21.560]  馬太福音十二章第五十節
[00:00:21.560 --> 00:00:23.760]  「凡遵行我天父旨意的人
[00:00:23.760 --> 00:00:26.720]  就是我的兄弟姊妹和母親」
[00:00:26.720 --> 00:00:29.120]  為何主耶穌突然會說這番說話呢?
[00:00:29.120 --> 00:00:31.520]  其實在聖經的上文下例
[00:00:31.520 --> 00:00:33.720]  主耶穌基督和一群人說話
[00:00:33.720 --> 00:00:37.320]  突然間他的兄弟姊妹
[00:00:37.320 --> 00:00:44.560]  有些人就研究耶穌是否有其他的弟弟妹妹
[00:00:44.560 --> 00:00:49.000]  當然主耶穌基督是道成肉身
[00:00:49.000 --> 00:00:52.360]  瑪利亞是聖靈感人他懷孕的
[00:00:52.360 --> 00:00:55.360]  不是從藥室生出來的
[00:00:55.360 --> 00:00:59.520]  也有一些解經家認為這些兄弟姊妹
[00:00:59.520 --> 00:01:02.280]  是瑪利亞生了主耶穌之後
[00:01:02.280 --> 00:01:04.200]  同藥室是夫婦來的
[00:01:04.200 --> 00:01:07.120]  他就繼續有生養兄弟姊妹
[00:01:07.120 --> 00:01:09.040]  這是其中一個說法
[00:01:09.040 --> 00:01:13.440]  當然有些教會的背景
[00:01:13.440 --> 00:01:17.440]  他認為瑪利亞是同貞女到現在都是
[00:01:17.440 --> 00:01:20.960]  所以她不應該有生養其他的
[00:01:20.960 --> 00:01:26.360]  他說這些應該是他的堂兄弟表兄弟
[00:01:26.360 --> 00:01:30.200]  因為在原文那個字不是那麼肯定的
[00:01:30.200 --> 00:01:34.600]  很多時候古文如古老的文字
[00:01:34.600 --> 00:01:38.320]  有些東西一個字真的有幾個用途的
[00:01:38.320 --> 00:01:41.120]  慢慢知道覺得不夠了
[00:01:41.120 --> 00:01:45.200]  那些人就再製造多一些的字去細分化出來
[00:01:45.200 --> 00:01:47.200]  好像外國人說uncle
[00:01:47.200 --> 00:01:48.720]  uncle是什麼來的?
[00:01:48.720 --> 00:01:51.800]  我們中國人就分得很細了
[00:01:51.800 --> 00:01:55.800]  可能是阿伯、叔叔、舅父
[00:01:55.800 --> 00:01:59.280]  但是主耶穌這裡我想說的是
[00:01:59.280 --> 00:02:02.040]  原來在主耶穌的心目中來說
[00:02:02.040 --> 00:02:06.600]  不是說他生出來的媽媽
[00:02:06.600 --> 00:02:08.480]  當然瑪利亞我們很尊重她
[00:02:08.480 --> 00:02:11.280]  或者是他如果真的有一些兄弟姊妹
[00:02:11.280 --> 00:02:15.680]  就是跟他是最重要的
[00:02:15.680 --> 00:02:18.880]  原來就是遵行父子義的人
[00:02:18.880 --> 00:02:22.160]  就是我的兄弟、是我的姊妹、是我的母親
[00:02:22.160 --> 00:02:24.040]  所以從這個角度來看
[00:02:24.040 --> 00:02:27.240]  遵行神的旨意是何等的重要呢?
[00:02:27.240 --> 00:02:28.760]  耶穌對他們說
[00:02:28.760 --> 00:02:32.080]  我的食物就是要遵行差我來那為的旨意
[00:02:32.080 --> 00:02:33.600]  完成他的功
[00:02:33.600 --> 00:02:37.360]  這次上文下理就是他肚子餓了
[00:02:37.360 --> 00:02:39.040]  那些門徒出去找東西吃了
[00:02:39.040 --> 00:02:40.720]  但是那些門徒
[00:02:40.720 --> 00:02:43.320]  其實他的食物是什麼呢?
[00:02:43.320 --> 00:02:46.520]  他的食物當然耶穌是有肉體的
[00:02:46.520 --> 00:02:47.280]  是有肉身的
[00:02:47.280 --> 00:02:48.800]  不要說肉體是肉身的
[00:02:48.800 --> 00:02:51.960]  他都需要喝水、都要睡覺、都要食物
[00:02:51.960 --> 00:02:54.000]  但是他告訴我們
[00:02:54.000 --> 00:02:56.920]  原來遵行父子義作成的功
[00:02:56.920 --> 00:02:57.800]  就是他的食物
[00:02:57.800 --> 00:03:02.160]  當然這個食物就是屬靈的食物
[00:03:02.160 --> 00:03:04.200]  我們可以這樣說是屬靈那方面的食物
[00:03:04.200 --> 00:03:05.520]  這個很重要的
[00:03:05.520 --> 00:03:08.440]  所以如果我們只顧著我們的身體
[00:03:08.440 --> 00:03:11.080]  不顧著我們屬靈的生命
[00:03:11.080 --> 00:03:13.120]  這個我們真的不夠的
[00:03:13.120 --> 00:03:14.440]  身體很重要的
[00:03:14.440 --> 00:03:15.600]  因為聖經說
[00:03:15.600 --> 00:03:17.400]  「豈不知你們的身體是聖靈的?
[00:03:17.400 --> 00:03:19.080]  見媽祖聖靈是從神而來
[00:03:19.080 --> 00:03:20.560]  住在你們裡頭的」
[00:03:20.560 --> 00:03:21.920]  我們的身體很重要的
[00:03:21.920 --> 00:03:23.640]  所以我們要愛惜我們的身體
[00:03:23.640 --> 00:03:25.800]  不要做一些事情傷害我們的身體
[00:03:25.800 --> 00:03:27.200]  例如吸煙
[00:03:27.200 --> 00:03:30.440]  是危害健康的
[00:03:30.440 --> 00:03:31.200]  就像我都說過
[00:03:31.200 --> 00:03:32.800]  煙包寫明了
[00:03:32.800 --> 00:03:35.040]  吸煙危害健康的致癌的
[00:03:35.040 --> 00:03:36.480]  那我們還吃來做什麼呢?
[00:03:36.480 --> 00:03:38.880]  如果百佳有一樣食物
[00:03:38.880 --> 00:03:39.840]  寫著
[00:03:39.840 --> 00:03:43.160]  這件食物是會危害健康的 你買不買?
[00:03:43.160 --> 00:03:44.720]  當然不買了
[00:03:44.720 --> 00:03:46.040]  那喝酒呢?
[00:03:46.040 --> 00:03:47.360]  聖經沒有說不可以喝酒
[00:03:47.360 --> 00:03:48.120]  如果不是的話
[00:03:48.120 --> 00:03:50.360]  耶穌基督就不會變水為酒了
[00:03:50.360 --> 00:03:52.240]  但是喝了酒過量
[00:03:52.240 --> 00:03:53.880]  實在是會傷身體的
[00:03:53.880 --> 00:03:56.280]  所以我們要很小心
[00:03:56.280 --> 00:03:57.720]  保養顧惜我們的身體
[00:03:57.720 --> 00:03:58.440]  第三個
[00:03:58.440 --> 00:03:59.960]  「因為我從天上降下來
[00:03:59.960 --> 00:04:02.080]  不是要按自己的意願行
[00:04:02.080 --> 00:04:05.360]  而是要遵行差我來那位的旨意
[00:04:05.360 --> 00:04:09.200]  就是聖父、聖子、聖靈三位一體的神
[00:04:09.200 --> 00:04:12.720]  聖子是被差派來到這個世上
[00:04:12.720 --> 00:04:14.240]  有一個人的身體
[00:04:14.240 --> 00:04:16.320]  基督是取了人的身體
[00:04:16.320 --> 00:04:18.720]  以致祂能夠死在十字架上
[00:04:18.720 --> 00:04:21.720]  以致我們能夠有一個救恩
[00:04:21.720 --> 00:04:22.200]  為什麼呢?
[00:04:22.200 --> 00:04:24.160]  因為神說了的就要算數的
[00:04:24.160 --> 00:04:27.120]  神說「若不流血罪不得赦」
[00:04:27.120 --> 00:04:29.320]  如果主耶穌沒有一個人的身體
[00:04:29.320 --> 00:04:30.600]  祂怎麼流血呢?
[00:04:30.600 --> 00:04:31.840]  靈啊
[00:04:31.840 --> 00:04:34.320]  聖父、聖子、聖靈三位一體
[00:04:34.320 --> 00:04:35.440]  神是靈來的
