
[00:00:00.000 --> 00:00:04.000]  歡迎大家今日來到崇拜
[00:00:04.000 --> 00:00:09.000]  今天我們在崇拜之前先低頭禱告
[00:00:09.000 --> 00:00:12.000]  天父啊求祢帶領我們 願祢與我們同在
[00:00:12.000 --> 00:00:16.000]  有時候我們聽到福音的訊息的時候
[00:00:16.000 --> 00:00:18.000]  我們心裏面都有我們的觀念
[00:00:18.000 --> 00:00:23.000]  有我們覺得哪些事情是可以接受
[00:00:23.000 --> 00:00:25.000]  哪些事情是我不想接受的
[00:00:25.000 --> 00:00:27.000]  但我今天來到你面前的時候
[00:00:27.000 --> 00:00:33.000]  祢開放我們的心靈 主讓我們明白福音的時候
[00:00:33.000 --> 00:00:36.000]  我們心如誠服的 歸向祢面前
[00:00:36.000 --> 00:00:38.000]  願祢的聖靈在我們中間工作
[00:00:38.000 --> 00:00:41.000]  奉耶穌基督的名祈求 下門
[00:00:41.000 --> 00:00:44.000]  好了 今天講的題目就是
[00:00:44.000 --> 00:00:46.000]  我看見基督徒的虛偽
[00:00:46.000 --> 00:00:48.000]  為什麼會講這個題目呢
[00:00:48.000 --> 00:00:53.000]  就是在決定今天要講什麼題目之前
[00:00:53.000 --> 00:01:00.000]  我就想一下 究竟為什麼有些人不願意做基督徒呢
[00:01:00.000 --> 00:01:02.000]  有些人不願意信耶穌呢
[00:01:02.000 --> 00:01:04.000]  不知道你有沒有想過這個問題
[00:01:04.000 --> 00:01:08.000]  我們做基督徒 我們覺得做基督徒很好
[00:01:08.000 --> 00:01:12.000]  不斷地可能跟身邊的朋友介紹的時候
[00:01:12.000 --> 00:01:16.000]  但很多人都不願意接受
[00:01:16.000 --> 00:01:20.000]  我做了一點資料搜集
[00:01:20.000 --> 00:01:25.000]  其中一方面我就問一下CheckGPT
[00:01:25.000 --> 00:01:27.000]  大家知道是什麼嗎
[00:01:27.000 --> 00:01:30.000]  就是問一下人工智能在電腦
