
[00:00:00.000 --> 00:00:02.960]  我們這星期仍然會講羅馬書
[00:00:02.960 --> 00:00:04.960]  如果你追不上的話
[00:00:04.960 --> 00:00:06.560]  請你上網去聽聽
[00:00:06.560 --> 00:00:09.960]  因爲我們在羅馬書的第一章裏面就講到
[00:00:09.960 --> 00:00:11.520]  爲什麼要講羅馬書
[00:00:11.520 --> 00:00:14.560]  因爲我們今年的主題是從零開始
[00:00:14.560 --> 00:00:16.080]  是同心合一
[00:00:16.080 --> 00:00:17.840]  我們講的是Back to the basics
[00:00:17.840 --> 00:00:19.360]  我們回到最基本的
[00:00:19.360 --> 00:00:21.760]  羅馬書就是我們在信仰裏面最基本的
[00:00:21.760 --> 00:00:25.040]  也是我們相當之難明白
[00:00:25.040 --> 00:00:26.800]  難講解的一本書
[00:00:26.800 --> 00:00:29.280]  難講解,一會兒我講給你聽原因在哪裏
[00:00:29.280 --> 00:00:31.760]  在羅馬書第一章
[00:00:31.760 --> 00:00:33.520]  保羅開宗明義已經提到
[00:00:33.520 --> 00:00:36.240]  福音的內容,福音的核心是什麼
[00:00:36.240 --> 00:00:39.680]  第二他就提到傳福音的那種動力
[00:00:39.680 --> 00:00:40.800]  當然我提到
[00:00:40.800 --> 00:00:43.520]  保羅在另一本書裏面提到
[00:00:43.520 --> 00:00:48.720]  今天傳福音我們感性上的動力是來自神的愛去激勵我們
[00:00:48.720 --> 00:00:52.080]  但是這個不一定是有效的
[00:00:52.080 --> 00:00:54.080]  因爲有些信徒剛剛信主
[00:00:54.080 --> 00:00:55.760]  他感受到神的愛很強烈
[00:00:55.760 --> 00:00:57.280]  所以傳福音特別熱心
[00:00:57.280 --> 00:00:59.440]  但是相處一段時間之後
[00:00:59.440 --> 00:01:01.680]  他跟神的關係雕探了之後
[00:01:01.680 --> 00:01:03.600]  這種火熱就沒有了
[00:01:03.600 --> 00:01:08.800]  有什麼能夠繼續支持我們去繼續傳福音的那種動力呢
[00:01:08.800 --> 00:01:10.000]  是羅馬書補充了
[00:01:10.000 --> 00:01:13.520]  是從理性的層面有提及到四方面的
[00:01:13.520 --> 00:01:17.280]  如果你漏了的話請你可以上網聽回
[00:01:17.280 --> 00:01:19.920]  我們今天接着在第二章第一節
[00:01:19.920 --> 00:01:22.400]  羅馬書難搞的就是
[00:01:22.400 --> 00:01:23.920]  其實羅馬書我們今天開始
[00:01:23.920 --> 00:01:27.600]  就是我們的題目叫做福音的答客問的第一
[00:01:27.600 --> 00:01:29.760]  因爲它裏面充滿了問題
[00:01:29.760 --> 00:01:33.200]  而這些問題不是假設性的問題
[00:01:33.200 --> 00:01:35.120]  這些問題是真實存在的
[00:01:35.120 --> 00:01:36.320]  例如第二章第一節
[00:01:36.320 --> 00:01:38.480]  所以你只是評斷人的人
[00:01:38.480 --> 00:01:40.560]  你的和合本也做論斷
[00:01:40.560 --> 00:01:45.280]  你的和修本和合本修訂本也做評斷
[00:01:45.280 --> 00:01:47.760]  無論你是誰都無可推諉
[00:01:47.760 --> 00:01:49.520]  你在什麼事上評斷人
[00:01:49.520 --> 00:01:52.560]  就在什麼事上定自己的罪
[00:01:52.560 --> 00:01:57.520]  我們看見保羅這裏不是假設有一個人
[00:01:57.520 --> 00:02:00.000]  事實上真的有這樣的人存在
[00:02:00.000 --> 00:02:01.360]  所以保羅必須要回應
[00:02:01.360 --> 00:02:03.920]  羅馬書難去講的原因
[00:02:03.920 --> 00:02:06.880]  因爲它是充滿了一系列的問題
[00:02:06.880 --> 00:02:08.080]  我試圖這樣去講
[00:02:08.080 --> 00:02:09.360]  不知你可不可以明白
[00:02:09.360 --> 00:02:11.840]  我們寫筆記的時候通常會寫
[00:02:11.840 --> 00:02:12.880]  1 2 3
[00:02:12.880 --> 00:02:15.440]  1裏面的小點是1.1
[00:02:15.440 --> 00:02:16.720]  然後1.2
[00:02:16.720 --> 00:02:18.880]  2裏面的小點是2.1 2.2
[00:02:18.880 --> 00:02:23.280]  1.1裏面再分小點就是1.1.1
