
[00:00:00.000 --> 00:00:07.100]  讀一段聖經,在《以西傑書》第三十七章第一節到第三節,
[00:00:07.100 --> 00:00:09.480]  這裡說耶和華的靈降在我身上,
[00:00:09.480 --> 00:00:13.620]  耶和華藉著祂的靈帶我出去,將我放在平原中,
[00:00:13.620 --> 00:00:16.700]  這平原便滿駭骨。
[00:00:16.700 --> 00:00:18.600]  祂使我從駭骨四圍經過,
[00:00:18.600 --> 00:00:23.500]  誰知在平原的駭骨甚多,而且極其枯乾。
[00:00:23.500 --> 00:00:26.600]  祂對我說,人雜這些駭骨能復活嗎?
[00:00:26.600 --> 00:00:29.800]  我說,主耶和華,祢是知道的。
[00:00:29.800 --> 00:00:33.900]  我們再讀第九節到第十三節。
[00:00:33.900 --> 00:00:35.100]  這裡說,主對我說,人子啊,
[00:00:35.100 --> 00:00:38.700]  你要發預言,向風發預言,說主耶和華如此說,
[00:00:38.700 --> 00:00:41.200]  氣息啊要從四方吹來,
[00:00:41.200 --> 00:00:44.900]  吹在這被殺的人身上,使他們活了。
[00:00:44.900 --> 00:00:47.900]  於是我遵命說預言,氣息就進入駭骨,
[00:00:47.900 --> 00:00:52.700]  駭骨便活了,並且站起來成為極大的軍隊。
[00:00:52.700 --> 00:00:56.900]  主對我說,人子啊,這些駭骨就是以色列全家。
[00:00:56.900 --> 00:01:00.500]  他們說我們的骨頭枯乾了,我們的指望失去了,
[00:01:00.500 --> 00:01:02.700]  我們滅絕盡盡了。
[00:01:02.700 --> 00:01:04.900]  所以你要發預言對他們說,
[00:01:04.900 --> 00:01:08.700]  主耶和華如此說,我的名啊,我必開你們的墳墓,
[00:01:08.700 --> 00:01:10.900]  使你們從墳墓中出來,
[00:01:10.900 --> 00:01:13.800]  領你們進入以色列第十三節。
[00:01:13.800 --> 00:01:16.100]  我的名啊,我開你們的墳墓,
[00:01:16.100 --> 00:01:18.000]  使你們從墳墓中出來,
[00:01:18.000 --> 00:01:20.900]  你們就知道我是耶和華。
[00:01:20.900 --> 00:01:22.900]  我們就讀到這裡。
[00:01:22.900 --> 00:01:26.200]  這段經文是我們非常熟悉的經文。
[00:01:26.200 --> 00:01:30.300]  在這裡神的靈帶領以希捷看見一個異象,
[00:01:30.300 --> 00:01:32.600]  在平原裡面充滿了駭骨,
[00:01:32.600 --> 00:01:37.100]  而且這些駭骨極其枯乾。
[00:01:37.100 --> 00:01:40.100]  然後神就問以希捷一個問題說,
[00:01:40.100 --> 00:01:45.100]  人子啊,這些駭骨可能復活嗎?
