
[00:00:00.000 --> 00:00:02.300]  繼續耶和華名字的系列
[00:00:02.300 --> 00:00:04.800]  耶和華「馬克底肯」
[00:00:04.800 --> 00:00:05.500]  很難讀
[00:00:05.500 --> 00:00:06.500]  因為很少這些字
[00:00:06.500 --> 00:00:08.000]  是因為希伯來文
[00:00:08.000 --> 00:00:13.500]  耶和華是使人聖潔的上主的意思
[00:00:13.500 --> 00:00:15.800]  它原本的文字是
[00:00:15.800 --> 00:00:18.300]  Makadashim
[00:00:18.300 --> 00:00:20.700]  即是有少許喉嚨噴的聲音
[00:00:20.700 --> 00:00:22.200]  所以就拼音
[00:00:22.200 --> 00:00:23.200]  究竟拼什麼好呢
[00:00:23.200 --> 00:00:25.300]  就是「馬克底肯」
[00:00:25.300 --> 00:00:27.700]  聖人都有錯
[00:00:28.200 --> 00:00:30.400]  何況你和我
[00:00:30.400 --> 00:00:34.100]  近期港府高官接二連三
[00:00:34.100 --> 00:00:36.200]  揭發有缺乏誠信的事情
[00:00:36.200 --> 00:00:40.100]  引起大家在閒談裡面都會笑說
[00:00:40.100 --> 00:00:42.600]  我們或者都要申報一下
[00:00:42.600 --> 00:00:45.000]  我們有沒有僭建
[00:00:45.000 --> 00:00:47.700]  我們有沒有收受利益的事情
[00:00:47.700 --> 00:00:51.200]  這些新聞的報導好像已經氾濫了
[00:00:51.200 --> 00:00:52.400]  我們都不想再聽
[00:00:52.400 --> 00:00:54.800]  或者再聽都不是什麼奇事了
[00:00:55.200 --> 00:01:00.000]  不過近期母堂和分堂都預備選舉執事堂位
[00:01:00.000 --> 00:01:01.300]  作為教會領袖
[00:01:01.300 --> 00:01:03.300]  連同我們牧師傳道在內
[00:01:03.300 --> 00:01:05.800]  有時都會加倍提高警覺
[00:01:05.800 --> 00:01:08.600]  問一下大家有沒有僭建
[00:01:08.600 --> 00:01:11.100]  如果不是被揭發就糟糕了
[00:01:11.100 --> 00:01:13.400]  然後就大肆宣揚報導
[00:01:13.400 --> 00:01:15.800]  我們不希望自己犯錯
[00:01:15.800 --> 00:01:17.600]  也都不想因為我們的疏忽
[00:01:17.600 --> 00:01:21.100]  而令到上帝的名聲受損
[00:01:21.100 --> 00:01:23.600]  或者教會的名聲受損
[00:01:23.600 --> 00:01:26.100]  高官或者神職人員
[00:01:26.100 --> 00:01:29.000]  彷彿都不可以有半點的錯失
[00:01:29.000 --> 00:01:30.400]  或者瑕疵
[00:01:30.400 --> 00:01:35.400]  如果不是就被人很大的失望
[00:01:35.400 --> 00:01:37.000]  覺得不可信
[00:01:37.000 --> 00:01:39.400]  都應該要下台了
[00:01:39.400 --> 00:01:45.100]  原來亞洲人看一些有領導地位的人
[00:01:45.100 --> 00:01:48.800]  甚至是被稱為那些聖人
[00:01:48.800 --> 00:01:52.300]  是有一個很高的道德水平的
[00:01:52.300 --> 00:01:56.600]  不嫖、不賭、不喝、不催、不說謊
[00:01:56.600 --> 00:01:58.600]  不做不義的事情
[00:01:58.600 --> 00:02:03.200]  天主教對豐盛的條件是很高的
[00:02:03.200 --> 00:02:05.900]  什麼人才可以成為聖人呢?
[00:02:05.900 --> 00:02:07.400]  被豐盛呢?
[00:02:07.400 --> 00:02:11.100]  一方面有德行、有美名
[00:02:11.100 --> 00:02:15.400]  另一方面他曾經是要施行神職的
[00:02:15.400 --> 00:02:19.100]  包括可以透過祈禱來醫治人
[00:02:19.100 --> 00:02:21.100]  所以聖人一旦犯錯
[00:02:21.100 --> 00:02:22.400]  是很難接受的
[00:02:22.400 --> 00:02:23.900]  因為他是聖人
[00:02:23.900 --> 00:02:26.900]  其實基督徒都被稱為聖徒
[00:02:26.900 --> 00:02:28.500]  基督徒不少的時候
[00:02:28.500 --> 00:02:31.300]  都被要求要過一個聖潔的生活
[00:02:31.300 --> 00:02:33.900]  或者我們要追求聖潔
[00:02:33.900 --> 00:02:37.400]  我們甚至常說的字眼是分別為聖
[00:02:37.400 --> 00:02:39.500]  所以基督徒如果有不檢點的行為
[00:02:39.500 --> 00:02:40.500]  就會被指責
[00:02:40.500 --> 00:02:42.100]  你都是基督徒嗎?
[00:02:42.100 --> 00:02:43.500]  你基督徒不應該這樣
[00:02:43.500 --> 00:02:46.700]  基督徒這些事不應該做的
[00:02:46.700 --> 00:02:51.100]  其實成為聖潔或者分別為聖
[00:02:51.100 --> 00:02:52.800]  是什麼意思呢?
[00:02:52.800 --> 00:02:54.500]  基督徒是不是聖人呢?
[00:02:54.500 --> 00:02:56.400]  今天我很想透過利美記
[00:02:56.400 --> 00:02:58.500]  有關成為聖潔
[00:02:58.500 --> 00:03:01.000]  和有關分別為聖的教導
[00:03:01.000 --> 00:03:03.800]  來對童頂姐妹分享一個訊息
[00:03:03.800 --> 00:03:05.000]  讓我們每人都知道
[00:03:05.000 --> 00:03:08.000]  上帝的心意是要祂的子民
[00:03:08.000 --> 00:03:13.300]  過一個誠聖、歸上主所用的生活
[00:03:13.300 --> 00:03:15.700]  上帝的心意是要使祂的子民
[00:03:15.700 --> 00:03:17.900]  祂的百姓、祂的兒女
[00:03:17.900 --> 00:03:22.100]  過一個誠聖、歸上主所用的生活
[00:03:22.100 --> 00:03:27.000]  利美記不是一本容易讀的書
[00:03:27.000 --> 00:03:29.400]  因為很多人將它看為
[00:03:29.400 --> 00:03:32.100]  是一本牧師的手冊
