
[00:00:00.000 --> 00:00:01.000]  我們再一起來禱告
[00:00:01.000 --> 00:00:04.000]  親愛的耶穌我們再次來回應祢
[00:00:04.000 --> 00:00:07.000]  求祢聖靈在我們當中來運行幫助我們
[00:00:07.000 --> 00:00:09.000]  讓我們真實的來明白
[00:00:09.000 --> 00:00:13.000]  主祢在我們生命當中的作為跟價值
[00:00:13.000 --> 00:00:16.000]  親愛的主今天早晨我們再次來敬拜祢
[00:00:16.000 --> 00:00:18.000]  求祢聖靈在我們當中來運行
[00:00:18.000 --> 00:00:21.000]  指教我們可以進入祢的真理當中
[00:00:21.000 --> 00:00:23.000]  主讓我們懂得
[00:00:23.000 --> 00:00:27.000]  主我們在這裡是因為祢為我們降生
[00:00:27.000 --> 00:00:31.000]  我們在這裡是因為祢的愛向我們顯明
[00:00:31.000 --> 00:00:32.000]  主耶穌我們謝謝祢
[00:00:32.000 --> 00:00:36.000]  奉耶穌基督的名禱告
[00:00:36.000 --> 00:00:40.000]  短短的三節經文裡面
[00:00:40.000 --> 00:00:42.000]  它其實提醒我們幾件事
[00:00:42.000 --> 00:00:45.000]  第一件事情它告訴我們耶穌的名字
[00:00:45.000 --> 00:00:47.000]  應該是說神兒子的名字
[00:00:47.000 --> 00:00:49.000]  那神兒子的名字有兩個
[00:00:49.000 --> 00:00:51.000]  是什麼呢 是誰呢
[00:00:51.000 --> 00:00:54.000]  是耶穌還有什麼 伊瑪內利
[00:00:54.000 --> 00:00:56.000]  這都是神兒子的名字
[00:00:56.000 --> 00:00:58.000]  所以在這兩段經文裡面
[00:00:58.000 --> 00:00:59.000]  我們就要來思想
[00:00:59.000 --> 00:01:01.000]  到底神兒子的名字
[00:01:01.000 --> 00:01:03.000]  這兩個名字有什麼意義
[00:01:03.000 --> 00:01:06.000]  一個人為什麼要有兩個名字呢
[00:01:06.000 --> 00:01:08.000]  為什麼要取兩個名字呢
[00:01:08.000 --> 00:01:09.000]  聖經裡面還表達
[00:01:09.000 --> 00:01:12.000]  這兩個名字應該是一樣的
