
[00:00:00.000 --> 00:00:01.120]  禱告
[00:00:01.120 --> 00:00:02.160]  各位弟兄姊妹
[00:00:02.160 --> 00:00:06.520]  如何可以操練到長時間祈禱
[00:00:06.520 --> 00:00:07.880]  而不停
[00:00:07.880 --> 00:00:10.320]  然後你感覺到
[00:00:10.320 --> 00:00:13.240]  以前的禱告三分鐘就搞定
[00:00:13.240 --> 00:00:15.040]  但是靜靜一刻的時候
[00:00:15.040 --> 00:00:16.800]  越禱告越長
[00:00:16.800 --> 00:00:18.880]  而你不覺得
[00:00:18.880 --> 00:00:21.320]  是需要停下來的
[00:00:21.320 --> 00:00:24.320]  有些人說
[00:00:24.320 --> 00:00:27.240]  很簡單而已
[00:00:28.000 --> 00:00:32.120]  當你開始學習了一種天上的語言之後
[00:00:32.120 --> 00:00:35.320]  你就不停地禱告也可以了
[00:00:35.320 --> 00:00:39.040]  那麼這種天上的言語是什麼呢?
[00:00:39.040 --> 00:00:41.320]  它就說是謊言
[00:00:41.320 --> 00:00:44.920]  對今天五旬節運動的人
[00:00:44.920 --> 00:00:46.480]  或者年一運動的人來說
[00:00:46.480 --> 00:00:50.040]  謊言是聖靈充滿的一種表示
[00:00:50.040 --> 00:00:51.120]  為什麼呢?
[00:00:51.120 --> 00:00:51.800]  他們說
[00:00:51.800 --> 00:00:56.400]  因為人體中最敗壞的肢體
[00:00:56.400 --> 00:00:58.760]  最污穢的肢體是什麼呢?
[00:00:58.760 --> 00:00:59.600]  你們知道嗎?
[00:00:59.600 --> 00:01:01.320]  是我們的舌頭
[00:01:01.320 --> 00:01:03.800]  第二
[00:01:03.800 --> 00:01:06.840]  如果我們的舌頭受到控制
[00:01:06.840 --> 00:01:09.480]  就是說全身都受到控制了
[00:01:09.480 --> 00:01:11.040]  《雅各書》第三章說的
[00:01:11.040 --> 00:01:12.920]  第三
[00:01:12.920 --> 00:01:15.840]  他說謊言就等於神的話
[00:01:15.840 --> 00:01:19.960]  說謊言就等於人的舌頭受到控制了
[00:01:19.960 --> 00:01:22.240]  所以因為這樣的緣故
[00:01:22.240 --> 00:01:23.920]  說謊言的人
[00:01:23.920 --> 00:01:26.080]  一定是聖靈充滿
[00:01:26.920 --> 00:01:28.520]  當我第一次接觸
[00:01:28.520 --> 00:01:31.720]  有人和我去說這些謊言
[00:01:31.720 --> 00:01:34.320]  然後跟著問我
[00:01:34.320 --> 00:01:38.600]  你想不想去領受這個謊言的恩賜的時候
[00:01:38.600 --> 00:01:41.480]  就挑起我一個好奇心
[00:01:41.480 --> 00:01:43.760]  所以我在他們當中
[00:01:43.760 --> 00:01:45.240]  也聽了很多
[00:01:45.240 --> 00:01:46.400]  以前其實
[00:01:46.400 --> 00:01:49.960]  我的卡式錄音帶也錄了很多他們說謊言的聚會
[00:01:49.960 --> 00:01:53.000]  後來我就回到聖經那裡來看
[00:01:53.400 --> 00:01:56.840]  我明白為什麼那些靈恩的人如癡如醉
[00:01:56.840 --> 00:01:58.120]  來追求謊言
[00:01:58.120 --> 00:02:01.200]  他們說說完也不知道說什麼
[00:02:01.200 --> 00:02:02.680]  不過每個人都是這樣說
[00:02:02.680 --> 00:02:04.560]  說完之後就繼續不斷地說
[00:02:04.560 --> 00:02:06.120]  越說就越興奮
[00:02:06.120 --> 00:02:07.200]  他們叫興奮
[00:02:07.200 --> 00:02:10.400]  所以他們的祈禱就變得很長
[00:02:10.400 --> 00:02:11.680]  接著我就問他們
[00:02:11.680 --> 00:02:13.200]  那你們祈禱祈了什麼呢?
[00:02:13.200 --> 00:02:14.360]  說謊言
[00:02:14.360 --> 00:02:15.920]  還有什麼祈禱呢?
[00:02:15.920 --> 00:02:17.560]  謊言
[00:02:17.560 --> 00:02:21.320]  原來就是在聖經裡面
[00:02:21.320 --> 00:02:23.640]  有很多祈禱的詞彙
[00:02:23.640 --> 00:02:27.600]  原來就是為了長時間祈禱
[00:02:27.600 --> 00:02:29.240]  但是不一定是說
[00:02:29.240 --> 00:02:33.520]  祈禱裡面是有什麼獨特的事
[00:02:33.520 --> 00:02:35.480]  譬如說紀念到某些人
[00:02:35.480 --> 00:02:37.120]  紀念到某些地方
[00:02:37.120 --> 00:02:38.960]  紀念到某些需要
[00:02:38.960 --> 00:02:40.480]  不一定是
[00:02:40.480 --> 00:02:44.120]  然後當中有些人
[00:02:44.120 --> 00:02:46.720]  因為有一兩次經歷
[00:02:46.720 --> 00:02:48.960]  所以他們就著迷了
[00:02:49.440 --> 00:02:52.520]  他們的經驗就當作是一個絕對
[00:02:52.520 --> 00:02:54.440]  我想問在座中有些人
[00:02:54.440 --> 00:02:56.880]  有聽過別人說謊言嗎?
[00:02:56.880 --> 00:02:57.920]  可不可以舉手?
[00:02:57.920 --> 00:02:59.880]  OK
[00:02:59.880 --> 00:03:03.040]  我記得去到這些人當中
[00:03:03.040 --> 00:03:05.240]  來到聚會之後
