
[00:00:00.000 --> 00:00:12.000]  耶穌要來了,他很快就要來了,但是他還沒有啊。
[00:00:12.000 --> 00:00:27.000]  但是聖誕老人呢,他準時的出現,而且呢,將會在四天之後就來了。
[00:00:27.000 --> 00:00:35.000]  每一次呢,我們都知道這個事情是怎麼發生的。
[00:00:35.000 --> 00:00:44.000]  每一年,我們一直在教導人說,神要再來了。
[00:00:44.000 --> 00:00:52.000]  但今天我們在這裡,就在一年的年尾的時候,
[00:00:52.000 --> 00:00:59.000]  有聖誕來了,但是基督還沒來啊。
[00:00:59.000 --> 00:01:10.000]  我們會掛上燈飾,我們會裝飾聖誕樹,我們也把禮物藏起來。
[00:01:10.000 --> 00:01:24.000]  我們每一年都會重複這個傳統,我們一起唱歌,我們一起烘焙,我們也一起團聚。
[00:01:24.000 --> 00:01:46.000]  而且孩子們也很盼望那個禮物的到來。而大人們正期待那一兩天的假期,或者是購物上有很大的折扣。
[00:01:46.000 --> 00:01:56.000]  真的,我們真的等不及聖誕老人來了,但耶穌呢?
[00:01:56.000 --> 00:02:11.000]  我記得當我還是一個小孩的時候,我記得我常聽到一首歌,我不知道你有沒有聽過。
[00:02:11.000 --> 00:02:27.000]  我不知道是在電台上聽到,或者是在我的教室裡面聽到。
[00:02:27.000 --> 00:02:44.000]  因為我那些不幸福的朋友們很喜歡的取笑我。這首歌是這樣的,這個是那個鈴兒響叮噹那個歌調,而且是在廣東話的。
[00:02:44.000 --> 00:02:57.000]  它是這樣的,耶穌給我雲,耶穌給我雲,耶穌給我一千元。
[00:02:57.000 --> 00:03:04.000]  這個人他就會用這首歌來取笑我們,就是說耶穌給我運氣,耶穌給我運氣,耶穌給我一千塊錢。
[00:03:04.000 --> 00:03:14.000]  但我不記得下一句的歌詞是什麼,但你能夠感覺到這個笑點嗎?
[00:03:14.000 --> 00:03:28.000]  因為很多時候我們把聖誕老人當成我們基督徒版本的財神了。
[00:03:28.000 --> 00:03:45.000]  但真實是這樣的,不是每個人期待聖誕節都有一樣的期待。
[00:03:45.000 --> 00:03:59.000]  有時候這個時候有些人會感到很沮喪。去想一想我們所認識的人。
[00:03:59.000 --> 00:04:06.000]  有些是剛來到這個國家的。
[00:04:06.000 --> 00:04:22.000]  有些人沒有能力去買這麼多玩具給孩子們。甚至有些人還對這邊的文化感覺到很困惑。
[00:04:22.000 --> 00:04:39.000]  或者是簡直是感覺到很孤單很孤單。尤其是在12月25號的時候。
[00:04:39.000 --> 00:04:57.000]  在我還是新移民的時候,那時候我也有這種的感受。因為街道是很空蕩的。而且很多商店都關門了。
[00:04:57.000 --> 00:05:13.000]  就算是有那個交通,但是很多時候他們都是有限的班次。
[00:05:13.000 --> 00:05:35.000]  這個這麼美好最快樂的一天,很多時候對某些人來說是感覺到很孤立很孤單的。我知道。但是最重要的,神懂你。
[00:05:35.000 --> 00:05:51.000]  因為他自己的兒子出生在一個馬棚裡。雖然在附近的那個客棧裡面有很多的客人。
[00:05:51.000 --> 00:06:07.000]  但是對君王來說沒有留下任何的位置。難道就這樣了嗎?老故事一再的重演嗎?
[00:06:07.000 --> 00:06:29.000]  因為每一個聖誕節我們都可以預測,變成一種好像列行公事。但是在馬太福音第一章裡面,沒有一件事是預期的。
[00:06:29.000 --> 00:06:50.000]  沒有東西我們可以去一起看到的。因為在這個聖誕開始的時候,我們看到神在打斷人正常的生活。
[00:06:50.000 --> 00:07:13.000]  一個神在好像我們不能夠想像的環境當中說話。而且呢,他也邀請了一些很普通的人,好像約瑟,瑪麗亞,甚至是我們。
