
[00:00:00.000 --> 00:00:04.160]  多謝剛才Chris Chan 弟兄給我的介紹
[00:00:04.160 --> 00:00:06.500]  在這時候Saint Angelo會怎樣教會
[00:00:06.500 --> 00:00:08.080]  弟兄姊妹們你們好
[00:00:08.080 --> 00:00:10.320]  朋友們你們好
[00:00:10.320 --> 00:00:14.960]  似乎他的反應不是很劇烈
[00:00:14.960 --> 00:00:15.960]  是不是還沒睡醒
[00:00:15.960 --> 00:00:21.160]  或者是7月4日慶祝得太過一些
[00:00:21.160 --> 00:00:23.720]  弟兄姊妹們朋友們你們好
[00:00:23.720 --> 00:00:24.880]  好
[00:00:24.880 --> 00:00:31.880]  盼望你們過一個輕鬆愉快的國慶假期
[00:00:31.880 --> 00:00:36.760]  感謝主也多謝招牧師邀請和安排
[00:00:36.760 --> 00:00:40.200]  又有機會和大家一起來敬拜我們的神
[00:00:40.200 --> 00:00:42.800]  和分享神的話語
[00:00:42.800 --> 00:00:45.880]  願平安 人愛 信心
[00:00:45.880 --> 00:00:51.480]  從我們父神主耶穌基督歸於你們
[00:00:51.480 --> 00:00:55.240]  我們所信的基督教信仰
[00:00:55.240 --> 00:00:58.960]  基督教信仰重視的是什麼
[00:00:58.960 --> 00:01:01.040]  主要是一個關係
[00:01:01.040 --> 00:01:05.200]  這種關係乃是愛的關係
[00:01:05.200 --> 00:01:08.840]  是基於主耶穌基督的大愛
[00:01:08.840 --> 00:01:12.960]  主耶穌基督在約翰福音第15章第12節
[00:01:12.960 --> 00:01:15.960]  很清楚給我們一個命令
[00:01:15.960 --> 00:01:17.720]  我們一起讀出請
[00:01:17.720 --> 00:01:21.880]  你們要彼此相愛 將我愛你們一樣
[00:01:21.880 --> 00:01:24.560]  這就是我的命令
[00:01:24.560 --> 00:01:26.640]  主耶穌祂愛我們
[00:01:26.640 --> 00:01:30.360]  祂愛你愛我愛這個世上的人類
[00:01:30.360 --> 00:01:34.200]  祂也要我們同時彼此相愛
[00:01:34.200 --> 00:01:36.160]  在基督的愛中
[00:01:36.160 --> 00:01:39.040]  我們更加要為我們自己的家人
[00:01:39.040 --> 00:01:41.800]  認識的人朋友來著想
[00:01:41.800 --> 00:01:43.520]  同情他們的景況
[00:01:43.520 --> 00:01:45.840]  同情他們的遭遇
[00:01:45.840 --> 00:01:49.480]  我們會為他們找出很多有問題的時候
[00:01:49.480 --> 00:01:53.440]  我們會為他們找出很多問題的答案
[00:01:53.440 --> 00:01:55.680]  向他們提供幫助
[00:01:55.680 --> 00:01:57.960]  我們花時間跟他們一起
[00:01:57.960 --> 00:02:01.360]  雖然當然我們相處之間也看到
[00:02:01.360 --> 00:02:03.840]  他們有時有做錯的地方
[00:02:03.840 --> 00:02:07.240]  會得罪人或者得罪你的地方
[00:02:07.240 --> 00:02:09.840]  但我們要在基督的愛中
[00:02:09.840 --> 00:02:12.480]  我們要饒恕他們
[00:02:12.480 --> 00:02:14.520]  而且要包容他們
[00:02:14.520 --> 00:02:15.880]  不要計較
[00:02:15.880 --> 00:02:19.560]  我們要活出一個饒恕的人生
[00:02:19.560 --> 00:02:21.400]  一個在主裡面
[00:02:21.400 --> 00:02:23.480]  一個在主愛中
[00:02:23.480 --> 00:02:25.600]  饒恕的人生
[00:02:25.600 --> 00:02:27.280]  有些時候我們要預備我們的心
[00:02:27.280 --> 00:02:28.840]  我們一起聆聽神的話語
[00:02:28.840 --> 00:02:31.240]  我們一起祈禱
[00:02:31.240 --> 00:02:31.920]  親愛的父神
[00:02:31.920 --> 00:02:34.040]  我們聆聽你的話語的時候
