
[00:00:00.000 --> 00:00:09.000]  如果一套電影是很賣座,很厚悲,我們走過來就會問,有沒有看過哪套電影?
[00:00:09.000 --> 00:00:22.000]  但發覺這套電影我們見到,不是說這套電影好不好看,而是問有沒有哭,有沒有哭,似乎看人都會哭。
[00:00:22.000 --> 00:00:45.000]  一套很特別的電影,成本不高,但發覺特別成人看,特別觸動,因為是一個很現實,一個發生在香港的事跡,盡量保持原故事的神韻,沒有加添很多鹽,沒有加添很多醋。
[00:00:45.000 --> 00:01:03.000]  當然有少少催淚的元素加進去,但目的不是要擦眼淚,這套電影的導演叫關信輝,關信輝是我認識很多年的主內弟兄,可以說他是香港第一代福音電影的導演。
[00:01:03.000 --> 00:01:28.000]  但講真我以前看福音電影,總是覺得很多的掣肘,即是說這些電影拍出來其實只是給鏡頭看,在教會辦個電影晚會可能很暢銷,很多鏡頭看,但是出到市場有很多不足的地方,或者是沒有去到一個市場的要求。
[00:01:28.000 --> 00:01:53.000]  這套電影一開始就知道結局是什麼,本身有很多很多掣肘,但這套電影不是一套電影,但拍出來那種感染力,正如我在論壇寫了一篇文章,仍然相信愛與溫柔的力量,這個慢慢在香港遺失了的力量,這個很重要。
[00:01:53.000 --> 00:02:12.000]  無需要講福音,而令人心感動,這些是高手,這些是應該,基督會做事。所以信輝在接受我們訪問的時候他這樣講,他說我以前是很刻意去講訊息,訊息是越來越僵硬,人就越不接受。
[00:02:12.000 --> 00:02:25.000]  不過要打破以往的框框,神就給我一個新的領域,五個小孩的校長,未來我可以有更大的發揮,這是一個突破,這是一個枷鎖。
[00:02:25.000 --> 00:02:52.000]  有時在教會,基督徒有很多枷鎖,這些枷鎖反而令我們失去了那種釋放的能力。有人問Bill Gates,他爸爸,為什麼教導兒子這麼厲害?老先生說,很簡單,我給他兩個東西,第一,給他有根,根代表有價值觀,第二,給他翅膀,一雙翅膀,讓他飛翔。
[00:02:52.000 --> 00:03:13.000]  有時候整個教會或整個教導將我們掣肘在某種框框當中,反而失去了那種工作的能力,甚至很多時候覺得基督徒只能夠在某些行業做工作,某些行業你不適宜去,因為那裡不適宜基督徒工作。
[00:03:13.000 --> 00:03:38.000]  所以今天我和關信輝的這個醒悟,這個醒悟是我多年來的醒悟,其實我們要衝破我們很多的框框,而更加回到聖經當中,去看看神怎樣看待我們的工作,工作是枷鎖還是翅膀,希望大家可以進入到一個較新的領域當中。
[00:03:38.000 --> 00:04:01.000]  保羅是一個很特別的人物,保羅書信其實講很多工作的問題,因為他很典型,在工作上有一個好的模式,他本身就是一個好的典範,他寫很多書信,賢教很好,但保羅的新教更加好。
