
[00:00:00.000 --> 00:00:02.680]  聖誕節將會來臨
[00:00:02.680 --> 00:00:05.680]  聖誕節的主角是誰呢?
[00:00:05.680 --> 00:00:08.520]  很多人想起是聖誕老人
[00:00:08.520 --> 00:00:10.200]  聖誕燈飾
[00:00:10.200 --> 00:00:11.520]  聖誕禮物
[00:00:11.520 --> 00:00:12.800]  聖誕大餐
[00:00:12.800 --> 00:00:14.480]  聖誕派對
[00:00:14.480 --> 00:00:17.320]  聖誕節就是被這些東西充實著
[00:00:17.320 --> 00:00:19.120]  這些彷彿都沒有錯
[00:00:19.120 --> 00:00:20.360]  因為我們都很著重
[00:00:20.360 --> 00:00:22.400]  有些教會就是聖誕節就派禮物
[00:00:22.400 --> 00:00:24.320]  團企搞活動的時候有禮物
[00:00:24.320 --> 00:00:26.200]  又會有聖誕大餐
[00:00:26.200 --> 00:00:30.200]  今天兒童他們都吃聖誕大餐
[00:00:30.200 --> 00:00:32.200]  他們好像吃火鍋
[00:00:32.200 --> 00:00:34.200]  但我們基督徒都知道
[00:00:34.200 --> 00:00:36.200]  聖誕節的主角是誰呢?
[00:00:36.200 --> 00:00:38.200]  耶穌
[00:00:38.200 --> 00:00:41.720]  聖誕節的主角就是耶穌
[00:00:41.720 --> 00:00:46.920]  就是那位甘願降生成為人的上帝之子
[00:00:46.920 --> 00:00:47.600]  耶穌
[00:00:47.600 --> 00:00:49.200]  臣的兒子耶穌
[00:00:49.200 --> 00:00:50.400]  臣的兒子耶穌基督
[00:00:50.400 --> 00:00:53.200]  祂書尊降貴來到世上
[00:00:53.200 --> 00:00:55.600]  祂在世活了多少年呢?
[00:00:55.600 --> 00:00:57.400]  三十三年
[00:00:57.400 --> 00:00:59.800]  在這三十三年的裏面
[00:00:59.800 --> 00:01:03.800]  展現了祂是一個完完全全的上帝
[00:01:03.800 --> 00:01:07.600]  亦都展現了祂是一個完完全全的人
[00:01:07.600 --> 00:01:10.800]  跟我們基本上好像沒有分別
[00:01:10.800 --> 00:01:14.600]  十一月我在禮拜六的早禱會那裏
[00:01:14.600 --> 00:01:16.600]  就帶頂姐妹一起去思想
[00:01:16.600 --> 00:01:20.800]  就是在《約翰福音》裏面記載了七個神蹟
[00:01:20.800 --> 00:01:22.800]  就是你怎樣顯明
