
[00:00:00.000 --> 00:00:03.400]  有冇記得以前睇報紙要睇報紙㗎
[00:00:03.400 --> 00:00:05.440]  報紙啲字粒係點㗎
[00:00:05.440 --> 00:00:07.820]  排到密麻麻㗎嘛
[00:00:07.820 --> 00:00:09.820]  而家嗰啲書呢
[00:00:09.820 --> 00:00:13.040]  一行一行中間好似貨櫃車行得過咁㗎
[00:00:13.040 --> 00:00:14.200]  好闊㗎
[00:00:14.200 --> 00:00:16.580]  咁咪好快咁快睇完一本書㗎
[00:00:16.580 --> 00:00:18.920]  睇完一課 一個chapter
[00:00:18.920 --> 00:00:22.400]  望下 所謂啲字其實唔係好多㗎咋喎
[00:00:22.400 --> 00:00:24.400]  聖經呢
[00:00:24.400 --> 00:00:25.740]  我比一個統計
[00:00:25.740 --> 00:00:27.880]  點樣可以一年讀哂一次聖經呢
[00:00:27.880 --> 00:00:30.120]  好簡單 有冇聽過啲減肥廣告呀
[00:00:30.120 --> 00:00:32.120]  只需要88
[00:00:32.120 --> 00:00:36.840]  你而家聽歌聽咩㗎
[00:00:36.840 --> 00:00:38.840]  MP3 係咪
[00:00:38.840 --> 00:00:40.180]  係啦 MP3
[00:00:40.180 --> 00:00:41.560]  新約聖經呢
[00:00:41.560 --> 00:00:43.800]  我擁有個MP3聖經呢
[00:00:43.800 --> 00:00:46.440]  只係讀22個鐘頭
[00:00:46.440 --> 00:00:48.240]  你一路喺度播呢
[00:00:48.240 --> 00:00:50.720]  有啲人揸車呀 或者煮飯呀
[00:00:50.720 --> 00:00:54.240]  燙衫呀 拖地呀 化後痘呀
[00:00:54.240 --> 00:00:56.240]  咁你就播住個聖經呢
[00:00:56.240 --> 00:00:58.240]  只係播22個鐘
[00:00:58.240 --> 00:01:01.080]  一個新約聖經就播完㗎喇喎
[00:01:01.080 --> 00:01:02.320]  係咪呀
[00:01:02.320 --> 00:01:05.320]  你返去check下你自己嗰個 如果你有用開電腦
[00:01:05.320 --> 00:01:08.880]  如果你唔使check 你信我得㗎喇
[00:01:08.880 --> 00:01:10.680]  22個鐘
[00:01:10.680 --> 00:01:12.680]  只要播22個鐘
[00:01:12.680 --> 00:01:16.000]  就可以完成一套新約聖經嘅閱讀
[00:01:16.000 --> 00:01:17.560]  爽唔爽呀
[00:01:17.560 --> 00:01:21.680]  咁你已經可以由30個腰圍收到27㗎喇
[00:01:21.680 --> 00:01:23.680]  就類似咁啦
[00:01:23.680 --> 00:01:27.360]  舊約呢 就66個鐘左右
[00:01:27.360 --> 00:01:30.360]  咁就睇下你用啲咩嘅版本啦
[00:01:30.360 --> 00:01:32.360]  咁都差唔多㗎喇
[00:01:32.360 --> 00:01:38.600]  咁所以66個鐘就能夠將舊約聖經可以播一次㗎喇喎
[00:01:38.600 --> 00:01:40.600]  咁所以呢 簡單嚟講
[00:01:40.600 --> 00:01:43.520]  只需要88
[00:01:43.520 --> 00:01:45.520]  只係需要88個鐘
