
[00:00:00.000 --> 00:00:07.040]  今天很高興能夠跟大家分享《羅馬書》十二章二章
[00:00:07.040 --> 00:00:13.940]  《羅馬書》十二章其實是我最喜愛的《聖經章節》之一
[00:00:13.940 --> 00:00:17.100]  在二十一節裡面
[00:00:17.100 --> 00:00:23.100]  有八成以上都是我小六之前已經聽過的
[00:00:23.100 --> 00:00:25.940]  例如有什麼經文
[00:00:25.940 --> 00:00:27.220]  譬如第一節
[00:00:27.220 --> 00:00:29.240]  大家都很熟悉
[00:00:29.240 --> 00:00:31.960]  所以弟兄們我以上帝的慈悲勸你們
[00:00:31.960 --> 00:00:34.560]  將身體獻上當作活祭
[00:00:34.560 --> 00:00:37.120]  是聖潔的是上帝所欺欲的
[00:00:37.120 --> 00:00:39.980]  你們如此是奉乃是理所當然的
[00:00:39.980 --> 00:00:42.260]  接著到第九節又很熟悉
[00:00:42.260 --> 00:00:43.900]  其實中間也有很多很熟悉的
[00:00:43.900 --> 00:00:44.720]  譬如
[00:00:44.720 --> 00:00:45.680]  愛人不可虛假
[00:00:45.680 --> 00:00:46.800]  惡要厭惡
[00:00:46.800 --> 00:00:47.920]  善要親近
[00:00:47.920 --> 00:00:50.040]  愛弟兄要彼此親熱
[00:00:50.040 --> 00:00:51.840]  恭敬人要彼此推揚
[00:00:51.840 --> 00:00:53.040]  恩勤不可懶惰
[00:00:53.040 --> 00:00:55.840]  要心裡火熱常常服侍主
[00:00:55.840 --> 00:00:57.600]  與喜樂的人要同樂
[00:00:57.600 --> 00:00:59.600]  與哀哭的人要同哭
[00:00:59.600 --> 00:01:02.000]  加上最後第二十節
[00:01:02.000 --> 00:01:03.320]  我是最喜歡的
[00:01:03.320 --> 00:01:04.200]  所以
[00:01:04.200 --> 00:01:06.600]  你的仇敵若餓了就給他吃
[00:01:06.600 --> 00:01:08.400]  若渴了就給他喝
[00:01:08.400 --> 00:01:13.360]  因為你這行就是在炭火堆在他的頭上
[00:01:13.360 --> 00:01:17.600]  這些經文都是很實用的金句
[00:01:17.600 --> 00:01:19.160]  在我們生活裡面
[00:01:19.160 --> 00:01:24.360]  給了我們很多提醒和指引
[00:01:24.360 --> 00:01:31.280]  今天的講道經文就是來自羅馬書十二章的第二節
[00:01:31.280 --> 00:01:34.080]  十二章第二節的頭一句
[00:01:34.080 --> 00:01:38.200]  是「不要效法這個世界」
