
[00:00:00.000 --> 00:00:02.840]  今天想和大家分享的題目是
[00:00:02.840 --> 00:00:06.080]  心靈的眼睛漸漸看見的旅程
[00:00:06.080 --> 00:00:10.480]  在這裏我們看到
[00:00:10.480 --> 00:00:14.240]  剛才讀的經文講了有兩個核子
[00:00:14.240 --> 00:00:16.960]  很明顯核子是看不見的
[00:00:16.960 --> 00:00:19.760]  不過它們漸漸能夠看見
[00:00:19.760 --> 00:00:23.200]  眼睛是很重要的
[00:00:23.200 --> 00:00:27.520]  我們應該有聽過白內障這個問題
[00:00:28.040 --> 00:00:34.040]  原來白內障就是我們在眼睛的瞳孔附近
[00:00:34.040 --> 00:00:35.600]  有個晶片
[00:00:35.600 --> 00:00:38.360]  那個晶片只要長了一塊白白的膜
[00:00:38.360 --> 00:00:40.200]  小小一塊白白的膜
[00:00:40.200 --> 00:00:42.440]  就將我們的眼睛遮住了
[00:00:42.440 --> 00:00:44.680]  你看東西就會出現困難
[00:00:44.680 --> 00:00:47.040]  你會發現看東西有點模糊
[00:00:47.040 --> 00:00:49.120]  一片白色有點模糊
[00:00:49.120 --> 00:00:51.440]  然後你會周身不舒服
[00:00:51.440 --> 00:00:54.720]  還有就會影響你的工作、生活等等
[00:00:54.720 --> 00:00:59.240]  以前這些狀態都是因為老化
[00:00:59.240 --> 00:01:01.080]  比較多老化的原因
[00:01:01.080 --> 00:01:02.880]  我們身體慢慢壞了
[00:01:02.880 --> 00:01:04.800]  就會有白內障
[00:01:04.800 --> 00:01:07.320]  也知道在幾十年前
[00:01:07.320 --> 00:01:08.800]  如果要做白內障
[00:01:08.800 --> 00:01:11.400]  都是一些複雜的手術
[00:01:11.400 --> 00:01:14.560]  甚至在要做眼睛的手術的時候
[00:01:14.560 --> 00:01:20.080]  又說要白內障的程度熟悉才可以做
[00:01:20.080 --> 00:01:23.240]  但是因為科技的關係現在越來越好了
[00:01:23.240 --> 00:01:25.840]  只要你發現有,你隨時都可以做
[00:01:25.840 --> 00:01:27.640]  就算未熟也可以做
[00:01:27.640 --> 00:01:29.800]  但是有些情況又不好
[00:01:29.800 --> 00:01:31.960]  據一些資料告訴我們
[00:01:31.960 --> 00:01:35.560]  原來現在白內障的狀況不是老人家獨有的
[00:01:35.560 --> 00:01:38.320]  現在年輕人都已經開始有白內障
[00:01:38.320 --> 00:01:40.680]  三、四十歲都算年輕
[00:01:40.680 --> 00:01:43.720]  這個數字是多的
[00:01:43.720 --> 00:01:48.400]  越來越多年輕人的眼睛都損壞了
[00:01:48.400 --> 00:01:51.560]  甚至有些年輕人都有這個情況
[00:01:51.560 --> 00:01:54.880]  當然身體裏面有很多其他的原因
[00:01:54.880 --> 00:01:56.360]  令到有白內障
[00:01:56.360 --> 00:01:59.640]  今天想講的,我又不是專家不能講太多
[00:01:59.640 --> 00:02:02.280]  我們有眼科的醫生在
[00:02:02.280 --> 00:02:04.760]  下次要想知道這些就等他講
[00:02:04.760 --> 00:02:06.760]  我們只是想介紹一下
[00:02:06.760 --> 00:02:10.560]  原來眼睛出現一點點問題
[00:02:10.560 --> 00:02:12.080]  你就已經很不妥
[00:02:12.080 --> 00:02:14.040]  你已經渾身不舒服
[00:02:14.040 --> 00:02:17.000]  影響我們的生活,影響很多東西
[00:02:17.000 --> 00:02:18.840]  在很久之前
[00:02:18.840 --> 00:02:21.720]  我年輕的時候回到我的教會裏面
[00:02:21.720 --> 00:02:23.680]  我們有一個視障人士
[00:02:23.680 --> 00:02:26.880]  即是說他生出來的眼睛就有問題
[00:02:26.880 --> 00:02:29.720]  而這個視障人士因為他的緣故
[00:02:29.720 --> 00:02:33.720]  我就認識了一群視障的朋友
[00:02:33.720 --> 00:02:37.120]  而這個太太的女兒也是視障的
