
[00:00:00.000 --> 00:00:01.520]  看完節目大家平安
[00:00:01.520 --> 00:00:03.560]  繼續看《生命樹》
[00:00:03.560 --> 00:00:05.680]  和大家看《聖經人》
[00:00:05.680 --> 00:00:06.640]  《聖經事》
[00:00:06.640 --> 00:00:08.640]  最重要是看《聖經的神》
[00:00:08.640 --> 00:00:10.200]  今天的題目是
[00:00:10.200 --> 00:00:16.200]  「神寵看尊重他的人,輕視藐視他的人」
[00:00:16.200 --> 00:00:20.360]  舊一點的中文都可以
[00:00:20.360 --> 00:00:21.880]  寵看與看寵一樣
[00:00:21.880 --> 00:00:24.240]  神是寵看、看寵
[00:00:24.240 --> 00:00:25.640]  誰尊重他
[00:00:25.640 --> 00:00:29.080]  就是輕視或者藐視那些藐視他的人
[00:00:29.400 --> 00:00:31.400]  神也敢藐視?
[00:00:31.400 --> 00:00:33.320]  是的,有這樣的人
[00:00:33.320 --> 00:00:35.320]  今天帶大家見識一下
[00:00:35.320 --> 00:00:40.840]  來到《三國志記》的上第二章二十七節
[00:00:40.840 --> 00:00:43.240]  「有神人來見以利」
[00:00:43.240 --> 00:00:45.960]  這個神人是什麼意思呢?
[00:00:45.960 --> 00:00:48.480]  就是有一個跟神關係很親密
[00:00:48.480 --> 00:00:49.680]  很敬虔的人
[00:00:49.680 --> 00:00:51.400]  神就差遣他
[00:00:51.400 --> 00:00:52.960]  或者這個人大家都認識的
[00:00:52.960 --> 00:00:54.760]  不過他沒有說他的名字
[00:00:54.760 --> 00:00:57.160]  起碼來到以利是不會說
[00:00:57.160 --> 00:00:58.720]  「你是哪位?」
[00:00:58.960 --> 00:01:00.200]  他來見以利
[00:01:00.200 --> 00:01:01.560]  以利已經認識他
[00:01:01.560 --> 00:01:03.880]  大概都知道這位都是
[00:01:03.880 --> 00:01:06.920]  主內的敬虔的人
[00:01:06.920 --> 00:01:08.000]  很敬重的
[00:01:08.000 --> 00:01:09.520]  這個神人來見以利
[00:01:09.520 --> 00:01:11.120]  對他說
[00:01:11.120 --> 00:01:13.920]  「耶和華叫我和你這樣說」
[00:01:13.920 --> 00:01:16.200]  很直接的說話
[00:01:16.200 --> 00:01:18.240]  不過是問句
[00:01:18.240 --> 00:01:19.000]  大家看到嗎?
[00:01:19.000 --> 00:01:19.880]  問句
