
[00:00:00.000 --> 00:00:04.000]  適逢我們每天讀經識二的時候
[00:00:04.000 --> 00:00:05.600]  讀到離希米記
[00:00:05.600 --> 00:00:10.000]  所以心裏面看到一句說話
[00:00:10.000 --> 00:00:11.400]  很觸動我的心
[00:00:11.400 --> 00:00:15.400]  這句說話就是今天我們講到的題目
[00:00:15.400 --> 00:00:17.400]  因耶和華而得的喜樂
[00:00:17.400 --> 00:00:19.600]  是你們的力量
[00:00:19.600 --> 00:00:21.400]  不如我們一起讀
[00:00:21.400 --> 00:00:23.600]  因耶和華而得的喜樂
[00:00:23.600 --> 00:00:26.000]  是你們的力量
[00:00:26.000 --> 00:00:27.400]  是的
[00:00:27.400 --> 00:00:29.200]  因為我們真的看到
[00:00:29.200 --> 00:00:32.000]  今天在我們身處的環境
[00:00:32.000 --> 00:00:33.200]  周圍當中
[00:00:33.200 --> 00:00:36.800]  都有很多令我們很憂心
[00:00:36.800 --> 00:00:39.800]  或者是覺得不開心的事情
[00:00:39.800 --> 00:00:43.200]  無論是上個禮拜劉曉波的逝世
[00:00:43.200 --> 00:00:45.800]  又或者有四名的立法會議員
[00:00:45.800 --> 00:00:47.400]  他們被取消
[00:00:47.400 --> 00:00:50.200]  因為宣誓的問題被取消資格
[00:00:50.200 --> 00:00:54.000]  這些事情都令我們有很多的思想
[00:00:54.000 --> 00:00:55.200]  思想到今天
[00:00:55.200 --> 00:00:57.200]  究竟在我們的社會當中
[00:00:57.200 --> 00:01:02.200]  我們的空間會不會一路一路縮窄呢
[00:01:02.200 --> 00:01:04.200]  又或者在我們的生命裏面
[00:01:04.200 --> 00:01:06.200]  我們可不可以真的去欣賞
[00:01:06.200 --> 00:01:08.600]  雖然劉曉波他未必是一個基督徒
[00:01:08.600 --> 00:01:10.000]  但是他的生命
[00:01:10.000 --> 00:01:11.200]  他的見證
[00:01:11.200 --> 00:01:14.200]  會不會都能夠成為我們的激勵
[00:01:14.200 --> 00:01:16.200]  他那種求真的精神
[00:01:16.200 --> 00:01:19.200]  能不能夠成為我們跟隨主的人
[00:01:19.200 --> 00:01:22.800]  一種願意同行的那種心
[00:01:22.800 --> 00:01:24.400]  有時候我們真的發現
[00:01:24.400 --> 00:01:26.200]  身邊周圍很多的事情
[00:01:26.200 --> 00:01:27.800]  不斷發生的時候
[00:01:27.800 --> 00:01:31.400]  我們真的很難有一個雀躍的心
[00:01:31.400 --> 00:01:33.400]  但是這句話
[00:01:33.400 --> 00:01:35.600]  因耶和華而得的喜樂
[00:01:35.600 --> 00:01:37.400]  就是我們的力量
[00:01:37.400 --> 00:01:39.400]  這句話對我們的提醒
[00:01:39.400 --> 00:01:41.800]  並不是因為環境的順逆
[00:01:41.800 --> 00:01:45.000]  這句話是因為我們深信
[00:01:45.000 --> 00:01:48.400]  耶和華仍然是掌管這個世界
[00:01:48.400 --> 00:01:51.800]  今天藉著施班剛才所唱的詩歌
[00:01:51.800 --> 00:01:55.000]  這個最大的故事尚未宣揚
[00:01:55.000 --> 00:01:59.600]  最大的故事就是神的救恩要臨到萬民
[00:01:59.600 --> 00:02:01.800]  神要藉著我們的生命
[00:02:01.800 --> 00:02:04.800]  去將這個故事傳開
[00:02:04.800 --> 00:02:07.000]  當然如果說到福音的時候
[00:02:07.000 --> 00:02:10.000]  不可以只是說死後上天堂
[00:02:10.000 --> 00:02:12.000]  這個不是一個完整的福音
[00:02:12.000 --> 00:02:15.400]  一個完整的福音是包括我們在世
