
[00:00:00.000 --> 00:00:01.720]  究竟什麼叫做詩語呢?
[00:00:01.720 --> 00:00:03.720]  我就想和大家討論一下這個問題
[00:00:03.720 --> 00:00:05.720]  就是說來到這裡的時候
[00:00:05.720 --> 00:00:08.440]  聖經有一句說話
[00:00:08.440 --> 00:00:11.320]  其實這個說話是我初時聽的時候
[00:00:11.320 --> 00:00:13.320]  就不是從聖經來的
[00:00:13.320 --> 00:00:19.520]  就是從佛偈、中國民間的謠言
[00:00:19.520 --> 00:00:23.720]  大家就傳言說
[00:00:23.720 --> 00:00:27.000]  「詩比壽更有福」
[00:00:27.000 --> 00:00:28.000]  有沒有聽過?
[00:00:28.000 --> 00:00:31.320]  那你聽那些慈善節目也有說
[00:00:31.320 --> 00:00:32.320]  「詩比壽更有福」
[00:00:32.320 --> 00:00:34.320]  但是如果你完全的詩語
[00:00:34.320 --> 00:00:36.320]  是都有問題的
[00:00:36.320 --> 00:00:39.320]  所以今天我就想和大家
[00:00:39.320 --> 00:00:41.320]  從這段經文裡面去探索一下
[00:00:41.320 --> 00:00:43.320]  什麼叫做詩語
[00:00:43.320 --> 00:00:45.320]  講一講背景很快
[00:00:45.320 --> 00:00:49.320]  經文的背景是你能夠明白和了解的
[00:00:49.320 --> 00:00:51.320]  就是我們說到保羅
[00:00:51.320 --> 00:00:53.320]  現在去到第三次的宣教旅程
[00:00:53.320 --> 00:00:55.320]  上次就說到他留在了史伊弗所
[00:00:55.320 --> 00:00:59.320]  這次他就停留在史伊弗所教會裡面
[00:00:59.320 --> 00:01:02.320]  建立了一間很好的教會
[00:01:02.320 --> 00:01:04.320]  但是他要離開了
[00:01:04.320 --> 00:01:06.320]  他離開這個教會的時候
[00:01:06.320 --> 00:01:09.320]  就和這一群人在那裡聊天
[00:01:09.320 --> 00:01:10.320]  要離別的時候
[00:01:10.320 --> 00:01:13.320]  有一種很感人的場面
[00:01:13.320 --> 00:01:14.320]  好不好?
[00:01:14.320 --> 00:01:16.320]  和以往一樣
[00:01:16.320 --> 00:01:19.320]  我就讀頭尾那兩段
[00:01:19.320 --> 00:01:20.320]  你們讀中間那段
[00:01:20.320 --> 00:01:22.320]  經文是截錄了的
[00:01:22.320 --> 00:01:24.320]  因為很長氣的
[00:01:24.320 --> 00:01:25.320]  好不好?
[00:01:25.320 --> 00:01:26.320]  我就讀第一段
