
[00:00:00.000 --> 00:00:04.580]  今天是我們團契的小組團契主日
[00:00:04.580 --> 00:00:08.320]  在我們崇拜裡面我們一起思想神給我們的訊息
[00:00:08.320 --> 00:00:10.860]  大家和我一起同心我們仰望著
[00:00:10.860 --> 00:00:19.480]  天地的主
[00:00:19.480 --> 00:00:21.400]  永恆的上帝
[00:00:21.400 --> 00:00:25.680]  祢的兒女到祢面前敬拜祢
[00:00:25.680 --> 00:00:29.140]  承認祢是我們生命的主宰
[00:00:30.080 --> 00:00:33.580]  主啊祢是我們每一天每一天的供應
[00:00:33.580 --> 00:00:36.600]  祢是我們生命的盤石
[00:00:36.600 --> 00:00:40.580]  我們在祢的裡面我們不至於動搖
[00:00:40.580 --> 00:00:43.240]  主啊我們敬拜祢
[00:00:43.240 --> 00:00:45.800]  因為祢賜下豐厚的恩惠
[00:00:45.800 --> 00:00:48.800]  主啊祢清楚的
[00:00:48.800 --> 00:00:50.400]  祢都吩咐我們
[00:00:50.400 --> 00:00:53.320]  教導我們學習去付出
[00:00:53.320 --> 00:00:56.880]  因為祢應許施比受更為有福
[00:00:57.600 --> 00:01:01.000]  祢又教導我們在付出的時候
[00:01:01.000 --> 00:01:02.680]  去領受生命
[00:01:02.680 --> 00:01:07.200]  在降悲的時候領受祢給我們的榮耀
[00:01:07.200 --> 00:01:10.920]  主啊我們今天在祢面前我們感謝祢
[00:01:10.920 --> 00:01:12.920]  給我們有弟兄姊妹
[00:01:12.920 --> 00:01:14.920]  我們一起敬拜祢
[00:01:14.920 --> 00:01:17.360]  亦都學習彼此的相處
[00:01:17.360 --> 00:01:19.560]  彼此的互相建立
[00:01:19.560 --> 00:01:22.480]  求祢帶領我們今天一起在祢面前
[00:01:22.480 --> 00:01:24.680]  去思想祢的道的時候
[00:01:24.680 --> 00:01:27.440]  主啊祢的聖靈在我們心中
[00:01:27.800 --> 00:01:29.800]  讓我們明白祢的道
[00:01:29.800 --> 00:01:33.800]  亦都領受祢給我們跟隨的力量
[00:01:33.800 --> 00:01:37.160]  我們仰望恩主賜福帶領我們
[00:01:37.160 --> 00:01:38.880]  我們仰望祈禱
[00:01:38.880 --> 00:01:41.160]  奉耶穌基督聖名祈求
[00:01:41.160 --> 00:01:42.280]  阿們
[00:01:42.280 --> 00:01:47.120]  今天跟大家分享
[00:01:47.120 --> 00:01:50.600]  關於聖經裡面團契的真理
[00:01:50.600 --> 00:01:53.120]  我們很多時候都提及
[00:01:53.120 --> 00:01:55.560]  在教會裡面有很多不同的團契
[00:01:55.560 --> 00:01:56.760]  不同的小組
[00:01:57.800 --> 00:01:59.120]  有時候我們會覺得好像是
[00:01:59.120 --> 00:02:02.520]  很多眾多的活動裡面的其中一樣
[00:02:02.520 --> 00:02:04.840]  但是小心讀聖經的時候
[00:02:04.840 --> 00:02:06.840]  就會察覺聖經在說
[00:02:06.840 --> 00:02:10.600]  團契生活是神對我們的吩咐
[00:02:10.600 --> 00:02:14.120]  是實踐使命的
[00:02:14.120 --> 00:02:16.960]  實踐信仰的地方
[00:02:16.960 --> 00:02:20.480]  所以當我們很多時候在崇拜的時候
[00:02:20.480 --> 00:02:22.480]  會讀到《仕途信經》
[00:02:22.480 --> 00:02:26.320]  我們將我們的信仰我們是說出來
[00:02:26.520 --> 00:02:28.760]  大家一定記得中間有句說話說
[00:02:28.760 --> 00:02:31.760]  我信聖兒公之教會
[00:02:31.760 --> 00:02:35.000]  我信聖徒相通
