
[00:00:00.000 --> 00:00:03.000]  好,大型姊妹平安
[00:00:03.000 --> 00:00:06.000]  不知大型姐妹有無等過人呢?
[00:00:06.000 --> 00:00:12.000]  有無等到幾多分鐘之後你就不等
[00:00:12.000 --> 00:00:15.000]  然後就算啦,我們去行啦
[00:00:15.000 --> 00:00:21.000]  昨日青少年有一個小組活動
[00:00:21.000 --> 00:00:23.000]  在一個戶外崇拜裏面
[00:00:23.000 --> 00:00:25.000]  要去行山
[00:00:25.000 --> 00:00:31.000]  都要等齊,等人集合齊人然後出發
[00:00:31.000 --> 00:00:34.000]  總會有一兩個人遲到
[00:00:34.000 --> 00:00:37.000]  最後我們都等不到,都要出發
[00:00:37.000 --> 00:00:43.000]  因為在裏面我們已經覺得再等下去都不是辦法
[00:00:43.000 --> 00:00:46.000]  那個人後加上來,後追上來
[00:00:46.000 --> 00:00:51.000]  或者在一些拍拖關係裏面
[00:00:51.000 --> 00:00:53.000]  可能你等的極限又會高些
[00:00:53.000 --> 00:00:56.000]  但等主呢?
[00:00:56.000 --> 00:01:00.000]  等主你可以等多久?
[00:01:00.000 --> 00:01:03.000]  可能每個人都心裏面有一把尺
[00:01:03.000 --> 00:01:05.000]  有個時間都會不同
[00:01:05.000 --> 00:01:07.000]  但在等的過程裏面
[00:01:07.000 --> 00:01:10.000]  聖經很清楚地告訴我們
[00:01:10.000 --> 00:01:13.000]  無論你可以等到多久
[00:01:13.000 --> 00:01:15.000]  但我們都需要有一個態度
[00:01:15.000 --> 00:01:19.000]  就是我們要隨時警醒等候
[00:01:19.000 --> 00:01:22.000]  以致我們用一個最佳的狀態
[00:01:22.000 --> 00:01:24.000]  去等主再來
[00:01:24.000 --> 00:01:27.000]  大概在帖撒羅尼加前書
[00:01:27.000 --> 00:01:31.000]  講到這段經文的時候
[00:01:31.000 --> 00:01:35.000]  我想有少少背景需要大家去理解
[00:01:35.000 --> 00:01:37.000]  以致在裏面
[00:01:37.000 --> 00:01:42.000]  為何保羅會去勸勉提醒當時的上徒
[00:01:42.000 --> 00:01:46.000]  你們要等,要等到主再來
[00:01:46.000 --> 00:01:50.000]  無論甚麼時間你都要去警醒等候
[00:01:50.000 --> 00:01:54.000]  保羅在帖撒羅尼加這段事跡
[00:01:54.000 --> 00:01:58.000]  是記載在《士道行傳》第十七章
[00:01:58.000 --> 00:02:02.000]  一至十節裏面的一段時間
[00:02:02.000 --> 00:02:04.000]  對保羅來說
