
[00:00:00.000 --> 00:00:01.800]  各位電影節目,早晨!平安!
[00:00:01.800 --> 00:00:04.240]  這段經文我相信你們都很熟悉
[00:00:04.240 --> 00:00:07.400]  少說背景,我們下半年就說《約書亞記》
[00:00:07.400 --> 00:00:10.760]  上半年《仕逃行傳》已經完成了
[00:00:10.760 --> 00:00:11.800]  《仕逃行傳》的系列
[00:00:11.800 --> 00:00:14.360]  所以下半年我們都持續著
[00:00:14.360 --> 00:00:18.200]  會分享我們希望擴展主的角度
[00:00:18.200 --> 00:00:21.480]  提醒我們和深化屬靈土壤
[00:00:21.480 --> 00:00:24.640]  基本上我們是按照我們的使命
[00:00:24.640 --> 00:00:27.600]  交替來講這些主題
[00:00:27.600 --> 00:00:29.520]  《約書亞記》這段經文
[00:00:29.520 --> 00:00:31.080]  我相信你們都很熟悉
[00:00:31.080 --> 00:00:33.640]  同不同意?起碼看過一兩次
[00:00:33.640 --> 00:00:36.520]  這裡就說到約書亞
[00:00:36.520 --> 00:00:38.880]  耶和華親自跟他說話
[00:00:38.880 --> 00:00:40.560]  在摩西死了之後
[00:00:40.560 --> 00:00:45.160]  就跟他的耶和華向約書亞說話
[00:00:45.160 --> 00:00:46.480]  整段這段
[00:00:46.480 --> 00:00:50.920]  這段經文有幾個字眼都是重複出現
[00:00:50.920 --> 00:00:53.200]  正如我的題目在當中
[00:00:53.200 --> 00:00:55.680]  不知道你有沒有這個感受
[00:00:55.680 --> 00:00:58.560]  或者你剛才讀的時候讀不讀得到
[00:00:58.560 --> 00:01:00.600]  連續讀三次我的題目
[00:01:00.600 --> 00:01:02.040]  「剛強壯膽」
[00:01:02.040 --> 00:01:03.840]  連續講三次
[00:01:03.840 --> 00:01:05.360]  重要的事情講三次
[00:01:05.360 --> 00:01:06.240]  同不同意?
[00:01:06.240 --> 00:01:08.000]  重要的事情之餘
[00:01:08.000 --> 00:01:10.600]  為什麼耶和華覺得重要呢?
[00:01:10.600 --> 00:01:12.640]  因為他需要
[00:01:12.640 --> 00:01:14.360]  因為天父不長氣
[00:01:14.360 --> 00:01:15.800]  是我長氣而已
[00:01:15.800 --> 00:01:17.040]  天父一點都不長氣
[00:01:17.040 --> 00:01:18.080]  這樣都講三次
[00:01:18.080 --> 00:01:21.360]  就是說約書亞很大需要
[00:01:21.360 --> 00:01:22.480]  他很需要什麼?
[00:01:22.480 --> 00:01:23.720]  「剛強壯膽」
[00:01:23.720 --> 00:01:26.760]  為什麼他這麼需要「剛強壯膽」?
[00:01:26.760 --> 00:01:29.560]  很多憂慮很多思慮煩憂
[00:01:29.560 --> 00:01:31.680]  所以要「剛強壯膽」
[00:01:31.680 --> 00:01:33.240]  感不感受到?
[00:01:33.240 --> 00:01:35.000]  我本來都不太感受到
[00:01:35.000 --> 00:01:36.440]  不過我先講一件事
[00:01:36.440 --> 00:01:41.680]  我們想想約書亞害怕什麼呢?
[00:01:41.680 --> 00:01:43.560]  你猜一下他害怕什麼?
[00:01:43.560 --> 00:01:45.600]  現在摩西接棒了
[00:01:45.600 --> 00:01:47.280]  這裡有提到
[00:01:47.280 --> 00:01:49.240]  他本來是摩西的幫手
[00:01:49.240 --> 00:01:50.400]  就是他的助手
[00:01:50.400 --> 00:01:52.400]  做了幾十年了
[00:01:52.400 --> 00:01:54.080]  現在終於摩西死了
[00:01:54.080 --> 00:01:55.960]  他現在要接了摩西棒
[00:01:55.960 --> 00:01:57.480]  究竟他害怕什麼?
[00:01:57.480 --> 00:01:59.800]  你猜一下他害怕什麼?
[00:01:59.800 --> 00:02:01.320]  他害怕什麼?
[00:02:01.320 --> 00:02:04.320]  責任更大
[00:02:04.320 --> 00:02:06.200]  「麻煩友」
[00:02:06.200 --> 00:02:07.680]  即是他的馬仔很麻煩
[00:02:07.680 --> 00:02:08.960]  即是管那些人
[00:02:08.960 --> 00:02:11.320]  那些人很麻煩
[00:02:11.320 --> 00:02:14.400]  還有什麼害怕?
[00:02:14.400 --> 00:02:16.560]  「敵人」害怕
[00:02:16.560 --> 00:02:20.040]  四十年前他做過探紙規探加南地
[00:02:20.040 --> 00:02:21.800]  那些人很高大的
