
[00:00:00.000 --> 00:00:05.440]  所以這是我們的禱告
[00:00:05.440 --> 00:00:08.480]  我們知道離開了你
[00:00:08.480 --> 00:00:11.720]  我們什麼都不可以做
[00:00:11.720 --> 00:00:13.960]  在我們的生命裏面
[00:00:13.960 --> 00:00:20.560]  我們知道唯有你能夠幫助
[00:00:20.560 --> 00:00:24.440]  滿足、強化我們的生命
[00:00:24.440 --> 00:00:27.360]  我們需要你
[00:00:27.360 --> 00:00:30.120]  聖靈我們在這裏呼求你
[00:00:30.120 --> 00:00:38.080]  在這個時候親自充滿我們每一個人的心
[00:00:38.080 --> 00:00:41.040]  讓我們有一個很柔軟的心
[00:00:41.040 --> 00:00:43.280]  有一個很渴慕的心
[00:00:43.280 --> 00:00:47.800]  來聆聽你今天藉著你的話
[00:00:47.800 --> 00:00:51.160]  來對我們說話
[00:00:51.160 --> 00:00:57.240]  祈求你親自來保守聽的、說的、是同感一靈的
[00:00:57.240 --> 00:01:00.520]  讓我們能夠在你面前謙卑下來
[00:01:00.520 --> 00:01:04.560]  去領受你今天給我們的說話
[00:01:04.560 --> 00:01:07.000]  給我們的提醒、給我們的鼓勵
[00:01:07.000 --> 00:01:08.280]  我們多謝你
[00:01:08.280 --> 00:01:10.720]  因為你是一個信實不變的主
[00:01:10.720 --> 00:01:11.560]  我們多謝你
[00:01:11.560 --> 00:01:12.480]  我們這樣禱告
[00:01:12.480 --> 00:01:14.240]  奉主耶穌名叩
[00:01:14.240 --> 00:01:15.240]  阿門
[00:01:15.240 --> 00:01:16.240]  各位請坐
[00:01:22.160 --> 00:01:26.160]  我們今年的主題
[00:01:26.160 --> 00:01:27.480]  我們不厭其煩
[00:01:27.480 --> 00:01:28.240]  因為是一月
[00:01:28.240 --> 00:01:29.360]  我們不厭其煩
[00:01:29.360 --> 00:01:31.040]  再來讀一次好嗎
[00:01:31.040 --> 00:01:32.760]  強化生命
[00:01:32.760 --> 00:01:34.760]  實踐使命
[00:01:34.760 --> 00:01:39.760]  我們今天仍然會講強化生命這個主題
[00:01:39.760 --> 00:01:42.920]  我們知道上個星期
[00:01:42.920 --> 00:01:46.160]  其實楊牧師都分別透過詩篇
[00:01:46.160 --> 00:01:51.840]  來幫助我們明白靠著神的話語
[00:01:51.840 --> 00:01:56.840]  我們去過一個德性的生活
[00:01:56.840 --> 00:02:01.360]  今天我們會透過「獵王記上」和「獵王記下」
[00:02:01.360 --> 00:02:02.080]  為甚麼呢
[00:02:02.080 --> 00:02:05.880]  其實如果大家讀經識異的時候
[00:02:05.880 --> 00:02:08.800]  你會知道很快就會連成詩篇
[00:02:08.800 --> 00:02:11.080]  我們之前完成了「獵王記上」
