
[00:00:00.000 --> 00:00:02.880]  宋代嘅詩人陸游
[00:00:02.880 --> 00:00:07.220]  曾經咁樣去教訓佢嘅子孫
[00:00:07.220 --> 00:00:12.680]  佢話「天下事常成於困約,而敗於奢微」
[00:00:12.680 --> 00:00:14.040]  即係乜嘢意思呢?
[00:00:14.040 --> 00:00:15.880]  佢話天下嘅事
[00:00:15.880 --> 00:00:18.000]  往往因為逆境
[00:00:18.000 --> 00:00:20.100]  人去奮發圖強
[00:00:20.100 --> 00:00:21.640]  就所以成功
[00:00:21.640 --> 00:00:24.740]  但係亦都往往因為好順境
[00:00:24.740 --> 00:00:26.240]  一切順利
[00:00:26.240 --> 00:00:28.520]  人就傾向奢侈
[00:00:28.520 --> 00:00:30.160]  不思進取
[00:00:30.160 --> 00:00:32.480]  所以就失敗
[00:00:32.480 --> 00:00:38.080]  有人話順境唔會帶嚟傷痛同埋傷害
[00:00:38.080 --> 00:00:39.800]  或者係啲痛楚
[00:00:39.800 --> 00:00:43.480]  反而令到人覺得舒適
[00:00:43.480 --> 00:00:44.640]  安樂
[00:00:44.640 --> 00:00:46.200]  美好
[00:00:46.200 --> 00:00:47.080]  所以呢
[00:00:47.080 --> 00:00:50.480]  往往啲人就開始忘記咗神
[00:00:50.480 --> 00:00:53.720]  開始迷失喇
[00:00:53.720 --> 00:00:58.120]  呢一個嘅挑戰可能係我哋今日講到嘅主角
[00:00:58.120 --> 00:01:01.760]  約瑟所面對嘅挑戰
[00:01:01.760 --> 00:01:05.640]  約瑟係雅閣嘅尾二哥嘅仔
[00:01:05.640 --> 00:01:08.960]  因為佢啲哥嫉妒佢
[00:01:08.960 --> 00:01:12.200]  所以將佢賣咗去埃及
[00:01:12.200 --> 00:01:13.840]  喺埃及
[00:01:13.840 --> 00:01:18.400]  約瑟受到法老王嘅侍衛長波提佛嘅賞識
[00:01:18.400 --> 00:01:22.040]  派佢管理自己家裏面大小嘅事務
[00:01:22.040 --> 00:01:24.040]  約瑟以為有好日子過
[00:01:24.040 --> 00:01:27.320]  點知老闆娘因為勾引佢不遂
[00:01:27.320 --> 00:01:30.240]  誣告佢意圖強姦
[00:01:30.240 --> 00:01:32.840]  所以約瑟一夜之間就成為
[00:01:32.840 --> 00:01:36.560]  同福堂監獄侍公光明之子嘅服侍對象
[00:01:36.560 --> 00:01:37.320]  即係乜嘢呢
[00:01:37.320 --> 00:01:39.040]  囚犯
[00:01:39.040 --> 00:01:43.720]  喺監獄裏面約瑟為佢嘅囚友走證解夢
[00:01:43.720 --> 00:01:46.320]  果然非常準確
[00:01:46.320 --> 00:01:49.680]  走證好快就被放出監
[00:01:49.680 --> 00:01:52.120]  咁喺放出監之前約瑟話
[00:01:52.120 --> 00:01:55.480]  你出監之後麻煩你美言幾句
[00:01:55.480 --> 00:01:58.000]  幫助我救我出去
