
[00:00:00.000 --> 00:00:04.220]  各位,我們來到最後一集聖地望上行部主腳鐘
[00:00:04.220 --> 00:00:06.700]  我們已經有十幾次的旅程
[00:00:06.700 --> 00:00:12.480]  上一集我們旅程是停低了在苦魯維爾德羅沙最後一站
[00:00:12.480 --> 00:00:13.740]  第十四站
[00:00:13.740 --> 00:00:19.700]  這裡就是聖母堂所標記的地方
[00:00:19.700 --> 00:00:23.240]  紀念耶穌從死裡復活的墳墓
[00:00:23.240 --> 00:00:25.340]  如果你有去過耶路撒冷玩的話
[00:00:25.340 --> 00:00:27.240]  你可能聽過另一個說法
[00:00:27.240 --> 00:00:33.500]  就是有另一個地方才說是耶穌基督死而復活的墳墓
[00:00:33.500 --> 00:00:37.500]  那個地方叫做Garden Tomb 花園叢
[00:00:37.500 --> 00:00:41.460]  這個地方是位於耶路撒冷舊城北面
[00:00:41.460 --> 00:00:43.580]  大馬士革門外面
[00:00:43.580 --> 00:00:47.380]  有人認為這個地方才屬於耶穌的墳墓
[00:00:47.380 --> 00:00:50.100]  因為這裡的面貌
[00:00:50.100 --> 00:00:52.560]  或者山上的陽色
[00:00:52.560 --> 00:00:54.220]  就好像一個骷髏頭
[00:00:54.220 --> 00:00:56.260]  所以十九世紀末的時候
[00:00:56.260 --> 00:00:59.660]  有一群基督徒望見這個山的時候
[00:00:59.660 --> 00:01:02.360]  他又不是很接受到聖母堂裡面
[00:01:02.360 --> 00:01:04.820]  東正教天主教的儀式
[00:01:04.820 --> 00:01:09.060]  所以他就認為這裡才是築流地
[00:01:09.060 --> 00:01:13.360]  因為築流地的意思就是骷髏頭的意思
[00:01:13.360 --> 00:01:17.100]  但是你留意一下聖經裡面所描述的築流地
[00:01:17.100 --> 00:01:18.260]  Gothic
[00:01:18.260 --> 00:01:21.060]  其實不是在說一個山的面貌
[00:01:21.060 --> 00:01:24.360]  其實是在說這個地方是一個死刑場
[00:01:24.360 --> 00:01:28.220]  place of skull 即是死亡死刑的地方
[00:01:28.220 --> 00:01:31.420]  更加何況二千年之前一世紀的時候
[00:01:31.420 --> 00:01:36.420]  這裡的一帶山的樣貌不是這樣的
[00:01:36.420 --> 00:01:40.540]  有一個這樣的骷髏頭的面貌
[00:01:40.540 --> 00:01:42.620]  是後世才出現的
[00:01:42.620 --> 00:01:45.100]  一世紀的時候不是這樣的
