
[00:00:00.000 --> 00:00:02.680]  你要專心仰賴耶和華
[00:00:02.680 --> 00:00:05.080]  不可以靠自己的聰明
[00:00:05.080 --> 00:00:07.560]  在你一切所行的事上
[00:00:07.560 --> 00:00:09.520]  都要認定他
[00:00:09.520 --> 00:00:11.680]  他必指引你的路
[00:00:11.680 --> 00:00:13.560]  好,這個忠告
[00:00:13.560 --> 00:00:16.560]  我們看到
[00:00:16.560 --> 00:00:18.840]  忠告
[00:00:18.840 --> 00:00:24.480]  你要
[00:00:24.480 --> 00:00:25.640]  你要怎樣?
[00:00:25.640 --> 00:00:29.240]  專心的來依靠主
[00:00:30.000 --> 00:00:31.600]  專心
[00:00:31.600 --> 00:00:34.240]  你要專心的來依靠主
[00:00:34.240 --> 00:00:35.400]  專心是什麼呢?
[00:00:35.400 --> 00:00:37.560]  是全心全意
[00:00:37.560 --> 00:00:39.040]  一心一意
[00:00:39.040 --> 00:00:40.800]  專心一意
[00:00:40.800 --> 00:00:42.120]  來依靠主
[00:00:42.120 --> 00:00:46.880]  《雅各書》第一章第八節說
[00:00:46.880 --> 00:00:49.080]  心懷異議的人
[00:00:49.080 --> 00:00:51.280]  在他一切所行的路上
[00:00:51.280 --> 00:00:53.080]  沒有定見
[00:00:53.080 --> 00:00:55.400]  專心
[00:00:55.400 --> 00:00:56.920]  專心
[00:00:56.920 --> 00:00:59.000]  專心就是專注
[00:00:59.000 --> 00:01:00.960]  集中注意力
[00:01:00.960 --> 00:01:02.600]  特別在這裡
[00:01:02.600 --> 00:01:03.600]  作者
[00:01:03.600 --> 00:01:08.240]  作為父親的角色
[00:01:08.240 --> 00:01:10.640]  去作出一個忠告
[00:01:10.640 --> 00:01:12.160]  就是我們的專注
[00:01:12.160 --> 00:01:14.160]  我們的集中精神
[00:01:14.160 --> 00:01:15.560]  我們的專心放在哪裡呢?
[00:01:15.560 --> 00:01:16.960]  放在
[00:01:16.960 --> 00:01:18.520]  這個神的上方
[00:01:18.520 --> 00:01:21.080]  放在神自己的上方
[00:01:21.080 --> 00:01:24.240]  當我們講到
[00:01:24.240 --> 00:01:27.480]  一個專心依靠
[00:01:27.480 --> 00:01:29.320]  神自己的上方
[00:01:29.320 --> 00:01:30.800]  你會想到哪一個呢?
[00:01:30.800 --> 00:01:32.280]  你會想到哪一個
[00:01:32.280 --> 00:01:33.560]  在聖經裡面說
[00:01:33.560 --> 00:01:37.960]  一個專心依靠神的人呢?
[00:01:37.960 --> 00:01:40.120]  有沒有?
[00:01:40.120 --> 00:01:41.800]  有人說大衛是
[00:01:41.800 --> 00:01:42.840]  大衛是的
[00:01:42.840 --> 00:01:44.560]  不過我不是講大衛今天
[00:01:44.560 --> 00:01:45.720]  我講另外一個人
[00:01:45.720 --> 00:01:47.600]  叫迦勒
[00:01:47.600 --> 00:01:50.400]  在聖經裡面很清楚說
[00:01:50.400 --> 00:01:51.240]  就是
[00:01:51.240 --> 00:01:54.040]  當迦勒八十五歲的時候
[00:01:54.040 --> 00:01:56.200]  他就得到希伯倫這個地方
[00:01:56.200 --> 00:01:58.880]  是腳踏昔日他
[00:01:58.880 --> 00:02:00.600]  他們未進入迦南
[00:02:00.600 --> 00:02:02.360]  去窺探迦南的時候
[00:02:02.360 --> 00:02:04.880]  腳踏希伯倫的時候
[00:02:04.880 --> 00:02:06.360]  摩西就應許
[00:02:06.360 --> 00:02:08.560]  你所腳踏之地
[00:02:08.560 --> 00:02:10.160]  進入迦南之後
[00:02:10.160 --> 00:02:14.120]  會成為你的產業
[00:02:14.120 --> 00:02:16.040]  四十歲
[00:02:16.040 --> 00:02:17.120]  迦勒
[00:02:17.120 --> 00:02:18.320]  在當年的時候
[00:02:18.320 --> 00:02:20.240]  和其他十二個探子
[00:02:20.240 --> 00:02:22.680]  一起來窺探這個迦南地
[00:02:22.680 --> 00:02:24.120]  因為這個應許之地
[00:02:24.120 --> 00:02:27.160]  他們摩西就派了十二個探子去
[00:02:27.160 --> 00:02:27.960]  其中
[00:02:27.960 --> 00:02:30.080]  迦勒和約書雅
[00:02:30.080 --> 00:02:31.880]  就是那兩個
[00:02:31.880 --> 00:02:32.760]  獨排眾議員
[00:02:32.760 --> 00:02:33.680]  其他十個都說
[00:02:33.680 --> 00:02:34.080]  不行啊
[00:02:34.080 --> 00:02:35.200]  我們不可以進去
