
[00:00:00.000 --> 00:00:03.820]  多謝楊牧師的介紹
[00:00:03.820 --> 00:00:08.300]  想不到談幾分鐘 給他起了這麼多底
[00:00:08.300 --> 00:00:17.220]  感謝神可以在新年
[00:00:17.220 --> 00:00:21.920]  和弟兄姊妹一齊來到打開聖經
[00:00:21.920 --> 00:00:28.320]  去思想神的說話
[00:00:28.320 --> 00:00:33.100]  今晚我們先要讀一段聖經
[00:00:33.100 --> 00:00:37.200]  請大家打開新約聖經
[00:00:37.200 --> 00:00:43.240]  哥倫多後書第四章
[00:00:43.240 --> 00:00:57.300]  新約聖經哥倫多後書第四章
[00:00:57.300 --> 00:01:02.800]  我們會由第七節開始讀
[00:01:02.800 --> 00:01:07.800]  第七節到第十一節
[00:01:07.800 --> 00:01:15.900]  哥倫多後書第四章第七節讀到第十一節
[00:01:15.900 --> 00:01:18.600]  找到 如果你有聖經
[00:01:18.600 --> 00:01:25.700]  我邀請你我們一齊同聲慢慢讀出神的說話
[00:01:25.700 --> 00:01:31.500]  第七節 我們有這寶貝放在瓦器裡
[00:01:31.500 --> 00:01:36.300]  要顯明這莫大的能力是出於神
[00:01:36.300 --> 00:01:38.800]  不是出於我們
[00:01:38.800 --> 00:01:43.300]  我們四面受敵卻不被困住
[00:01:43.300 --> 00:01:47.500]  心裡作難卻不致失望
[00:01:47.500 --> 00:01:51.400]  遭逼迫卻不被掉棄
[00:01:51.400 --> 00:01:55.000]  打倒了卻不致死亡
[00:01:55.000 --> 00:01:59.000]  身上常帶著耶穌的死
[00:01:59.000 --> 00:02:04.300]  使耶穌的生也顯明在我們身上
[00:02:04.300 --> 00:02:07.500]  因為我們這活著的人
[00:02:07.500 --> 00:02:12.000]  是常為耶穌被交於死地
[00:02:12.000 --> 00:02:19.500]  使耶穌的生在我們這必死的身上顯明出來
[00:02:19.500 --> 00:02:23.700]  在我們這必死的身上顯明出來
[00:02:23.700 --> 00:02:26.000]  你說新年流流
[00:02:26.000 --> 00:02:30.000]  為什麼選擇這樣的聖經讀
[00:02:30.000 --> 00:02:36.900]  原因是因為教會定了一個很重要的題目
[00:02:36.900 --> 00:02:41.800]  為這三天的培靈聚會
[00:02:41.800 --> 00:02:50.800]  怎樣在一個充滿挑戰的社會的時間空間
[00:02:50.800 --> 00:02:59.800]  來做一個聖潔自守的基督徒
[00:02:59.800 --> 00:03:07.000]  或者你會馬上想到這個題目講的是不要犯罪
[00:03:07.000 --> 00:03:11.500]  讀聖經祈禱 愛主 侍奉
[00:03:11.500 --> 00:03:14.000]  不過我不是這樣看
[00:03:14.000 --> 00:03:19.000]  我想解釋給你聽 為什麼我不是這樣看
[00:03:19.000 --> 00:03:24.500]  當然我想講給你聽的是聖經怎樣看
[00:03:24.500 --> 00:03:29.000]  因為權威在聖經
[00:03:29.000 --> 00:03:32.000]  我們需要明白聖經的教導
[00:03:32.000 --> 00:03:35.000]  明白聖經的教導之後
[00:03:35.000 --> 00:03:40.000]  你就發覺原來真理是叫我們得自由
[00:03:40.000 --> 00:03:43.500]  而不是給我們重擔
[00:03:43.500 --> 00:03:48.500]  聖潔是一個很重要的主題
[00:03:48.500 --> 00:03:54.500]  基督徒必須要明白什麼是聖潔
[00:03:54.500 --> 00:03:57.000]  我不是在浸信會的 雖然我媽媽是
[00:03:57.000 --> 00:04:00.500]  不過後來她也嫁來宣道會了
[00:04:00.500 --> 00:04:06.500]  宣道會在20世紀初開始不是一個宗派
[00:04:06.500 --> 00:04:09.500]  我們是一個宣教的運動
[00:04:09.500 --> 00:04:13.000]  宣信博士A.B.Simpson開始的時候
[00:04:13.000 --> 00:04:16.000]  我們的英文名不是叫Church
[00:04:16.000 --> 00:04:20.000]  我們是叫Christian and Missionary Alliance
[00:04:20.000 --> 00:04:22.000]  是一個宣教的運動
[00:04:22.000 --> 00:04:27.000]  不過這個宣教的運動和五旬節的運動
[00:04:27.000 --> 00:04:30.000]  是同一個時候開始的
[00:04:30.000 --> 00:04:34.000]  所以宣道會的迴章
[00:04:34.000 --> 00:04:37.000]  我時時帶著的 可能你看不到
[00:04:37.000 --> 00:04:41.000]  不要緊 我們講的四重福音
[00:04:41.000 --> 00:04:46.000]  耶穌是我們的救主 拯救之主
[00:04:46.000 --> 00:04:52.000]  耶穌也是我們誠信的主宰
[00:04:52.000 --> 00:04:55.500]  這是第二個福音的重點
[00:04:55.500 --> 00:05:00.500]  清義和誠信是分不開的
[00:05:00.500 --> 00:05:04.500]  清義和誠信在改教運動的時候
[00:05:04.500 --> 00:05:08.000]  不是兩件事來的 是一件事來的
[00:05:08.000 --> 00:05:11.000]  所以馬丁路德講清義誠信
[00:05:11.000 --> 00:05:18.000]  約翰加爾文講誠信清義雙重的因典
[00:05:18.000 --> 00:05:21.500]  又調轉了 先清義後誠信
[00:05:21.500 --> 00:05:24.500]  不是 不是 不是這樣看的
[00:05:24.500 --> 00:05:27.500]  聖經怎麼講誠信呢?
[00:05:27.500 --> 00:05:34.000]  聖經不是從罪惡開始講誠信的
[00:05:34.000 --> 00:05:40.000]  我考你一個聖經問答比賽遊戲的問題
[00:05:40.000 --> 00:05:43.000]  在新舊約聖經裏面
[00:05:43.000 --> 00:05:50.000]  有幾隻中銀字在經文之內是特別大隻的
[00:05:50.000 --> 00:05:51.000]  你記得嗎?
[00:05:51.000 --> 00:05:55.000]  歸耶和華為聖 好 一分
[00:05:55.000 --> 00:06:00.000]  第二個問題 在哪裏出現?
[00:06:00.000 --> 00:06:03.000]  舊約聖經 半分
[00:06:03.000 --> 00:06:08.000]  舊約哪一卷書出現?
[00:06:08.000 --> 00:06:11.000]  有兩卷書的
[00:06:11.000 --> 00:06:15.000]  第一卷 崔安琪記
[00:06:15.000 --> 00:06:19.000]  第二卷 薩加里亞書
[00:06:19.000 --> 00:06:23.000]  歸耶和華為聖 你好像不是很相信
[00:06:23.000 --> 00:06:25.000]  要不要看一看?
[00:06:25.000 --> 00:06:26.000]  檢查一下也好
[00:06:26.000 --> 00:06:29.000]  不要你在講台上講什麼都可以
[00:06:29.000 --> 00:06:32.000]  不是的 是真的
[00:06:32.000 --> 00:06:35.000]  除非你的聖經是新版的
[00:06:35.000 --> 00:06:37.000]  否則的話
