
[00:00:00.000 --> 00:00:03.000]  在開始的時候我想問問大家
[00:00:03.000 --> 00:00:06.000]  不知道你們是否像我一樣
[00:00:06.000 --> 00:00:10.000]  在教會崇拜裡面聽過很多不同的講道信息
[00:00:10.000 --> 00:00:13.000]  有差不多的感受
[00:00:13.000 --> 00:00:15.000]  我粗略估計過
[00:00:15.000 --> 00:00:18.000]  我作為一個基督徒學過去四十多年
[00:00:18.000 --> 00:00:23.000]  我能夠聽過的講道信息有超過兩百五十多篇
[00:00:23.000 --> 00:00:25.000]  大概,或者禁字大多
[00:00:25.000 --> 00:00:27.000]  OK
[00:00:27.000 --> 00:00:30.000]  有一個意念突然間浮現在我的腦海裡
[00:00:30.000 --> 00:00:31.000]  我問我自己
[00:00:31.000 --> 00:00:35.000]  有哪幾篇講道是特別影響我在生命歷程上
[00:00:35.000 --> 00:00:37.000]  做一些重要的決定
[00:00:37.000 --> 00:00:42.000]  我回想的確有一篇講道對我有特別的幫助
[00:00:42.000 --> 00:00:46.000]  我記得我那時候還在加州讀博士學位的時候
[00:00:46.000 --> 00:00:50.000]  我參加了帕拉雅圖,就是帕羅雅圖的主因教會
[00:00:50.000 --> 00:00:55.000]  就是我們以前粵語部退休會的講員羅宇康醫生的教會
[00:00:55.000 --> 00:01:00.000]  我記得當時北美基督教政治協會的陳慧榮牧師
[00:01:00.000 --> 00:01:02.000]  也在主因教會崇拜
[00:01:02.000 --> 00:01:05.000]  也有時候客座地講道
[00:01:05.000 --> 00:01:08.000]  幫助我們教會在對面侍奉
[00:01:08.000 --> 00:01:12.000]  陳牧師當時正是為了翻譯正主百科傳書
[00:01:12.000 --> 00:01:14.000]  做主編的侍奉工作
[00:01:14.000 --> 00:01:16.000]  我記得陳牧師講了一篇信息
[00:01:16.000 --> 00:01:19.000]  是取自於《耶利米書》第四十五章
[00:01:19.000 --> 00:01:22.000]  標題就是「你為自己謀大事嗎?」
[00:01:22.000 --> 00:01:27.000]  這篇信息其實是講述一位我從未聽過的隱藏聖經人物
[00:01:27.000 --> 00:01:31.000]  對於我在大學裏面很努力地學習
[00:01:31.000 --> 00:01:33.000]  有讀過大學的,有研究院的
[00:01:33.000 --> 00:01:35.000]  充滿了抱負
[00:01:35.000 --> 00:01:39.000]  我們較為年輕,想要做很多研究
[00:01:39.000 --> 00:01:42.000]  這篇信息其實對我很貼身
[00:01:42.000 --> 00:01:45.000]  因為我其實當時,不要說我自己很熟練
[00:01:45.000 --> 00:01:47.000]  其實我都想自己在畢業之後
[00:01:47.000 --> 00:01:52.000]  在生活、在事業上都能夠拿到不是很大的成績
[00:01:52.000 --> 00:01:55.000]  都會拿到少少、多少的、好一點的成績
[00:01:55.000 --> 00:01:59.000]  其實過了不久,其實神很特別的
[00:01:59.000 --> 00:02:01.000]  祂就給了我一個很好的考驗
[00:02:01.000 --> 00:02:03.000]  聽了這篇信息就很有感動
[00:02:03.000 --> 00:02:07.000]  我需要做出一個在學業上比較重大的決定
[00:02:07.000 --> 00:02:11.000]  當時我已經在博士研究的後期,最後兩年
[00:02:11.000 --> 00:02:15.000]  我的學術導師突然間介紹了一位來自加州大學
[00:02:15.000 --> 00:02:17.000]  戴維斯分校的學者
[00:02:17.000 --> 00:02:21.000]  讓我認識,他是來做安息年休假的
[00:02:21.000 --> 00:02:25.000]  他在我們大學會做半年的客座研究學者
[00:02:25.000 --> 00:02:29.000]  這位教授是我研究方面的頂尖專家
[00:02:29.000 --> 00:02:32.000]  還有他也是來自香港,這個很重要
