
[00:00:00.000 --> 00:00:05.200]  我曾經去過長江赤壁那個地方
[00:00:05.200 --> 00:00:09.800]  第一次由長江溪找回歷史遺跡
[00:00:09.800 --> 00:00:15.200]  看見當年發生大戰的赤壁
[00:00:15.200 --> 00:00:20.200]  今日長江的水仍然很平靜的流過
[00:00:20.200 --> 00:00:23.800]  很難想像一千八百多年前
[00:00:23.800 --> 00:00:28.800]  數十萬大軍在這裡葬身乾水當中
[00:00:30.000 --> 00:00:32.800]  不過要問這麼多人的死亡
[00:00:32.800 --> 00:00:34.800]  他們究竟去了哪裡
[00:00:34.800 --> 00:00:37.400]  乾水仍然平靜
[00:00:37.400 --> 00:00:41.200]  歷史就好像乾水一樣慢慢流過
[00:00:41.200 --> 00:00:47.000]  當年的風流人物都被乾水所帶走了
[00:00:47.000 --> 00:00:50.400]  正如蘇東坡到了宋朝都一千年後
[00:00:50.400 --> 00:00:54.400]  大江東去浪淘盡千古風流人物
[00:00:55.000 --> 00:01:00.400]  看見大江的流去人生歷史不也是這樣嗎
[00:01:00.400 --> 00:01:05.200]  又再遙想公緊當年小喬初嫁了洪之英法
[00:01:05.200 --> 00:01:09.800]  當時周瑜起碼根據三角演義的描寫是很英俊
[00:01:09.800 --> 00:01:13.400]  梁朝偉做的電影
[00:01:13.400 --> 00:01:18.200]  娶了小喬又是大美人
[00:01:18.200 --> 00:01:21.200]  但是洪之英法很威風
[00:01:21.600 --> 00:01:25.400]  誰知遇著朱國亮咩咩嘴笑與善關根
[00:01:25.400 --> 00:01:28.600]  談笑間長路灰飛煙滅
[00:01:28.600 --> 00:01:31.000]  朱國亮撥下線
[00:01:31.000 --> 00:01:33.200]  周瑜兩個夾雞
[00:01:33.200 --> 00:01:37.400]  終於一夜之間將曹操八十萬大軍消滅
[00:01:37.400 --> 00:01:41.000]  當時曹操以為可以一統天下
[00:01:41.000 --> 00:01:45.400]  然後還索傅斯醉酒當歌人生幾何
[00:01:45.400 --> 00:01:48.200]  記如朝露去日無當
[00:01:48.200 --> 00:01:52.000]  蓋當爾康憂思難忘何以解憂唯有道康
[00:01:52.000 --> 00:01:55.200]  飲醉酒想著終於一統天下
[00:01:55.200 --> 00:01:57.000]  那麼厲害的英雄
[00:01:57.000 --> 00:02:00.400]  誰知八十萬大軍一夜全部消滅
[00:02:00.400 --> 00:02:03.200]  蘇東邦一千年後再在那裡思考
[00:02:03.200 --> 00:02:05.600]  古國神遊多情英兆
[00:02:05.600 --> 00:02:08.600]  我想過去歷史發生真是神遊
[00:02:08.600 --> 00:02:12.600]  距離一千年前發生這些戰爭
[00:02:12.600 --> 00:02:15.000]  有時我們也有一種情
[00:02:15.000 --> 00:02:16.600]  就是紀念歷史
[00:02:16.800 --> 00:02:20.200]  紀念人生很多人所度過的生命
[00:02:20.200 --> 00:02:21.800]  又再看看自己
[00:02:21.800 --> 00:02:23.400]  我都老了早生華發
[00:02:23.400 --> 00:02:26.000]  人生如夢一樽環淚幹預
[00:02:26.000 --> 00:02:28.400]  就是我開始老有了白頭髮
[00:02:28.400 --> 00:02:30.400]  想起人生好像一場夢
[00:02:30.400 --> 00:02:32.600]  曾經才華出眾
[00:02:32.600 --> 00:02:34.600]  深受皇帝的歡喜
[00:02:34.600 --> 00:02:37.600]  但是轉眼之間又失去很多朝廷的權力
[00:02:37.600 --> 00:02:39.000]  被貶干立
[00:02:39.000 --> 00:02:40.800]  真是一場夢
[00:02:40.800 --> 00:02:43.000]  歷史就是這樣度過
[00:02:43.000 --> 00:02:44.600]  自己人生也是這樣度過
[00:02:45.000 --> 00:02:47.600]  拿著一瓶酒倒進乾水中
[00:02:47.600 --> 00:02:49.600]  乾水是反映了月亮
[00:02:49.600 --> 00:02:53.000]  在那裡悼念過去的歷史
[00:02:53.000 --> 00:02:55.800]  直到我又過一千年後
[00:02:55.800 --> 00:02:58.800]  去到那裡沒有買酒
[00:02:58.800 --> 00:03:03.000]  看見乾水也是同樣多情英兆
[00:03:03.000 --> 00:03:05.600]  當時我還沒有早生華發
[00:03:05.600 --> 00:03:07.400]  現在就差不多了
[00:03:07.400 --> 00:03:10.200]  其實這裡有個問題
