
[00:00:00.000 --> 00:00:05.900]  今年是二零二五年最後一個主日
[00:00:05.900 --> 00:00:09.400]  年紀越大越覺得日子過得快
[00:00:09.400 --> 00:00:12.100]  一陣間就一年
[00:00:12.100 --> 00:00:14.700]  再過幾日我們就踏入新的一年
[00:00:14.700 --> 00:00:17.900]  二零二六年
[00:00:17.900 --> 00:00:24.200]  有一個故事是講朝代
[00:00:24.200 --> 00:00:25.900]  有些人說是北宋的時候
[00:00:25.900 --> 00:00:27.500]  即是南宋 北宋的時候
[00:00:27.500 --> 00:00:29.200]  有些人說是明朝的時候
[00:00:29.200 --> 00:00:35.600]  有一個就是守寡的才女 年輕的
[00:00:35.600 --> 00:00:39.600]  到年尾的時候她就勉為身世
[00:00:39.600 --> 00:00:43.100]  又孤單 又辛苦一個人生活
[00:00:43.100 --> 00:00:46.400]  所以她就在前門貼了一個常戀
[00:00:46.400 --> 00:00:53.500]  年難過 年年難過 年年過
[00:00:53.500 --> 00:00:57.700]  真是很難過的 有時候一年
[00:00:57.700 --> 00:00:59.500]  譬如今年年初的時候
[00:00:59.500 --> 00:01:02.200]  可能我們都想到很多的困難
[00:01:02.200 --> 00:01:04.300]  很多的受煩
[00:01:04.300 --> 00:01:07.400]  子女怎樣 讀書怎樣
[00:01:07.400 --> 00:01:11.100]  或者是家督怎樣 工作是怎樣
[00:01:11.100 --> 00:01:18.800]  身份怎樣 什麼時候要回香港中國走走
[00:01:18.800 --> 00:01:22.900]  很多想法 今年年初的時候我們都有
[00:01:22.900 --> 00:01:25.600]  到了今天回想一下
[00:01:25.600 --> 00:01:28.500]  就是這樣過了
[00:01:28.500 --> 00:01:32.900]  更多的擔心 更多的受煩都是過了
[00:01:32.900 --> 00:01:36.900]  這個故事就說有一個
[00:01:36.900 --> 00:01:38.700]  預備考試的秀才
[00:01:38.700 --> 00:01:42.200]  你知道中國的民間故事當然是這樣的
[00:01:42.200 --> 00:01:48.100]  經過他又看到他對戀有些感受
[00:01:48.100 --> 00:01:56.300]  他就弄個下戀出來 事無成 事事無成 事事成
[00:01:56.300 --> 00:01:59.000]  可能他都考過幾次都考不好
[00:01:59.000 --> 00:02:01.100]  不到晉試或者什麼
[00:02:01.100 --> 00:02:03.100]  但是都有些事做到
[00:02:03.100 --> 00:02:08.400]  起碼他這次又再赴京考試
[00:02:08.400 --> 00:02:10.300]  當然這個故事在民間上面
[00:02:10.300 --> 00:02:13.000]  就是他們兩個以後彼此認識
[00:02:13.000 --> 00:02:18.100]  怎樣怎樣我就不再說了
[00:02:18.100 --> 00:02:20.500]  過了很多年已經到現代了
[00:02:20.500 --> 00:02:24.900]  有些人就嘗試又再對一下這個
[00:02:24.900 --> 00:02:30.800]  處無家 處處無家 處處家
[00:02:30.800 --> 00:02:33.600]  我們很多都是第一代的移民
[00:02:33.600 --> 00:02:36.000]  來讀書也好 移民也好
[00:02:36.000 --> 00:02:39.100]  好像來到美國都沒有個家
[00:02:39.100 --> 00:02:41.400]  搬了很多次
[00:02:41.400 --> 00:02:43.700]  我們最近今年都是搬了一次
[00:02:43.700 --> 00:02:46.000]  今年我們兩個人結婚之後
[00:02:46.000 --> 00:02:49.800]  第十六次搬家
[00:02:49.800 --> 00:02:52.300]  好像到處都不是家
[00:02:52.300 --> 00:02:55.300]  但是住在這裏我們過去那麼多次搬家
[00:02:55.300 --> 00:03:00.300]  每一次搬完之後都覺得都是一個家
[00:03:00.300 --> 00:03:05.500]  去哪裏都好 回去都是一個家
[00:03:05.500 --> 00:03:10.800]  不過我覺得對得最好都是這個戀
[00:03:10.800 --> 00:03:16.600]  人難做 人人難做 人人做
[00:03:16.600 --> 00:03:19.000]  年難過我們就有些感受
[00:03:19.000 --> 00:03:23.200]  人難難做 很難做的
[00:03:23.200 --> 00:03:26.400]  有時不是你過了那個階段就沒事
[00:03:26.400 --> 00:03:28.400]  每一個人生階段裏面
[00:03:28.400 --> 00:03:30.800]  就有些新的因素出來
[00:03:30.800 --> 00:03:32.500]  你怕不怕子女長大了
[00:03:32.500 --> 00:03:34.800]  子女到了teenager的時候
[00:03:34.800 --> 00:03:38.400]  覺得真的很難做人
[00:03:38.400 --> 00:03:41.000]  你又不能罵她那麼多
[00:03:41.000 --> 00:03:44.200]  又不能說甚麼都可以
[00:03:44.200 --> 00:03:45.600]  到他們結婚了
[00:03:45.600 --> 00:03:50.000]  你又多了個女婿也好 媳婦也好
[00:03:50.000 --> 00:03:52.000]  有時又更難做
[00:03:52.000 --> 00:03:58.600]  夾在中間 有外家有親家
[00:03:58.600 --> 00:04:00.200]  我們信耶穌的人
[00:04:00.200 --> 00:04:04.600]  不單要做人 還要好好地做
[00:04:04.600 --> 00:04:06.600]  有計劃地去做
[00:04:06.600 --> 00:04:09.400]  在生命當中我們要榮辰益人
[00:04:09.400 --> 00:04:12.000]  不要虛度年日
[00:04:12.000 --> 00:04:13.200]  在年尾的時候
[00:04:13.200 --> 00:04:16.600]  我們回想一下今年我們過得怎樣
[00:04:16.600 --> 00:04:18.800]  求主給我們有智慧反省一下
[00:04:18.800 --> 00:04:21.600]  好預備過新的一年
[00:04:21.600 --> 00:04:24.400]  所以《詩篇九十篇》這幾次的經文裏面
[00:04:24.400 --> 00:04:27.200]  究竟是講甚麼呢?
[00:04:27.200 --> 00:04:32.000]  我給它的題目是「數算日子」
[00:04:32.000 --> 00:04:37.400]  譬如這三幅畫掛在牆上
[00:04:37.400 --> 00:04:41.200]  究竟哪一幅比較好看?
[00:04:41.200 --> 00:04:45.000]  中間那幅是沒有框的
[00:04:45.000 --> 00:04:46.400]  就這樣一幅畫
[00:04:46.400 --> 00:04:49.200]  所以現代的就是這樣
[00:04:49.200 --> 00:04:53.000]  右邊那幅似乎比較好看
[00:04:53.000 --> 00:04:56.000]  有個框在那裏 比較像樣
[00:04:56.000 --> 00:04:59.200]  我個人就更加喜歡左邊那個
[00:04:59.200 --> 00:05:04.200]  真的有些心思去描那幅畫掛在牆上
[00:05:04.200 --> 00:05:07.800]  當然有些人就覺得這個比較舊式
[00:05:07.800 --> 00:05:10.800]  不過那個框似乎將那個畫
[00:05:10.800 --> 00:05:15.000]  有些完美的感覺 完成的感覺
[00:05:15.000 --> 00:05:20.400]  其實這個就是數算日子的一個意思
[00:05:20.400 --> 00:05:22.400]  我們一生這麼多的日子裏面
[00:05:22.400 --> 00:05:24.200]  有個框在那裏
[00:05:24.200 --> 00:05:27.200]  知道何時開始 知道何時結束
[00:05:27.200 --> 00:05:30.200]  知道我們的限度 知道去到哪裏
[00:05:30.200 --> 00:05:35.000]  似乎是讓我們日子裏面更加有意思
[00:05:35.000 --> 00:05:37.200]  特別是年紀大的人就知道
[00:05:37.200 --> 00:05:42.200]  數算日子我們就說「果頭近」
[00:05:42.200 --> 00:05:45.200]  果頭我們知道是一個終點
[00:05:45.200 --> 00:05:47.600]  其實我們知道多活著一日
[00:05:47.600 --> 00:05:51.600]  就是離開果道又近一日
[00:05:51.600 --> 00:05:52.800]  然而我們這樣看人生
[00:05:52.800 --> 00:05:57.800]  才知道活著的意義 才知道有限的好處
[00:05:57.800 --> 00:06:03.400]  所以我們今天打算比較詳細地看這幾節經文
[00:06:03.400 --> 00:06:05.400]  頭幾節我會想到什麼呢?
[00:06:05.400 --> 00:06:10.200]  想到善樂到頭是會受審判的
[00:06:10.200 --> 00:06:12.400]  我們因你的怒氣而消滅
[00:06:12.400 --> 00:06:14.600]  因你的憤怒而驚惶
[00:06:14.600 --> 00:06:17.200]  你將我們的罪孽擺在你面前
[00:06:17.200 --> 00:06:22.000]  將我們忍樂擺在你面光之中
