
[00:00:00.000 --> 00:00:03.760]  大部分人都期待說我們其實活著
[00:00:03.760 --> 00:00:06.680]  如果說能夠有一個陽光一樣的生命
[00:00:06.680 --> 00:00:08.760]  我們做一個陽光男孩 陽光女孩
[00:00:08.760 --> 00:00:11.960]  就是充滿陽光的 是一件非常好的事情
[00:00:11.960 --> 00:00:14.360]  那當然除了另外
[00:00:14.360 --> 00:00:17.880]  除了當然除了陽光以外 還有另外一些
[00:00:17.880 --> 00:00:21.280]  小部分的人是需要 偶爾需要憂傷一下的
[00:00:21.280 --> 00:00:24.840]  就比方說 如果你是所謂的什麼小知情調
[00:00:24.840 --> 00:00:27.680]  什麼藝術家氣息啊 就是每天
[00:00:27.680 --> 00:00:29.440]  就是不愁吃不愁喝
[00:00:29.440 --> 00:00:31.920]  但是說每天必須要尋找一些令人愉悅
[00:00:31.920 --> 00:00:35.120]  的憂傷啊 就是那種就沒事跑去咖啡廳
[00:00:35.120 --> 00:00:37.440]  坐著 就假裝陷入沉思
[00:00:37.440 --> 00:00:40.320]  然後臉色露出淡淡的憂傷的嗎
[00:00:40.320 --> 00:00:43.720]  要朋友問你什麼事啊 你就說最近正在思考
[00:00:43.720 --> 00:00:46.760]  人生一個非常有哲理的問題 那就是減肥
[00:00:46.760 --> 00:00:49.560]  的時候到底應該吃什麼零食呢 類似這種
[00:00:49.560 --> 00:00:52.840]  然後就weekend就跑去海邊對著海仰天
[00:00:52.840 --> 00:00:56.520]  長嘆一聲的嗎 真的是人生是一片苦海
[00:00:56.880 --> 00:00:59.800]  這何時到頭呢 怎麼還在那邊唱說
[00:00:59.800 --> 00:01:03.200]  聽海哭的聲音這樣子 那那片海覺得
[00:01:03.200 --> 00:01:06.920]  非常的冤枉是嗎 他其實是很開心的 你也說
[00:01:06.920 --> 00:01:07.520]  他在哭
[00:01:07.520 --> 00:01:11.920]  除此以外 當然偶爾除了你是藝術家氣息
[00:01:11.920 --> 00:01:13.480]  偶爾需要一些憂傷以外
[00:01:13.480 --> 00:01:17.800]  人生其實某些的 某些的生活的狀態
