
[00:00:00.000 --> 00:00:03.560]  今天在這裡分享 正正過年
[00:00:03.560 --> 00:00:07.280]  又聽到教會在這裡買一個糕 送一個糕
[00:00:07.280 --> 00:00:08.600]  非常有意思
[00:00:08.600 --> 00:00:11.960]  也祝願教會香港仔的侍功
[00:00:11.960 --> 00:00:16.640]  拓展見到神的光和愛在那裡可以彰顯
[00:00:16.640 --> 00:00:18.140]  大掃除
[00:00:18.140 --> 00:00:22.340]  今天經文揚風八章三十六節
[00:00:22.340 --> 00:00:25.340]  說到天父的兒子
[00:00:25.340 --> 00:00:30.040]  「若叫你們自由 你們就真自由」
[00:00:30.040 --> 00:00:36.840]  有人形容人生的路是一站一站 一路一路
[00:00:36.840 --> 00:00:39.760]  走到那裡就見到有些新的不同的東西
[00:00:39.760 --> 00:00:41.160]  有起有跌
[00:00:41.160 --> 00:00:47.800]  我們相信我們的生命都很想自由自在 無憂無慮
[00:00:47.800 --> 00:00:51.680]  但是為什麼我們常常都有很多的擔心
[00:00:51.680 --> 00:00:54.240]  或者很多的傷痕呢
[00:00:54.240 --> 00:00:58.000]  今天我們會在這個角度探討一下
[00:00:58.000 --> 00:00:59.720]  過年也很開心
[00:00:59.720 --> 00:01:02.720]  我們也感受一下過年的氣氛
[00:01:02.720 --> 00:01:07.280]  相信過年我們都想到很多的景況
[00:01:07.280 --> 00:01:14.440]  團年 花市 旅行 例事
[00:01:14.440 --> 00:01:16.440]  小朋友最開心的
[00:01:16.440 --> 00:01:20.880]  過年我初二都會和我岳父回到我岳父的鄉下
[00:01:20.880 --> 00:01:24.880]  因為他妹妹九十大壽
[00:01:24.880 --> 00:01:27.880]  他妹妹都九十大壽 你說岳父幾歲呢
[00:01:27.880 --> 00:01:31.380]  岳父要回去 我們當然要扶著他回去
[00:01:31.380 --> 00:01:32.880]  扶著他回來
[00:01:32.880 --> 00:01:33.880]  都是很感恩
[00:01:33.880 --> 00:01:36.880]  過年的確有很多開心的事
[00:01:36.880 --> 00:01:39.880]  可能又會想起揮春
[00:01:39.880 --> 00:01:44.880]  可能想起很多過年特色的事物
[00:01:44.880 --> 00:01:48.880]  都是很想人生是更美好的
[00:01:48.880 --> 00:01:49.880]  這個都很正常
[00:01:49.880 --> 00:01:51.880]  例如有些傳統的揮春
[00:01:51.880 --> 00:01:54.880]  說到事事亨通
[00:01:54.880 --> 00:01:57.880]  又說到快高長大
[00:01:57.880 --> 00:01:58.880]  都很正常
[00:01:58.880 --> 00:02:00.880]  我們不會過年的時候
[00:02:00.880 --> 00:02:03.880]  見到小朋友恭祝你不快高長大
[00:02:03.880 --> 00:02:05.880]  事事亨通不會的
[00:02:05.880 --> 00:02:08.880]  這都是人之常情
[00:02:08.880 --> 00:02:10.880]  有些新派的揮春
[00:02:10.880 --> 00:02:12.880]  我見到很有趣的
[00:02:12.880 --> 00:02:14.880]  他說不單止事事亨通
[00:02:14.880 --> 00:02:15.880]  是要網絡亨通
[00:02:15.880 --> 00:02:18.880]  我岳父九十三歲了
[00:02:18.880 --> 00:02:21.880]  常常在WhatsApp跟我們聊天
[00:02:21.880 --> 00:02:23.880]  他很懂得用網絡
[00:02:23.880 --> 00:02:26.880]  但當時有時不太懂
[00:02:26.880 --> 00:02:28.880]  年歲不同 就什麼都升
[00:02:28.880 --> 00:02:30.880]  因為三高就不好升
[00:02:30.880 --> 00:02:32.880]  所以三不高升
[00:02:32.880 --> 00:02:34.880]  現在多有趣 多適合我
[00:02:34.880 --> 00:02:37.880]  我們教會有個牧師比較肥大
[00:02:37.880 --> 00:02:39.880]  上年收了一個揮春
[00:02:39.880 --> 00:02:41.880]  叫「食極都唔肥」
[00:02:41.880 --> 00:02:43.880]  都是福氣
[00:02:43.880 --> 00:02:46.880]  有通脹 一本益利
[00:02:46.880 --> 00:02:49.880]  身體健康還要百毒不侵
[00:02:49.880 --> 00:02:54.880]  電腦毒 官裝毒都不侵
[00:02:54.880 --> 00:02:56.880]  精神翼翼還要什麼
[00:02:56.880 --> 00:02:58.880]  電話的電力充沛
[00:02:58.880 --> 00:03:00.880]  有時找我岳父
[00:03:00.880 --> 00:03:02.880]  沒有電 他都忘了充電
[00:03:02.880 --> 00:03:06.880]  的確是 我們都想有這種喜悅
[00:03:06.880 --> 00:03:08.880]  有些不同的賀年食品
[00:03:08.880 --> 00:03:10.880]  問問大家代表什麼
[00:03:10.880 --> 00:03:12.880]  年糕代表什麼
[00:03:12.880 --> 00:03:14.880]  年糕 對不對
[00:03:14.880 --> 00:03:16.880]  年年賞糕
[00:03:16.880 --> 00:03:18.880]  豪花代表什麼
[00:03:18.880 --> 00:03:20.880]  豪花運
[00:03:20.880 --> 00:03:22.880]  新氣象
[00:03:22.880 --> 00:03:24.880]  發財豪市代表什麼
[00:03:24.880 --> 00:03:26.880]  發財豪市
[00:03:26.880 --> 00:03:28.880]  倒轉的福字代表什麼
[00:03:28.880 --> 00:03:30.880]  福到
[00:03:30.880 --> 00:03:32.880]  全雞代表什麼
[00:03:32.880 --> 00:03:34.880]  這個不太知道
[00:03:34.880 --> 00:03:36.880]  全吉
[00:03:36.880 --> 00:03:38.880]  全乳
[00:03:38.880 --> 00:03:40.880]  不是好乳 是年年有乳
[00:03:40.880 --> 00:03:42.880]  最後大幼子
[00:03:42.880 --> 00:03:44.880]  大幼 行不行
[00:03:44.880 --> 00:03:46.880]  中國人都是很特別
[00:03:46.880 --> 00:03:50.880]  都是很想有些更好的事
[00:03:50.880 --> 00:03:54.880]  這都是人基本的願望
[00:03:54.880 --> 00:03:56.880]  也是想越來越好
[00:03:56.880 --> 00:03:58.880]  不過中國人都有智慧
[00:03:58.880 --> 00:04:00.880]  除了我們要迎新有好的東西
[00:04:00.880 --> 00:04:02.880]  我們還要什麼
[00:04:02.880 --> 00:04:04.880]  氣球 是不是
[00:04:04.880 --> 00:04:07.880]  我們手要放了些垃圾
[00:04:07.880 --> 00:04:09.880]  放了些不應該有的
[00:04:09.880 --> 00:04:11.880]  才可以拿到些好東西
[00:04:11.880 --> 00:04:13.880]  氣球迎新
[00:04:13.880 --> 00:04:16.880]  所以我們有大掃除
[00:04:16.880 --> 00:04:20.880]  將家裡的污垢
[00:04:20.880 --> 00:04:22.880]  梳化底的
[00:04:22.880 --> 00:04:24.880]  床下底的
[00:04:24.880 --> 00:04:26.880]  抽油煙機的
[00:04:26.880 --> 00:04:27.880]  有時有些人說
