
[00:00:00.000 --> 00:00:01.900]  在分享今天的信息之先
[00:00:01.900 --> 00:00:03.700]  讓我們一起低頭禱告
[00:00:03.700 --> 00:00:06.700]  預備我們的心去聽神的話
[00:00:06.700 --> 00:00:12.500]  親愛的主人 耶穌基督
[00:00:12.500 --> 00:00:15.500]  這一刻我們來到祢的根前
[00:00:15.500 --> 00:00:17.500]  去聽祢的話
[00:00:17.500 --> 00:00:19.500]  求祢開我們的心
[00:00:19.500 --> 00:00:21.500]  開我們的眼睛
[00:00:21.500 --> 00:00:23.500]  開我們的耳朵
[00:00:23.500 --> 00:00:25.500]  讓我們能夠聽得見
[00:00:25.500 --> 00:00:27.500]  能夠放在心裏面
[00:00:27.500 --> 00:00:29.500]  又能夠走出來
[00:00:29.500 --> 00:00:32.500]  求祢親自來到保守大靈
[00:00:32.500 --> 00:00:34.500]  以上禱告奉靠我
[00:00:34.500 --> 00:00:36.500]  主耶穌基督的聖靈祈求
[00:00:36.500 --> 00:00:38.500]  阿們
[00:00:59.500 --> 00:01:02.500]  有一些靈修過
[00:01:02.500 --> 00:01:04.500]  簡學的生活等等
[00:01:04.500 --> 00:01:06.500]  這些屬靈操練
[00:01:06.500 --> 00:01:08.500]  來默想主耶穌
[00:01:08.500 --> 00:01:10.500]  祂在十字架上
[00:01:10.500 --> 00:01:12.500]  為我們的犧牲
[00:01:12.500 --> 00:01:14.500]  受苦
[00:01:14.500 --> 00:01:16.500]  幫助我們更加貼近主耶穌
[00:01:16.500 --> 00:01:18.500]  祂的心懷
[00:01:18.500 --> 00:01:20.500]  讓我們可以預備我們的心
[00:01:20.500 --> 00:01:23.500]  來迎接復活節的來臨
[00:01:23.500 --> 00:01:26.500]  而今天的經文
[00:01:26.500 --> 00:01:29.500]  是選至路加福音十三章
[00:01:29.500 --> 00:01:32.500]  三十一至三十五節
[00:01:32.500 --> 00:01:34.500]  當中正正記載了
[00:01:34.500 --> 00:01:35.500]  主耶穌
[00:01:35.500 --> 00:01:38.500]  祂前往耶路撒冷受難途中
[00:01:38.500 --> 00:01:41.500]  所發出的哀歌
[00:01:41.500 --> 00:01:42.500]  是這一刻
[00:01:42.500 --> 00:01:44.500]  讓我們進入這段經文
[00:01:44.500 --> 00:01:46.500]  和主耶穌一起踏上
[00:01:46.500 --> 00:01:49.500]  這條遇苦旗的苦路
[00:01:49.500 --> 00:01:52.500]  嘗試去明白
[00:01:52.500 --> 00:01:54.500]  主的心路歷程
[00:01:54.500 --> 00:01:56.500]  相信會幫助我們
[00:01:56.500 --> 00:01:58.500]  去更加理解
[00:01:58.500 --> 00:02:01.500]  主祂所發出哀歌的心情
[00:02:01.500 --> 00:02:03.500]  這段經文
[00:02:03.500 --> 00:02:05.500]  可以分為三個部份
[00:02:05.500 --> 00:02:08.500]  第一個部份是三十一節
[00:02:08.500 --> 00:02:09.500]  當中講述了
[00:02:09.500 --> 00:02:11.500]  法利賽人對主耶穌
[00:02:11.500 --> 00:02:14.500]  發出的死亡的恐嚇
[00:02:14.500 --> 00:02:15.500]  第二個部份
[00:02:15.500 --> 00:02:18.500]  是三十二至三十三節
[00:02:18.500 --> 00:02:20.500]  裡面提到主耶穌
[00:02:20.500 --> 00:02:24.500]  踏上十誡苦路的決心
[00:02:24.500 --> 00:02:26.500]  第三個部份
[00:02:26.500 --> 00:02:29.500]  是三十四至三十五節
[00:02:29.500 --> 00:02:30.500]  當中記載了
[00:02:30.500 --> 00:02:33.500]  主耶穌基督發出的哀歌
[00:02:33.500 --> 00:02:36.500]  首先讓我們一起來看
[00:02:36.500 --> 00:02:38.500]  第一個部份
[00:02:38.500 --> 00:02:40.500]  也就是三十一節
[00:02:40.500 --> 00:02:42.500]  經文講到正當那時
[00:02:42.500 --> 00:02:44.500]  有幾個法利賽人
[00:02:44.500 --> 00:02:46.500]  來對耶穌說
[00:02:46.500 --> 00:02:49.500]  離開這裡去吧
[00:02:49.500 --> 00:02:52.500]  因為希律想要殺你
[00:02:52.500 --> 00:02:54.500]  在這裡
[00:02:54.500 --> 00:02:56.500]  正當那時
[00:02:56.500 --> 00:02:59.500]  究竟是指甚麼時候呢?
[00:02:59.500 --> 00:03:00.500]  我們就要看回
[00:03:00.500 --> 00:03:04.500]  在上文二十二至三十節裡
[00:03:04.500 --> 00:03:06.500]  其實耶穌是談論到
[00:03:06.500 --> 00:03:08.500]  進神國的門
[00:03:08.500 --> 00:03:10.500]  是一道閘門
[00:03:10.500 --> 00:03:12.500]  而在裡面
[00:03:12.500 --> 00:03:17.500]  耶穌是講到有兩句說話
[00:03:17.500 --> 00:03:21.500]  是很刺激這班法利賽人的
[00:03:21.500 --> 00:03:23.500]  二十四節那裡說
[00:03:23.500 --> 00:03:26.500]  你們要努力進閘門
[00:03:26.500 --> 00:03:28.500]  我告訴你們
[00:03:28.500 --> 00:03:31.500]  將來有許多人想要進去
[00:03:31.500 --> 00:03:33.500]  卻是不能
[00:03:33.500 --> 00:03:35.500]  二十八節那裡說
[00:03:35.500 --> 00:03:38.500]  你們要看見亞伯拉罕
[00:03:38.500 --> 00:03:42.500]  以撒、雅各和眾仙姿
[00:03:42.500 --> 00:03:44.500]  都在神的國裡
[00:03:44.500 --> 00:03:46.500]  你們卻被趕到外面
[00:03:46.500 --> 00:03:50.500]  在那裡必要哀哭切齒了
[00:03:50.500 --> 00:03:52.500]  在這裡
[00:03:52.500 --> 00:03:55.500]  耶穌所說的這一番話
[00:03:55.500 --> 00:03:58.500]  正正成為了法利賽人
[00:03:58.500 --> 00:04:01.500]  他們心裡的一條刺
[00:04:01.500 --> 00:04:04.500]  因為這兩句說話
[00:04:04.500 --> 00:04:06.500]  很明顯就是指出
[00:04:06.500 --> 00:04:10.500]  這一班假冒為善的法利賽人
[00:04:10.500 --> 00:04:14.500]  他們是會被拒於閘門之外
[00:04:14.500 --> 00:04:18.500]  於是他們要在神國的外面
[00:04:18.500 --> 00:04:21.500]  哀哭切齒
[00:04:21.500 --> 00:04:24.500]  主耶穌這一番說話
[00:04:24.500 --> 00:04:27.500]  聽在法利賽人的耳中
[00:04:27.500 --> 00:04:30.500]  一定是很難聽
[00:04:30.500 --> 00:04:32.500]  很難忍耳的一番說話
[00:04:32.500 --> 00:04:34.500]  因為他們明明就是
[00:04:34.500 --> 00:04:38.500]  熟讀律法的法利賽人
[00:04:38.500 --> 00:04:42.500]  明明他們就是擔任教導人
[00:04:42.500 --> 00:04:44.500]  關於神的律法
[00:04:44.500 --> 00:04:48.500]  如何遵守神的律法的一班拉比
[00:04:48.500 --> 00:04:53.500]  他們當然會得到進入神國的入場券
[00:04:53.500 --> 00:04:57.500]  他們甚至認為
