
[00:00:00.000 --> 00:00:04.100]  今日我哋講到嘅主題係同好撒瑪利亞人有關
[00:00:04.100 --> 00:00:07.160]  好撒瑪利亞人畀我哋嘅信息呢
[00:00:07.160 --> 00:00:08.200]  係
[00:00:08.200 --> 00:00:09.980]  愛鄰舍
[00:00:09.980 --> 00:00:12.280]  我哋見到有需要嘅人
[00:00:12.280 --> 00:00:15.360]  呢啲有需要嘅人就係我哋嘅鄰舍
[00:00:15.360 --> 00:00:19.720]  同時我哋都係呢啲有需要人嘅鄰舍
[00:00:19.720 --> 00:00:21.500]  但係
[00:00:21.500 --> 00:00:26.880]  好撒瑪利亞人可唔可以喺職場上面存在嘅呢
[00:00:27.900 --> 00:00:32.760]  好多人呢對職場呢都有以下大概三種嘅睇法
[00:00:32.760 --> 00:00:36.600]  第一種就係職場啦係一啲用勞力
[00:00:36.600 --> 00:00:37.880]  或者係努力
[00:00:37.880 --> 00:00:40.440]  換取利益嘅地方
[00:00:40.440 --> 00:00:42.740]  所以嗰度呢注重嘅呢
[00:00:42.740 --> 00:00:44.020]  就係業績啦
[00:00:44.020 --> 00:00:45.300]  成就啦
[00:00:45.300 --> 00:00:46.340]  競爭啦
[00:00:46.340 --> 00:00:48.380]  唔係你死就係我亡啦
[00:00:48.380 --> 00:00:51.960]  咁所以有人話職場其實係職場如戰場
[00:00:51.960 --> 00:00:54.520]  第二種嘅睇法呢就係
[00:00:54.520 --> 00:00:57.080]  喺職場上面呢冇好人做㗎
[00:00:57.340 --> 00:01:01.180]  職場嘅好人呢通常呢都未必受人尊重㗎
[00:01:01.180 --> 00:01:04.760]  反而呢如果你成日幫人呢就呢
[00:01:04.760 --> 00:01:09.640]  讓嗰啲畀你幫助嘅人呢對你嘅幫助產生依賴
[00:01:09.640 --> 00:01:12.700]  第三種嘅睇法呢就係
[00:01:12.700 --> 00:01:19.100]  有啲人幫咗你就自不言會感恩圖報嘅但係呢多數嘅人呢
[00:01:19.100 --> 00:01:23.200]  受你幫助之後呢都會忘恩負義嘅
[00:01:23.200 --> 00:01:25.500]  咁所以呢有啲嘅諺語喺職場就話
[00:01:25.760 --> 00:01:28.840]  幫助人呢就係你嘅懲罰
[00:01:28.840 --> 00:01:31.400]  唔幫咗呢就係你嘅本分
[00:01:31.400 --> 00:01:33.440]  有啲人咁講
[00:01:33.440 --> 00:01:36.760]  喺呢個人心複雜嘅
[00:01:36.760 --> 00:01:38.040]  職場裏面
[00:01:38.040 --> 00:01:42.140]  每個人呢都係保護自己㗎為咗自己嘅利益㗎
[00:01:42.140 --> 00:01:48.280]  試問佢哋又點會成日都企喺人哋嘅立場去做嘢
[00:01:48.280 --> 00:01:54.940]  試問佢哋又點會呢花啲時間呢做一啲去幫助人但係呢未必有回報唔一定有回報
[00:01:55.200 --> 00:01:59.040]  嘅嘢呢對於佢嚟講係好多餘有冇啲人咁樣做呢
[00:01:59.040 --> 00:02:03.140]  如果係咁嘅話點解我哋要做好撒馬里亞人呢
[00:02:03.140 --> 00:02:07.240]  我最近睇咗一份嘅研究都幾詳盡
[00:02:07.240 --> 00:02:08.760]  研究職場
[00:02:08.760 --> 00:02:12.860]  喺個職場裏面呢佢話呢職場雖然壓力越嚟越大
[00:02:12.860 --> 00:02:16.200]  但係佢呢呢個研究呢佢發現呢
[00:02:16.200 --> 00:02:22.600]  佢喺職場上面呢係幫咗倒人嘅人呢原來喺啲人嘅心靈裏面呢
[00:02:22.840 --> 00:02:25.660]  會產生一種正向嘅作用
[00:02:25.660 --> 00:02:28.480]  呢種正向作用佢分成有兩方面
[00:02:28.480 --> 00:02:31.800]  第一種嘅正向作用呢第一方面呢
[00:02:31.800 --> 00:02:32.560]  佢話
[00:02:32.560 --> 00:02:35.380]  原來呢幫咗人嘅人呢原來呢
[00:02:35.380 --> 00:02:42.040]  慢慢佢對自己嗰個工作能力呢產生一個提升緊嘅作業一個
[00:02:42.040 --> 00:02:43.840]  提升緊嘅肯定
[00:02:43.840 --> 00:02:44.860]  即係話呢
[00:02:44.860 --> 00:02:50.740]  我都做得幾好呀我做好嗰份工同一時間我可以幫到人
[00:02:51.520 --> 00:02:53.320]  另外一個層面呢
[00:02:53.320 --> 00:02:54.080]  就係呢
[00:02:54.080 --> 00:02:58.420]  原來呢一種嘅正向個作用呢唔係我哋
[00:02:58.420 --> 00:03:01.240]  開頭想像一時三刻嘅興奮
[00:03:01.240 --> 00:03:03.540]  有一種持續嘅
[00:03:03.540 --> 00:03:05.340]  平安喜樂
[00:03:05.340 --> 00:03:11.740]  呢種持續平安喜樂呢淨係唔係喺工作地方先產生喎原來呢種平安喜樂呢
[00:03:11.740 --> 00:03:15.580]  一直可以帶到返到去我哋嘅日常生活
[00:03:15.580 --> 00:03:18.400]  返返去我哋嘅家庭裏面嘅生活
[00:03:18.920 --> 00:03:22.240]  所以呢個研究非常重要我開始睇完之後我發現
[00:03:22.240 --> 00:03:23.780]  唔怪得
[00:03:23.780 --> 00:03:25.060]  神呢
[00:03:25.060 --> 00:03:27.360]  要我哋做一個好薩瑪利亞人
[00:03:27.360 --> 00:03:32.740]  點解呢因為原來呢當你祝福人就好似我哋個諗法你祝福人
