
[00:00:00.000 --> 00:00:04.000]  今天我繼續跟大家講馬太福音
[00:00:04.000 --> 00:00:11.000]  繼續跟大家講耶穌是誰這個大題目
[00:00:11.000 --> 00:00:17.000]  在上幾次的訊息裏面
[00:00:17.000 --> 00:00:22.000]  講到耶穌他行了各種的神蹟
[00:00:22.000 --> 00:00:26.000]  來去證明他自己就是那位神子
[00:00:26.000 --> 00:00:29.000]  是彌賽亞 是救主
[00:00:29.000 --> 00:00:34.000]  之後聽到的人周圍聽他講
[00:00:34.000 --> 00:00:39.000]  見到他的人對他有不同的反應
[00:00:39.000 --> 00:00:42.000]  有些人立即起來跟隨他
[00:00:42.000 --> 00:00:44.000]  好像馬太一樣
[00:00:44.000 --> 00:00:47.000]  有些是敷衍耶穌
[00:00:47.000 --> 00:00:50.000]  在我回家先搞定一些事
[00:00:50.000 --> 00:00:55.000]  等我怎樣怎樣先做好一些事
[00:00:55.000 --> 00:01:00.000]  有些人不歡迎他 叫他走
[00:01:00.000 --> 00:01:05.000]  有些甚至詆毀他
[00:01:05.000 --> 00:01:08.000]  就是那些發彌賽亞人
[00:01:08.000 --> 00:01:15.000]  今天我會帶大家從另一個角度來認識耶穌
[00:01:15.000 --> 00:01:18.000]  也使我們從另一個角度
[00:01:18.000 --> 00:01:23.000]  或另一個方式來回應耶穌對我們的呼召
[00:01:23.000 --> 00:01:26.000]  耶穌給我們的救恩
[00:01:26.000 --> 00:01:28.000]  我的意思是說
[00:01:28.000 --> 00:01:33.000]  我們暫時不再從耶穌行神蹟的
[00:01:33.000 --> 00:01:38.000]  權柄能力這方面來去認識他
[00:01:38.000 --> 00:01:45.000]  我們由 今天我們是由他怎樣要求人家看他
[00:01:45.000 --> 00:01:49.000]  怎樣要求人家怎樣來對他
[00:01:49.000 --> 00:01:52.000]  在這方面來去回應他
[00:01:52.000 --> 00:01:55.000]  在今天這段經文裡
[00:01:55.000 --> 00:02:00.000]  耶穌說 新酒要裝在新皮袋裡
[00:02:00.000 --> 00:02:05.000]  這樣酒和皮袋都可以保存
[00:02:05.000 --> 00:02:09.000]  新酒是什麼意思呢
[00:02:09.000 --> 00:02:16.000]  新酒可以代表耶穌所帶來的新的信仰精神
[00:02:16.000 --> 00:02:19.000]  和新的信念
[00:02:19.000 --> 00:02:24.000]  而新皮袋也可以代表我們信徒
[00:02:24.000 --> 00:02:39.000]  要用一套新的實踐方式來承載新的信念精神等等
[00:02:39.000 --> 00:02:41.000]  我們想想
[00:02:41.000 --> 00:02:46.000]  每當我們自稱是新約的信徒的時候
[00:02:46.000 --> 00:02:51.000]  我們不多不少總會帶點所謂的自豪感
[00:02:51.000 --> 00:03:02.000]  甚至我們會看不起那些所謂在舊約裡的猶太人
[00:03:02.000 --> 00:03:05.000]  或者我們甚至會鄙視他們
[00:03:05.000 --> 00:03:09.000]  因為他們的信仰實踐方向
[00:03:09.000 --> 00:03:13.000]  或者實際的實踐生活上
[00:03:13.000 --> 00:03:15.000]  他們是偏離聖經的教導
[00:03:15.000 --> 00:03:19.000]  他們變成所謂的律法主義
[00:03:19.000 --> 00:03:27.000]  更加變成被指責為偽善 假冒為善
[00:03:27.000 --> 00:03:30.000]  所以我們自己又要反省一下
[00:03:30.000 --> 00:03:31.000]  我們又怎樣呢
[00:03:31.000 --> 00:03:34.000]  我們有沒有偏離正道呢
[00:03:34.000 --> 00:03:37.000]  有沒有走歪了呢
[00:03:37.000 --> 00:03:43.000]  我們是不是在用一個正確的承載方法
[00:03:43.000 --> 00:03:49.000]  實踐方法來回應耶穌基督對我們的呼召呢
[00:03:49.000 --> 00:03:54.000]  正確的實踐方式是什麼呢
[00:03:54.000 --> 00:04:00.000]  我們正確的實踐方式是活出來
[00:04:00.000 --> 00:04:03.000]  我們很常聽到要活出我們的信仰
[00:04:03.000 --> 00:04:08.000]  但是我們卻很多時候沒有認真去思考
[00:04:08.000 --> 00:04:14.000]  有沒有認真去活出我們的信仰
[00:04:14.000 --> 00:04:20.000]  這個就是今天我打算和大家去學的功課
[00:04:20.000 --> 00:04:28.000]  我們怎樣 或者耶穌基督是怎樣要求我們去活出我們的信仰
[00:04:28.000 --> 00:04:31.000]  我們首先看今天的經文
[00:04:31.000 --> 00:04:38.000]  《馬太福音九章》十四節
[00:04:38.000 --> 00:04:41.000]  第一個字是「那時」
[00:04:41.000 --> 00:04:43.000]  我上次也提過
[00:04:43.000 --> 00:04:49.000]  當我們看到經文裡面記載人要說話的時候
[00:04:49.000 --> 00:04:51.000]  他說「那時」的時候
[00:04:51.000 --> 00:04:53.000]  其實這個字就是「看」那個字
[00:04:53.000 --> 00:04:56.000]  就是留心了
[00:04:56.000 --> 00:05:00.000]  你可以說有東西聽了 有東西看了
[00:05:00.000 --> 00:05:02.000]  那是什麼事發生呢
[00:05:02.000 --> 00:05:04.000]  我們繼續看經文
[00:05:04.000 --> 00:05:09.000]  《約翰的門徒來見耶穌》說
[00:05:09.000 --> 00:05:12.000]  「我們和法利賽人常常禁食」
[00:05:12.000 --> 00:05:14.000]  「你的門徒都不禁食」
[00:05:14.000 --> 00:05:18.000]  「這是為什麼呢?」
[00:05:18.000 --> 00:05:22.000]  原來圍繞他耶穌身邊的人
[00:05:22.000 --> 00:05:29.000]  仍然在質問耶穌關於吃喝的問題
[00:05:29.000 --> 00:05:32.000]  在前幾節的經文裡面
[00:05:32.000 --> 00:05:35.000]  記載了法利賽人質問耶穌
[00:05:35.000 --> 00:05:40.000]  為什麼要和那些罪人吃飯
[00:05:40.000 --> 00:05:43.000]  耶穌也回答了他們說
[00:05:43.000 --> 00:05:46.000]  他是來召罪人悔改
[00:05:46.000 --> 00:05:50.000]  所以和那些罪人去吃飯是很自然的事
[00:05:50.000 --> 00:05:52.000]  是很應該的事
[00:05:52.000 --> 00:05:54.000]  要建立關係
[00:05:54.000 --> 00:05:57.000]  表示接納他們
