
[00:00:00.000 --> 00:00:06.400]  主持人:弟兄姊妹好,今日這個題目對我來說很重要,我相信對大家也很重要,
[00:00:06.400 --> 00:00:13.700]  「壞向成熟」,我們一起禱告,天父,多謝你給我們這個機會一同學習,
[00:00:13.700 --> 00:00:18.800]  和弟兄姊妹一同領受你的話語,求聖靈開啟我們的心,
[00:00:18.800 --> 00:00:24.900]  叫我們成長,我們一同彼此鼓勵,祈禱奉主耶穌基督的名,
[00:00:24.900 --> 00:00:32.400]  英國有一位已故的牧者叫斯托德,大家都很熟,
[00:00:32.400 --> 00:00:40.100]  他在90年代四圍去港島,他去到每個地方的時候,
[00:00:40.100 --> 00:00:45.700]  就鼓勵信徒想一下反省一下自己是怎樣,就問一個問題,
[00:00:45.700 --> 00:00:51.000]  以你覺得今日基督徒的光景是怎樣呢?
[00:00:51.000 --> 00:00:57.200]  大家提供很多意見,不同的種種息息,林林總總,
[00:00:57.200 --> 00:01:02.200]  通常他們都會好奇究竟牧師怎樣想呢?
[00:01:02.200 --> 00:01:08.400]  牧師只是很簡單講了幾句字,他有成長,但是沒有深度,
[00:01:08.400 --> 00:01:12.900]  這句話好像一盤冷水淋漓,沒有深度,
[00:01:12.900 --> 00:01:15.400]  有時我們想一下究竟我們的信仰是怎樣呢?
[00:01:15.400 --> 00:01:20.900]  如果今日我問WF的弟兄姊妹,WF的弟兄姊妹是怎樣的光景?
[00:01:20.900 --> 00:01:27.700]  可能各有不同,其實斯托德這樣講,他說我不是沒有根據,
[00:01:27.700 --> 00:01:31.200]  他說在南亞有一個牧者這樣講,
[00:01:31.200 --> 00:01:35.800]  雖然我們國家信徒很多人數增長,
[00:01:35.800 --> 00:01:42.500]  但是在境前和政治上是最欠缺的,是一個很大的問題,
[00:01:42.500 --> 00:01:45.900]  在非洲有一個牧者寫信給斯托德說,
[00:01:45.900 --> 00:01:54.700]  我們的教會有很多人數,不過我們缺乏了每個人自己有本聖經和神學的基礎,
[00:01:54.700 --> 00:01:56.700]  我不知道大家怎樣看,
[00:01:56.700 --> 00:01:59.700]  我很深刻印象我在神學院畢業的時候,
[00:01:59.700 --> 00:02:03.700]  有一科我開頭不明白為什麼會有這一科,
[00:02:03.700 --> 00:02:10.900]  這一科是實用科,我們學了很多神學,我們很熟悉聖經,
[00:02:10.900 --> 00:02:12.900]  那一科是什麼呢?就是講實用,
[00:02:12.900 --> 00:02:17.700]  他說你怎樣將我們所學到的神學應用在我們的生活上,
[00:02:17.700 --> 00:02:22.700]  我一聽到,我為什麼要講這些東西,我未起不是天天都是這樣,
[00:02:22.700 --> 00:02:26.700]  原來不是的,仔細和我們研究經過很多步驟,
[00:02:26.700 --> 00:02:31.700]  我們認識的一套走出來是另一套的,
[00:02:31.700 --> 00:02:36.700]  原來我們經過很多過程,第一,當這些事情發生的時候我們的情緒來了,
[00:02:36.700 --> 00:02:39.700]  然後我們就會用我們自己的方法,
[00:02:39.700 --> 00:02:44.700]  然後我們就想一想神的方法,如果好的話我們就慢慢想一想神怎樣講,
[00:02:44.700 --> 00:02:50.700]  然後慢慢轉化我們,經歷了很長的一些掙扎,然後才回到神那裡,
[00:02:50.700 --> 00:02:54.700]  其中我們可能漏了一些東西,我們就沒有跟神的話,
[00:02:54.700 --> 00:02:58.700]  這個科對我提醒非常重要,我對今天非常深刻,
[00:02:58.700 --> 00:03:02.700]  反而比很多神學的理論還要重要,
[00:03:02.700 --> 00:03:06.700]  我們就要問,我們屬靈的光景是怎樣呢?
[00:03:06.700 --> 00:03:09.700]  今天如果我問大家,你的屬靈光景是怎樣呢?
[00:03:09.700 --> 00:03:14.700]  是不是停滯不前的呢?還是不斷地進步呢?
[00:03:14.700 --> 00:03:17.700]  這個只有你自己才知道的,
[00:03:17.700 --> 00:03:20.700]  今天這段經文很值得我們去想,
[00:03:20.700 --> 00:03:27.700]  其實就是希伯來書的作者是以一個很強的警告提醒,
[00:03:27.700 --> 00:03:31.700]  這個當然出自愛心的,就是提到這個信徒,
[00:03:31.700 --> 00:03:35.700]  你究竟你的屬靈生命是怎樣?
[00:03:35.700 --> 00:03:38.700]  如果我們看回上文,就是一直說,
[00:03:38.700 --> 00:03:44.700]  這些信徒有舊約的背景,一樣一樣將新約的美好說出來,
[00:03:44.700 --> 00:03:50.700]  特別耶穌基督的身份,他勝過天使,然後勝過摩西,
[00:03:50.700 --> 00:03:57.700]  然後就勝過亞倫的祭司,亞倫系列的祭司,
[00:03:57.700 --> 00:04:07.700]  耶穌基督的系統是來自默基西德的,
[00:04:07.700 --> 00:04:11.700]  其實他繼續講下去的,但是這裡停了,
[00:04:11.700 --> 00:04:15.700]  因為他發覺有為難,因為如果繼續講下去,
[00:04:15.700 --> 00:04:19.700]  究竟那些會眾是不是真的能夠留意到呢?
[00:04:19.700 --> 00:04:26.700]  因為又有舊約的背景,本來舊約一直都是亞倫的後裔是祭司的,
[00:04:26.700 --> 00:04:29.700]  現在突然間有個默基西德,默基西德是誰呢?
[00:04:29.700 --> 00:04:33.700]  有沒有這個背景呢?原來是在舊約裡面講的,
[00:04:33.700 --> 00:04:35.700]  然後默基西德這個人物又是怎樣呢?
[00:04:35.700 --> 00:04:39.700]  需要很多的論述,但是你看到那些信徒的時候,
[00:04:39.700 --> 00:04:45.700]  他卻步了,先講了第五章十一節,去到第六章完了,
[00:04:45.700 --> 00:04:49.700]  就叫信徒好好反映自己,
[00:04:49.700 --> 00:04:51.700]  但是他不是對信徒完全失望,
[00:04:51.700 --> 00:04:54.700]  所以第七章到十章繼續講下去的,
[00:04:54.700 --> 00:05:01.700]  這段經文就非常重要了,究竟我們會不會好好地聽神的話呢?
[00:05:01.700 --> 00:05:03.700]  是不是一個成長的信徒呢?
[00:05:03.700 --> 00:05:06.700]  我們看到一些指標,或者一些特徵,
[00:05:06.700 --> 00:05:08.700]  這個成為了我們的參考,
[00:05:08.700 --> 00:05:14.700]  我們看看,首先看看第五章十一節到十四節,
[00:05:14.700 --> 00:05:15.700]  請聽我讀出,
[00:05:15.700 --> 00:05:19.700]  「論到這事,我們有好些話要說,
[00:05:19.700 --> 00:05:23.700]  可是很難解釋,因為你們聽不進去,
[00:05:23.700 --> 00:05:26.700]  按時間說,你們早該作教師了,
[00:05:26.700 --> 00:05:33.700]  誰知還需要有人再將神聖言基礎的要道教導你們,
[00:05:33.700 --> 00:05:37.700]  你們成了那需要吃奶,不能吃乾糧的人,
[00:05:37.700 --> 00:05:41.700]  凡只吃奶的,就不熟練仁義的道理,
[00:05:41.700 --> 00:05:46.700]  因為他是嬰孩,唯獨長大成人的才能吃乾糧,
[00:05:46.700 --> 00:05:52.700]  他們的心跳因練習而靈活,能分辨是惡了。」
[00:05:52.700 --> 00:05:54.700]  首先就說,論到這些事,
[00:05:54.700 --> 00:05:59.700]  麥紀世德這個人物,然後耶穌基督,
[00:05:59.700 --> 00:06:04.700]  他是這個系列的,這個體系的祭司,
