
[00:00:00.000 --> 00:00:08.500]  隔了一段時間沒有在大家當中分享神的話
[00:00:08.500 --> 00:00:12.620]  今天還是第一次和大家一齊 感覺很開心
[00:00:12.620 --> 00:00:18.220]  今個月的講道主題是「榮耀的上帝」
[00:00:18.220 --> 00:00:24.340]  我相信我們信仰裏面 到底我們信的是誰
[00:00:24.340 --> 00:00:28.340]  這個很重要 我們所信的是怎樣的上帝都很重要
[00:00:28.340 --> 00:00:31.660]  所以今個月我們會有兩次的講道
[00:00:31.660 --> 00:00:38.980]  下星期余牧師也會和我們講到主題「榮耀的上帝」
[00:00:38.980 --> 00:00:43.440]  今天的題目是「冠乎天地的榮耀」
[00:00:43.440 --> 00:00:46.940]  我用歷代之下這段經文去講
[00:00:46.940 --> 00:00:53.420]  先講一則曾經報導過的事件給大家聽
[00:00:53.420 --> 00:00:59.540]  根據1959年3月當時有幾份報紙作了一個報道
[00:00:59.540 --> 00:01:06.220]  那幾份報紙包括香港的華僑日報、工商日報和英文的南華府報
[00:01:06.220 --> 00:01:10.340]  報導英國愛丁堡公爵菲烈親王
[00:01:10.340 --> 00:01:17.220]  他在1959年3月第一次以皇夫的身份官式訪問香港
[00:01:17.220 --> 00:01:21.500]  他來到的時候和傳媒體提到
[00:01:21.500 --> 00:01:26.620]  他說在1945年日本投降、香港重光的時候
[00:01:26.620 --> 00:01:31.900]  他就以皇家海軍中尉的身份服役在衛普號
[00:01:31.900 --> 00:01:35.300]  並且是駐紮在香港有兩個月那麼久
[00:01:35.300 --> 00:01:42.780]  當時有一個九歲的水上人家的女孩叫何桂英
[00:01:42.780 --> 00:01:47.580]  她因為父母都是幫英軍的艦艇
[00:01:47.580 --> 00:01:52.340]  在上高幫他們去刮擦油漆、打雜、清潔
[00:01:52.340 --> 00:01:57.860]  這個小女孩也因此認識了菲烈親王
[00:01:57.860 --> 00:02:03.460]  菲烈親王在1959年3月6日來到香港之後
[00:02:03.460 --> 00:02:06.380]  他特別託付香港的警方
[00:02:06.380 --> 00:02:13.740]  幫他去找這位昔日的小艇戶這位女孩、這位舊友
[00:02:13.740 --> 00:02:16.420]  香港警務處真的很厲害
[00:02:16.420 --> 00:02:19.980]  他們就出動了20個警務人員、警艦
[00:02:19.980 --> 00:02:23.780]  深入香港仔、油麻地等等
[00:02:23.780 --> 00:02:27.500]  即是那些有水上人居住的避風塘
[00:02:27.500 --> 00:02:34.220]  甚至在山板上用揚聲器來廣播、尋人
[00:02:34.220 --> 00:02:35.540]  真的很厲害
[00:02:35.540 --> 00:02:38.580]  一日之內就找到這個人
[00:02:38.580 --> 00:02:42.940]  這個小女孩當日九歲現在已經23歲了
[00:02:42.940 --> 00:02:47.260]  在3月7日的晚上這位何桂英女士
[00:02:47.260 --> 00:02:52.620]  獲邀登上停泊在維港的皇家遊艇
[00:02:52.620 --> 00:02:59.460]  「不列顛尼亞號 Her Majesty's Yacht Britannia」
[00:02:59.460 --> 00:03:01.420]  這一艘遊艇
[00:03:01.420 --> 00:03:04.740]  她參加一個青年工作者的招待會
[00:03:04.740 --> 00:03:10.780]  當年的報紙就以很顯著的篇幅來報導這件事
[00:03:10.780 --> 00:03:17.300]  甚至有親王和何桂英透過翻譯在當中幫他們傳達
[00:03:17.300 --> 00:03:20.340]  他們又親切地握手、互相問候
[00:03:20.340 --> 00:03:24.460]  有這些很溫馨的歷史畫面
[00:03:24.460 --> 00:03:30.380]  但是那些報紙當時以大標題刊登這項消息
[00:03:30.380 --> 00:03:32.700]  最主要的原因是什麼呢?
[00:03:32.700 --> 00:03:35.260]  其實是因為非列親王
[00:03:35.260 --> 00:03:38.380]  他能夠因為他那麼尊貴
[00:03:38.380 --> 00:03:42.420]  竟然來到一個小女孩昔日幫你打閘
[00:03:42.420 --> 00:03:44.780]  你都那麼尊貴
[00:03:44.780 --> 00:03:46.340]  但是你都不嫌棄
[00:03:46.340 --> 00:03:50.820]  來到和這位昔日的舊友重逢
[00:03:50.820 --> 00:03:52.580]  很開心
[00:03:52.580 --> 00:03:54.500]  所以這其實是重點
[00:03:54.500 --> 00:03:56.820]  一位那麼尊貴的親王
[00:03:56.820 --> 00:04:02.380]  竟然和一個那麼卑微的小女孩相認
[00:04:02.380 --> 00:04:06.580]  今天我就要帶大家來看另一個
[00:04:06.580 --> 00:04:11.380]  比非列親王更加尊貴榮耀的對象
[00:04:11.380 --> 00:04:13.420]  就是我們的上帝
[00:04:13.420 --> 00:04:17.660]  今天我們會講《歷代志下》
[00:04:17.660 --> 00:04:19.500]  但是講回那些卷書
[00:04:19.500 --> 00:04:21.940]  《歷代志》分上下兩卷
[00:04:21.940 --> 00:04:24.340]  它原本是沒有名字的
[00:04:24.340 --> 00:04:29.100]  在希伯來的名字可以譯作為「年代志」
[00:04:29.100 --> 00:04:31.660]  是關於一些年代的記錄
[00:04:31.660 --> 00:04:35.900]  舊約的希臘文譯本有某些經文
[00:04:35.900 --> 00:04:40.700]  稱《歷代志》為一卷遺留了的事件
[00:04:40.700 --> 00:04:45.980]  其實它是撒姆爾記和獵王記的補充
[00:04:45.980 --> 00:04:49.380]  可能當中有一些沒有被記錄的
[00:04:49.380 --> 00:04:52.220]  它就在補充
[00:04:52.220 --> 00:04:56.300]  它寫作的目的是鼓勵和引導
[00:04:56.300 --> 00:05:00.100]  那些被擄巴比倫之後回歸
[00:05:00.100 --> 00:05:05.860]  回到舊地又渴望全面復國的讀者
[00:05:05.860 --> 00:05:11.020]  《歷代志》的作者不單提供歷史資料
[00:05:11.020 --> 00:05:14.860]  還要傳遞一個切合時代的神學信息
[00:05:14.860 --> 00:05:18.180]  其中有三個很重要的觀點
[00:05:18.180 --> 00:05:20.460]  包括神的指紋
[00:05:20.460 --> 00:05:22.980]  第二是君王和聖殿
[00:05:22.980 --> 00:05:26.420]  還有神的賜福和審判
[00:05:26.420 --> 00:05:31.460]  如果你看整個《歷代志》有上下兩卷
[00:05:31.460 --> 00:05:38.300]  袋上有二十九章經文 袋下有三十六章經文
[00:05:38.300 --> 00:05:45.460]  大綱大概環繞第一部份是神指紋的家譜
[00:05:45.460 --> 00:05:48.300]  第二部份是聯合王國
[00:05:48.300 --> 00:05:54.300]  包括大衛的王朝 所羅門的王朝
[00:05:54.300 --> 00:06:03.300]  接著有王國的分裂 最後在二十九章那邊開始
[00:06:03.300 --> 00:06:11.100]  就是再統一的王國 大概情況是這樣
[00:06:11.100 --> 00:06:16.180]  今天我們講到的經文發生在聯合王國的時代
[00:06:16.180 --> 00:06:20.820]  《歷代志》上的結尾 即是第二十九章結尾
[00:06:20.820 --> 00:06:25.500]  講到大衛有心要為神建造聖殿
[00:06:25.500 --> 00:06:29.900]  但剛才朱先生和我們一起讀的那段經文
[00:06:29.900 --> 00:06:35.380]  講到神當時說 你不可以為我的名建殿
[00:06:35.380 --> 00:06:38.940]  因為你是個戰士 曾殺人流血
[00:06:38.940 --> 00:06:44.580]  這裏在《歷代志》上的結尾提到
[00:06:44.580 --> 00:06:48.220]  講出原因 因為大衛征戰無數
[00:06:48.220 --> 00:06:52.100]  殺人流血 所以神說你不需要了
[00:06:52.100 --> 00:06:57.700]  但他跟他講 你的兒子所羅門要建造我的殿與庭院
[00:06:57.700 --> 00:07:02.420]  因為我要揀選他做我的兒子 我要做他的父親
