
[00:00:00.000 --> 00:00:06.300]  在我們講到之前,我想再次跟大家一起在神的面前禱告。
[00:00:06.300 --> 00:00:10.500]  在講到之前,請我們一起在神的面前禱告。
[00:00:10.500 --> 00:00:15.000]  讓聖靈準備我們的心。
[00:00:15.000 --> 00:00:21.000]  親愛的聖天父,我們實在感謝祢。
[00:00:21.000 --> 00:00:27.800]  祢將祢的愛子耶穌基督賜給我們。
[00:00:27.800 --> 00:00:31.700]  給我們有新的生命。
[00:00:31.700 --> 00:00:39.300]  現在我們奉耶穌基督的名聚集,
[00:00:39.300 --> 00:00:44.900]  因為我們已經是成為祢的兒女。
[00:00:44.900 --> 00:00:53.000]  我們就求祢繼續讓聖靈掌管這個會場,
[00:00:53.000 --> 00:00:57.100]  幫助我們的心打開,
[00:00:57.100 --> 00:01:01.300]  讓耶穌基督,我們的主,
[00:01:01.300 --> 00:01:12.800]  能夠在我們這裡真的成為我們每個人心裡面的主,
[00:01:12.800 --> 00:01:18.000]  讓我們做祂忠心的門徒,
[00:01:18.000 --> 00:01:20.800]  緊緊地跟隨祂。
[00:01:20.800 --> 00:01:24.800]  求祢使用祢的話語,
[00:01:24.800 --> 00:01:31.100]  萊姆說我們這裡每一個,
[00:01:31.100 --> 00:01:37.300]  幫助我們一天一天地更新改造,
[00:01:37.300 --> 00:01:42.800]  奉耶穌基督的名求。
[00:01:42.800 --> 00:01:47.500]  我們常常在傳媒,特別在電影中,
[00:01:47.500 --> 00:01:53.700]  是聽到有世界末日的訊息。
[00:01:53.700 --> 00:01:57.300]  我們常常在傳媒,特別在電影中,
[00:01:57.300 --> 00:01:59.000]  是聽到有世界末日的訊息。
[00:01:59.000 --> 00:02:00.300]  喜歡看電影的,
[00:02:00.300 --> 00:02:05.200]  可能都看過好多有關世界末日的那些電影,是吧?
[00:02:05.200 --> 00:02:06.900]  喜歡看電影的,
[00:02:06.900 --> 00:02:11.300]  都可能看過好多的電影是講世界末日的。
[00:02:11.300 --> 00:02:17.800]  最近甚至說到有關氣候,氣候轉變。
[00:02:17.800 --> 00:02:21.500]  最近有講到氣候氣候的轉變。
[00:02:21.500 --> 00:02:24.600]  描述出來的氣候轉變,
[00:02:24.600 --> 00:02:27.800]  好像末日也沒幾天就要到了。
[00:02:27.800 --> 00:02:30.400]  當我們描述這個氣候轉變的時候,
[00:02:30.400 --> 00:02:33.500]  真的讓我們看到好像世界末日就到了。
[00:02:33.500 --> 00:02:39.300]  生物人類生存的空間快要結束了。
[00:02:39.300 --> 00:02:42.500]  適合人類生存的空間很快會結束。
[00:02:42.500 --> 00:02:46.400]  所以當我們今天聽到今天的講題,
[00:02:46.400 --> 00:02:48.300]  就是天國近了。
[00:02:48.300 --> 00:02:51.700]  所以當我們今天聽到今天的講題,天國近了。
[00:02:51.700 --> 00:02:55.300]  可能你也想到,是不是也想到世界末日。
[00:02:55.300 --> 00:02:58.700]  你會不會想到,是不是世界末日呢?
[00:02:58.700 --> 00:03:04.900]  因為我們一般的理解就是如果天國來了的話,
[00:03:04.900 --> 00:03:08.300]  因為我們一般人的理解,如果天國來了的話,
[00:03:08.300 --> 00:03:10.000]  就是主耶穌再來了。
[00:03:10.000 --> 00:03:11.500]  就是主耶穌再來了。
[00:03:11.500 --> 00:03:13.300]  新天新地出現了。
[00:03:13.300 --> 00:03:15.800]  就會有新天新地會出現了。
[00:03:15.800 --> 00:03:21.000]  我想這樣的解讀也是不錯的。
[00:03:21.000 --> 00:03:23.100]  這樣的解讀也是不錯的。
[00:03:23.100 --> 00:03:26.000]  我們主席今天也是這樣的分享。
[00:03:26.000 --> 00:03:28.100]  我們主席今天也是這樣分享。
[00:03:28.100 --> 00:03:31.700]  在我年輕在香港的時候,
[00:03:31.700 --> 00:03:34.400]  我的母會也是這樣的教導。
[00:03:34.400 --> 00:03:37.500]  我在香港年輕的時候,
[00:03:37.500 --> 00:03:41.000]  我在外務會裡面,教會裡面也是這樣教導的。
[00:03:41.000 --> 00:03:44.300]  但我想在今天的經文那裡,
[00:03:44.300 --> 00:03:46.900]  這個可能不是那個重點。
