
[00:00:00.000 --> 00:00:09.600]  天父帶領我與麥思武在新加坡神學院退休
[00:00:09.600 --> 00:00:14.000]  然後我們申請「家庭團聚」
[00:00:14.000 --> 00:00:18.500]  來與我們的小女兒麥芝慧
[00:00:18.500 --> 00:00:24.700]  和她丈夫李啟明在這裡「家庭團聚」
[00:00:24.700 --> 00:00:29.500]  我們很感謝主來到多倫多
[00:00:29.500 --> 00:00:34.200]  得到陳心儀牧師、黃少明牧師
[00:00:34.200 --> 00:00:38.000]  還有很多其他的牧師、其他的傳道人
[00:00:38.000 --> 00:00:40.500]  執事們、弟兄姊妹
[00:00:40.500 --> 00:00:47.500]  讓我們夫婦在多倫多有22年
[00:00:47.500 --> 00:00:52.500]  很快樂、很平安、很滿足
[00:00:52.500 --> 00:00:58.000]  很有安全感的晚年
[00:00:58.000 --> 00:01:04.000]  最近我的眼睛、我雙眼又看不到
[00:01:04.000 --> 00:01:10.000]  心臟五條血管、四條塞了
[00:01:10.000 --> 00:01:13.000]  然後剩下一條血管
[00:01:13.000 --> 00:01:15.000]  我跟醫生說
[00:01:15.000 --> 00:01:19.000]  我說這條血管很快就塞了
[00:01:19.000 --> 00:01:22.000]  他說也會的
[00:01:22.000 --> 00:01:28.000]  但是他說不做bypass、又不放balloon
[00:01:28.000 --> 00:01:31.000]  only by medication
[00:01:31.000 --> 00:01:34.000]  現在九年了、十年了
[00:01:34.000 --> 00:01:37.000]  還活得很好
[00:01:37.000 --> 00:01:42.000]  不過年紀大了就無法止逃避了
[00:01:42.000 --> 00:01:45.000]  並且在今年開始
[00:01:45.000 --> 00:01:49.000]  麥思武又有大腸癌
[00:01:49.000 --> 00:01:55.000]  開刀之後現在要chemotherapy
[00:01:55.000 --> 00:02:00.000]  不過不用去醫院打針、不用去醫院點滴
[00:02:00.000 --> 00:02:05.000]  不用每個星期幾次出入醫院
[00:02:05.000 --> 00:02:09.000]  在家裡吃丸子就可以了
[00:02:09.000 --> 00:02:15.000]  不過吃完那些chemotherapy的丸子
[00:02:15.000 --> 00:02:19.000]  他的抵抗力會低一點
[00:02:19.000 --> 00:02:25.000]  醫生就警告他盡力不要去人多的地方
[00:02:25.000 --> 00:02:30.000]  所以他今天就不敢來到這裡
[00:02:30.000 --> 00:02:33.000]  他只是在聖保羅樓下
[00:02:33.000 --> 00:02:36.000]  那裡有一個國語的聚會
[00:02:36.000 --> 00:02:39.000]  他參加那裡國語聚會的崇拜
[00:02:39.000 --> 00:02:43.000]  那裡只有20人做禮拜
[00:02:43.000 --> 00:02:46.000]  那裡就比較安全一點
[00:02:46.000 --> 00:02:52.000]  所以今天陳牧師吩咐我臨別贈宴
[00:02:52.000 --> 00:02:55.000]  麥思武沒有機會一起來參加
[00:02:55.000 --> 00:03:01.000]  請大家多多原諒
[00:03:01.000 --> 00:03:06.000]  然後我們發覺年紀慢慢老了
[00:03:06.000 --> 00:03:13.000]  就要進去那些long term care home 老人院
[00:03:13.000 --> 00:03:16.000]  在那裡有人提醒你吃藥
[00:03:16.000 --> 00:03:20.000]  提醒你吃早餐、提醒你吃午餐
[00:03:20.000 --> 00:03:25.000]  以後我和麥思武懵懵地的時候
[00:03:25.000 --> 00:03:29.000]  就有人會幫助我們
[00:03:29.000 --> 00:03:33.000]  在加拿大很嚴格
[00:03:33.000 --> 00:03:37.000]  一個人一個人輪流進去
[00:03:37.000 --> 00:03:41.000]  或者我先去或者麥思武先去
[00:03:41.000 --> 00:03:44.000]  另外一個就要等很久
[00:03:44.000 --> 00:03:47.000]  所以在今年六月
[00:03:47.000 --> 00:03:50.000]  我回去香港港島
[00:03:50.000 --> 00:03:58.000]  就和李飛吾牧師李思武那間老人院聯絡一下
[00:03:58.000 --> 00:04:01.000]  他們就說試一下吧
[00:04:01.000 --> 00:04:03.000]  我們都派有位的
[00:04:03.000 --> 00:04:07.000]  誰知道四個月就有電話來說
[00:04:07.000 --> 00:04:11.000]  你們夫妻倆可以一起進來了
[00:04:11.000 --> 00:04:17.000]  我們祈禱了等候在主的面前
[00:04:17.000 --> 00:04:21.000]  我們就決定回去香港
[00:04:21.000 --> 00:04:30.000]  入香港官航協和街基督教聯合醫院所辦的老人院
[00:04:30.000 --> 00:04:35.000]  就是李飛吾牧師和李思武所入的老人院
[00:04:35.000 --> 00:04:38.000]  希望在那裡找一個角落
[00:04:38.000 --> 00:04:44.000]  安安靜靜等候天父接我們回去天家
[00:04:44.000 --> 00:04:54.000]  今日陳牧師吩咐我臨別贈言
