
[00:00:00.000 --> 00:00:02.400]  題目就是七個字
[00:00:02.400 --> 00:00:06.840]  英勇逃難忍羞辱
[00:00:06.840 --> 00:00:09.780]  上一次講到上個星期
[00:00:09.780 --> 00:00:10.720]  都是我
[00:00:10.720 --> 00:00:12.320]  大家記不記得講哪個人
[00:00:12.320 --> 00:00:13.780]  (記者:初五)
[00:00:13.780 --> 00:00:15.700]  幸好記得
[00:00:15.700 --> 00:00:18.720]  七天的記憶都仍然精神
[00:00:18.720 --> 00:00:20.180]  (笑聲)
[00:00:20.180 --> 00:00:23.900]  那麼今天講應該講哪個人
[00:00:23.900 --> 00:00:25.280]  (記者:大衛)
[00:00:25.280 --> 00:00:27.020]  Solo講完 講大衛
[00:00:27.020 --> 00:00:27.680]  (記者:是)
[00:00:27.680 --> 00:00:32.120]  那麼大衛其實是我一直都很想講的一個人物
[00:00:32.120 --> 00:00:34.200]  如果大家記得很多年前
[00:00:34.200 --> 00:00:36.000]  我有一個系列的廣告
[00:00:36.000 --> 00:00:37.060]  由《闖世紀》一直講
[00:00:37.060 --> 00:00:41.500]  接著跟《舊約》有很多個人物一直都講
[00:00:41.500 --> 00:00:44.060]  其實講的時候都已經有心想講大衛
[00:00:44.060 --> 00:00:46.400]  但是大衛很難講
[00:00:46.400 --> 00:00:48.800]  講得長又不是 講得短又不是
[00:00:48.800 --> 00:00:52.040]  適逢這個月好幾次都是我講到
[00:00:52.040 --> 00:00:56.220]  不如就連續講這個Solo大衛
[00:00:56.220 --> 00:00:59.300]  不會太過長
[00:00:59.300 --> 00:01:05.200]  但是綜合了他們一些人生的經歷和一些教訓
[00:01:05.200 --> 00:01:08.520]  希望成為我們一些指引
[00:01:08.520 --> 00:01:11.680]  經文又是很長的
[00:01:11.680 --> 00:01:12.540]  很多的
[00:01:12.540 --> 00:01:15.740]  因為要講人物的故事
[00:01:15.740 --> 00:01:19.540]  這裡有誰看過《聖經》關於大衛的故事
[00:01:19.540 --> 00:01:21.240]  其實略略記得的
[00:01:21.240 --> 00:01:23.360]  略略有個泡沫
[00:01:23.360 --> 00:01:25.740]  有一些如果未曾看過的
[00:01:25.740 --> 00:01:27.760]  可能會陌生一點
[00:01:27.760 --> 00:01:29.660]  但是《舊約》《聖經》有個好處
[00:01:29.660 --> 00:01:31.720]  就是用故事人物的方式
[00:01:31.720 --> 00:01:33.480]  如果我們記住了的時候
[00:01:33.480 --> 00:01:34.780]  很多裡面
[00:01:34.780 --> 00:01:37.180]  神賞我們領悟的真理
[00:01:37.180 --> 00:01:38.920]  就很容易記得
[00:01:38.920 --> 00:01:42.040]  所以看《舊約》其實又很好看
[00:01:42.040 --> 00:01:44.160]  所以鼓勵大家看《聖經》
[00:01:44.160 --> 00:01:46.080]  不要只看新約 又看《舊約》
[00:01:46.080 --> 00:01:50.060]  經文是由十六章一直到二十六章
[00:01:50.060 --> 00:01:51.960]  《撒慕爾記》上是講大衛
[00:01:51.960 --> 00:01:55.560]  然後就跳到《撒慕爾記》下十六章那一段
[00:01:55.560 --> 00:01:57.660]  還有一小段的故事
[00:01:57.660 --> 00:01:58.940]  我們是今天講的
[00:01:58.940 --> 00:02:01.160]  大家如果揭到《聖經》的
[00:02:01.160 --> 00:02:02.640]  你就揭著《聖經》
[00:02:02.640 --> 00:02:04.740]  一直看著我講
[00:02:04.740 --> 00:02:06.640]  你就看那些經文
[00:02:06.640 --> 00:02:08.120]  我就一直會讀的
[00:02:08.120 --> 00:02:09.640]  如果不方便揭《聖經》
[00:02:09.640 --> 00:02:10.680]  就聽我說就可以了
[00:02:10.680 --> 00:02:12.900]  上一次講《塑羅》
[00:02:12.900 --> 00:02:16.480]  就已經講到他去打菲律賓人的時候
[00:02:16.480 --> 00:02:18.980]  最後陣亡了
[00:02:18.980 --> 00:02:24.440]  因為神在他好幾次不肯聽他的命令的時候
[00:02:24.440 --> 00:02:25.880]  已經是離開了他
[00:02:25.880 --> 00:02:29.380]  到最後他支撐到一場戰役
[00:02:29.380 --> 00:02:31.400]  在對抗菲律賓人的時候
[00:02:31.400 --> 00:02:32.560]  就受了重傷
[00:02:32.560 --> 00:02:34.000]  然後就自己
[00:02:34.000 --> 00:02:35.640]  《聖經》記載說
[00:02:35.640 --> 00:02:37.420]  伏在刀上身亡
[00:02:37.420 --> 00:02:38.720]  即是自殺而死
[00:02:38.720 --> 00:02:43.480]  他的兒子也是當日一起死的
[00:02:43.480 --> 00:02:47.380]  在神說他不聽話
[00:02:47.380 --> 00:02:50.100]  要離棄他
[00:02:50.100 --> 00:02:52.380]  那時候已經跟撒慕爾講
[00:02:52.380 --> 00:02:54.260]  說會另立一個王
[00:02:54.260 --> 00:02:56.780]  那個就是記載在撒慕爾記上
[00:02:56.780 --> 00:02:57.920]  十六章那裡
[00:02:57.920 --> 00:02:59.660]  如果大家去看一看
[00:02:59.660 --> 00:03:02.400]  一開始一至二那一段
[00:03:02.400 --> 00:03:04.560]  就是神跟撒慕爾講
[00:03:04.560 --> 00:03:06.640]  叫他去伯利亞
[00:03:06.640 --> 00:03:08.360]  找一個人叫耶西
[00:03:08.360 --> 00:03:10.320]  告訴撒慕爾
[00:03:10.320 --> 00:03:11.920]  他在耶西的家中
[00:03:11.920 --> 00:03:13.920]  有一個兒子會作惑的
[00:03:13.920 --> 00:03:15.880]  撒慕爾聽神的話
[00:03:15.880 --> 00:03:17.600]  去到耶西那裡找耶西
[00:03:17.600 --> 00:03:20.240]  就說神叫我來
[00:03:20.240 --> 00:03:22.420]  你的兒子
[00:03:22.420 --> 00:03:25.080]  帶他出來讓我看看
[00:03:25.080 --> 00:03:28.640]  舊式的猶太人社會
[00:03:28.640 --> 00:03:35.840]  都是按年紀大小來看重要性
[00:03:35.840 --> 00:03:38.260]  所以長子是特別重要
[00:03:38.260 --> 00:03:41.380]  就叫了一個大兒子出來
[00:03:41.380 --> 00:03:44.780]  挺帥的
[00:03:44.780 --> 00:03:45.780]  高大威猛
[00:03:45.780 --> 00:03:46.860]  挺英勇的
[00:03:46.860 --> 00:03:48.440]  整個好像王的樣子
[00:03:48.440 --> 00:03:50.180]  撒慕爾心裡就說
