
[00:00:00.000 --> 00:00:02.700]  有些教會經常請宣教士
[00:00:02.700 --> 00:00:05.260]  有了宣教士這個名銜之後
[00:00:05.260 --> 00:00:08.020]  很多教會叫我去講猜拳主義
[00:00:08.020 --> 00:00:11.000]  但我一直在想
[00:00:11.000 --> 00:00:14.200]  只要我們的信仰是堅固
[00:00:14.200 --> 00:00:15.760]  我們真的很相信
[00:00:15.760 --> 00:00:18.720]  很明白聖經講的話的時候
[00:00:18.720 --> 00:00:21.820]  我們對我們所信的神是非常忠心的時候
[00:00:21.820 --> 00:00:26.160]  我們不需要講宣教或者傳福音是事在必行的事
[00:00:26.160 --> 00:00:27.580]  但問題是
[00:00:27.580 --> 00:00:31.240]  我們對自己所信的究竟有多明白
[00:00:31.240 --> 00:00:32.840]  究竟有多相信
[00:00:32.840 --> 00:00:35.460]  所以我很盼望在我最後一次機會
[00:00:35.460 --> 00:00:37.200]  這次在出發之前
[00:00:37.200 --> 00:00:41.160]  有機會再和大家去共勉在主裏面
[00:00:41.160 --> 00:00:43.520]  讓我們一起彼此堅固
[00:00:43.520 --> 00:00:45.240]  堅守我們所信的
[00:00:45.240 --> 00:00:47.060]  並且明白
[00:00:47.060 --> 00:00:51.360]  其實在這個地上要做一個基督徒
[00:00:51.360 --> 00:00:53.120]  要信主的人
[00:00:53.120 --> 00:00:55.760]  等候耶穌再來並不是容易的事
[00:00:55.760 --> 00:00:57.620]  所以我們願意求主的話
[00:00:57.620 --> 00:00:59.480]  去今天堅固我們的信
[00:00:59.480 --> 00:01:01.480]  我們先來一起禱告
[00:01:01.480 --> 00:01:07.000]  親愛的天父上帝
[00:01:07.000 --> 00:01:08.360]  我們很感謝禰
[00:01:08.360 --> 00:01:09.760]  我們有福
[00:01:09.760 --> 00:01:12.900]  可以有着從禰而來給我們的信心
[00:01:12.900 --> 00:01:17.040]  我們可以去看清禰是獨一的真神
[00:01:17.040 --> 00:01:20.280]  今天我們求禰憐憫我們
[00:01:20.280 --> 00:01:21.660]  我們有這樣的榮幸
[00:01:21.660 --> 00:01:24.420]  能夠稱呼禰爲「阿爸」
[00:01:24.420 --> 00:01:26.020]  「天父」
[00:01:26.020 --> 00:01:27.560]  我們願意阿爸禰
[00:01:27.560 --> 00:01:30.860]  和我們去講禰自己給我們
[00:01:30.860 --> 00:01:33.020]  堅固我們對禰信心的話
[00:01:33.020 --> 00:01:35.920]  讓禰的話語成爲我們的力量
[00:01:35.920 --> 00:01:38.120]  成爲我們行事的亮光
[00:01:38.120 --> 00:01:40.280]  我們這樣禱告奉主名求
[00:01:40.280 --> 00:01:42.140]  阿門
[00:01:42.140 --> 00:01:44.320]  今天我揀選的經文
[00:01:44.320 --> 00:01:46.060]  是另外分別出來
[00:01:46.060 --> 00:01:49.400]  不是三代經課的經文
[00:01:49.400 --> 00:01:53.160]  乃是希伯來書第十一章
[00:01:53.160 --> 00:01:55.460]  這段經文
[00:01:55.460 --> 00:02:00.060]  恕我今天沒有辦法完全讀出
[00:02:00.060 --> 00:02:02.960]  是一卷非常出名
[00:02:02.960 --> 00:02:05.680]  講信心是什麼
[00:02:05.680 --> 00:02:08.000]  在第一節裏說
[00:02:08.000 --> 00:02:09.680]  希伯來書第十一章
