
[00:00:00.000 --> 00:00:02.100]  今天要宣講的經文
[00:00:02.100 --> 00:00:06.300]  《約翰福音》十四章十五到二十一節
[00:00:06.300 --> 00:00:08.300]  大家還有少少記憶吧
[00:00:08.300 --> 00:00:10.400]  一開始的時候
[00:00:10.400 --> 00:00:13.200]  經文就說到
[00:00:13.200 --> 00:00:14.600]  你們若愛我
[00:00:14.600 --> 00:00:17.900]  就會遵守我的命令
[00:00:17.900 --> 00:00:21.200]  主耶穌在什麼時候說這段話呢
[00:00:21.200 --> 00:00:23.700]  《約翰福音》十四章到十六章
[00:00:23.700 --> 00:00:26.900]  其實就是主耶穌設立聖餐的時候
[00:00:26.900 --> 00:00:30.800]  向門徒所說的一番話
[00:00:30.800 --> 00:00:33.900]  而由十四章開始那段話
[00:00:33.900 --> 00:00:36.100]  其實是十三章尾開始
[00:00:36.100 --> 00:00:39.900]  就是主耶穌預言了誰會出賣他
[00:00:39.900 --> 00:00:42.100]  猶大出去了
[00:00:42.100 --> 00:00:44.100]  即是說接著那段話是
[00:00:44.100 --> 00:00:47.800]  主耶穌和十一個門徒所說的話
[00:00:47.800 --> 00:00:50.400]  是主耶穌和一群
[00:00:50.400 --> 00:00:55.100]  初期教會的群體
[00:00:55.100 --> 00:00:58.500]  所屬他的人所說的一番話
[00:00:58.500 --> 00:01:01.400]  由十三章中間開始
[00:01:01.400 --> 00:01:02.900]  去到十六章尾
[00:01:02.900 --> 00:01:04.900]  以至第十七章《約翰福音》十七章
[00:01:04.900 --> 00:01:07.000]  下個星期陳牧師會說到的
[00:01:07.000 --> 00:01:10.100]  就是主耶穌為這個群體
[00:01:10.100 --> 00:01:12.300]  去禱告的一段禱文
[00:01:12.300 --> 00:01:15.700]  就是下個星期陳牧師會說的
[00:01:15.700 --> 00:01:19.200]  十四章第十五節
[00:01:19.200 --> 00:01:22.300]  你們若愛我就會遵守我的命令
[00:01:22.300 --> 00:01:24.300]  究竟這個命令指的是什麼
[00:01:24.300 --> 00:01:25.600]  究竟在說什麼
[00:01:25.600 --> 00:01:29.100]  我們要不得不回到前面的三節去看
[00:01:29.100 --> 00:01:30.400]  大家翻開聖經
[00:01:30.400 --> 00:01:32.800]  如果有聖經的
[00:01:32.800 --> 00:01:42.500]  《約翰福音》十三章十二、十三、十四節
[00:01:42.500 --> 00:01:48.600]  之前主耶穌設立聖餐的時候
[00:01:48.600 --> 00:01:50.800]  他吩咐一群門徒
[00:01:50.800 --> 00:01:53.800]  他告訴門徒他將會離去
[00:01:53.800 --> 00:01:55.500]  他離開之前
[00:01:55.500 --> 00:01:57.100]  有什麼叫他們北海
[00:01:57.100 --> 00:01:59.400]  不需要優勢會為他們預備的地方
[00:01:59.400 --> 00:02:01.000]  然後賜給他們一條生命令
[00:02:01.000 --> 00:02:04.000]  要他們彼此相愛
[00:02:04.000 --> 00:02:07.500]  然後門徒問主耶穌
[00:02:07.500 --> 00:02:08.700]  主耶穌去哪裏
[00:02:08.700 --> 00:02:11.000]  想跟著去
[00:02:11.000 --> 00:02:14.800]  還有求主耶穌將父顯給他們看
[00:02:14.800 --> 00:02:16.700]  然後主耶穌說了很出名的經文
[00:02:16.700 --> 00:02:18.800]  我就是道路真理生命
[00:02:18.800 --> 00:02:19.400]  若不即在
[00:02:19.400 --> 00:02:22.600]  我沒有人能到父那裡去
[00:02:22.600 --> 00:02:25.600]  接著第十二節
[00:02:25.600 --> 00:02:27.600]  我實實在在地告訴你們
[00:02:27.600 --> 00:02:28.900]  我所做的工作
[00:02:28.900 --> 00:02:30.900]  信我的人也要做
[00:02:30.900 --> 00:02:33.700]  並且要做得比這些更大
[00:02:33.700 --> 00:02:35.800]  因為我到父那裡去
[00:02:35.800 --> 00:02:37.800]  這個是在前文裏面
[00:02:37.800 --> 00:02:41.500]  兩個命令之中的第二個
[00:02:41.500 --> 00:02:43.900]  第一個就是彼此相愛
[00:02:43.900 --> 00:02:44.800]  很特別
[00:02:44.800 --> 00:02:47.700]  當主耶穌說彼此相愛的時候
[00:02:47.700 --> 00:02:51.300]  前文沒有說到
[00:02:51.300 --> 00:02:52.800]  如果你做錯事
