
[00:00:00.000 --> 00:00:03.700]  好,我高興今天我們繼續去看上帝的話語
[00:00:03.700 --> 00:00:06.000]  我們敬拜的時候我們需要聽上帝的話語
[00:00:06.000 --> 00:00:08.600]  上帝的話語就是記載在聖經裏面
[00:00:08.600 --> 00:00:11.800]  聖經就是上帝的啟示
[00:00:11.800 --> 00:00:15.000]  就是說如果你說上帝什麼時候會跟我說話
[00:00:15.000 --> 00:00:18.800]  上帝可以報夢給你,可以雷劈
[00:00:18.800 --> 00:00:20.800]  可以用很多不同的方法
[00:00:20.800 --> 00:00:25.100]  但是最權威的方法,最重要,最標準
[00:00:25.100 --> 00:00:28.600]  最高的標準
[00:00:28.600 --> 00:00:31.100]  就是上帝的話語,就是聖經
[00:00:31.100 --> 00:00:34.900]  所以你記得你剛剛初順主的時候
[00:00:34.900 --> 00:00:38.400]  開始教會去嘗試去摸索一下
[00:00:38.400 --> 00:00:41.900]  到底基督的信仰是一回什麼事呢
[00:00:41.900 --> 00:00:43.600]  信耶穌是一回什麼事呢
[00:00:43.600 --> 00:00:45.600]  你通常都會想到
[00:00:45.600 --> 00:00:49.200]  啊,OK,那就是暢思敬拜,是不是
[00:00:49.200 --> 00:00:53.400]  敬拜我們講過了,就是其中一個最重要的環節
[00:00:53.400 --> 00:00:55.800]  這個環節你不能夠沒有的
[00:00:55.800 --> 00:00:59.500]  就是去摸索一下那本聖經到底是講什麼的
[00:00:59.500 --> 00:01:02.300]  是不是,聖經難不難看
[00:01:02.300 --> 00:01:04.100]  聖經難不難看
[00:01:04.100 --> 00:01:06.600]  是難的,是難的
[00:01:06.600 --> 00:01:08.000]  聖經是挺難看的
[00:01:08.000 --> 00:01:11.200]  但是聖經裏面也有很多很淺白的東西
[00:01:11.200 --> 00:01:14.200]  是一看就明白的,對不對
[00:01:14.200 --> 00:01:18.800]  我們隔壁房兒童的主修學時間
[00:01:18.800 --> 00:01:21.000]  兒童的Kiss Ministry
[00:01:21.000 --> 00:01:23.900]  它裏面很多時候講到聖經裏面的內容
[00:01:23.900 --> 00:01:26.400]  都是講一些比較簡單的,是不是
[00:01:26.400 --> 00:01:29.500]  那麼,聖經裏面有易,也有難的
[00:01:29.500 --> 00:01:32.400]  但是我們一路信主,久了的時候
[00:01:32.400 --> 00:01:35.700]  我們就去掌握,去嘗試去理解
[00:01:35.700 --> 00:01:38.200]  所以呢,在這個Back to Basics
[00:01:38.200 --> 00:01:41.000]  就是回到我們基礎的裏面
[00:01:41.000 --> 00:01:44.300]  我們希望能夠去想一下這些這樣的topic
[00:01:44.300 --> 00:01:45.800]  有些什麼是重要的東西
[00:01:45.800 --> 00:01:48.500]  其中一個最重要的就是上帝的話語
[00:01:48.500 --> 00:01:50.100]  所以我在這裏想
