
[00:00:00.000 --> 00:00:05.440]  我們先一齊祈禱 預備我們的心去領受主的道
[00:00:05.440 --> 00:00:08.080]  天父我們確實相信
[00:00:08.080 --> 00:00:10.640]  我們打開祢的話語
[00:00:10.640 --> 00:00:12.800]  祢是賜下祢的聖靈的幫助
[00:00:12.800 --> 00:00:15.920]  因為祢的心很想我們與祢結連
[00:00:15.920 --> 00:00:17.560]  去與祢同行
[00:00:17.560 --> 00:00:18.960]  無論在靈修的時候
[00:00:18.960 --> 00:00:20.960]  或者一起聽道的時候
[00:00:20.960 --> 00:00:22.600]  求祢臨在我們當中
[00:00:22.600 --> 00:00:25.280]  將我們所需要的靈量賜給我們
[00:00:25.280 --> 00:00:26.480]  慰養我們
[00:00:26.480 --> 00:00:28.200]  因為如果沒有祢的慰養
[00:00:28.200 --> 00:00:30.200]  我們就疲乏困倦
[00:00:30.200 --> 00:00:32.600]  沒力去行走人生的道路
[00:00:32.600 --> 00:00:34.520]  我們心願祢賜下恩惠
[00:00:34.520 --> 00:00:36.680]  好叫我們可以為祢奔走
[00:00:36.680 --> 00:00:38.200]  祈禱奉耶穌的名及
[00:00:38.200 --> 00:00:39.200]  阿門
[00:00:58.200 --> 00:01:12.200]  (廣東話)
[00:01:28.200 --> 00:01:36.200]  (廣東話)
[00:01:36.200 --> 00:01:40.800]  今天我想透過詩篇第十六篇的經文
[00:01:40.800 --> 00:01:41.920]  與大家一起思想
[00:01:41.920 --> 00:01:44.480]  究竟一個親近神的人
[00:01:44.480 --> 00:01:45.640]  一個會靈修的人
[00:01:45.640 --> 00:01:48.640]  在生命中所得著的是甚麼的果子
[00:01:48.640 --> 00:01:50.520]  我稍後會翻開剛才讀過聖經
[00:01:50.520 --> 00:01:52.800]  詩篇第十六篇的經文
[00:01:52.800 --> 00:01:54.400]  詩篇第十六篇
[00:01:54.400 --> 00:01:55.760]  大家會看到
[00:01:55.760 --> 00:01:59.480]  在標題上寫著是大衛的金詩
[00:01:59.480 --> 00:02:03.760]  這首詩篇同時也是我的金詩
[00:02:03.760 --> 00:02:05.640]  為甚麼這樣說呢
[00:02:05.640 --> 00:02:07.000]  因為在初信主的時候
[00:02:07.000 --> 00:02:08.600]  有一位姐妹鼓勵我
[00:02:08.600 --> 00:02:09.920]  你要背詩篇
[00:02:09.920 --> 00:02:12.920]  特別要背詩篇第十六篇
[00:02:12.920 --> 00:02:14.000]  我就很聽話
[00:02:14.000 --> 00:02:15.000]  我就真的去背
[00:02:15.000 --> 00:02:17.000]  詩篇也成為了我的幫助
[00:02:17.000 --> 00:02:19.280]  也有一個Bonus
[00:02:19.280 --> 00:02:20.480]  Bonus是甚麼呢
[00:02:20.480 --> 00:02:22.840]  其實沒有因果關係
[00:02:22.840 --> 00:02:24.240]  我追到這位姐妹
[00:02:24.240 --> 00:02:26.760]  她成為了我的太太
[00:02:26.760 --> 00:02:32.120]  跟我同行了將近四分一世紀
[00:02:32.120 --> 00:02:34.400]  不過即使沒有Bonus也好
[00:02:34.400 --> 00:02:36.200]  背詩篇也是非常之好
[00:02:36.200 --> 00:02:40.120]  這首詩篇我們可以從四個重點去看
[00:02:40.120 --> 00:02:41.800]  讓我們看到
[00:02:41.800 --> 00:02:43.760]  屬神的生命的果子
[00:02:43.760 --> 00:02:46.440]  我會用八個字來概括
[00:02:46.440 --> 00:02:47.840]  這八個字是甚麼呢
[00:02:47.840 --> 00:02:55.880]  是「投靠」、「堅持」、「擁抱」和「重讚」
[00:02:55.880 --> 00:02:58.840]  這四個果子對我們來說都是非常之重要
[00:02:58.840 --> 00:03:00.480]  我們首先看第一方面
[00:03:00.480 --> 00:03:02.800]  第一二節提醒我們
[00:03:02.800 --> 00:03:05.400]  一個屬神的生命的果子是
[00:03:05.400 --> 00:03:10.160]  「以神為唯一投靠的對象,不作他求」
[00:03:10.160 --> 00:03:11.400]  詩篇一開始說
[00:03:11.400 --> 00:03:15.680]  「神啊,求祢保守我,因為我投靠祢」
[00:03:15.680 --> 00:03:19.280]  詩人一開始去表達對神的祈求
[00:03:19.280 --> 00:03:20.520]  這首詩歌很特別
[00:03:20.520 --> 00:03:22.240]  應該是一首祈禱詩
[00:03:22.240 --> 00:03:24.160]  詩人去求神
[00:03:24.160 --> 00:03:27.120]  特別很可能他身處在危難當中
[00:03:27.120 --> 00:03:28.280]  有死亡的威脅
[00:03:28.280 --> 00:03:31.880]  去求神用大能的手去看守著他自己
[00:03:31.880 --> 00:03:34.880]  不要容許任何人或災害去侵害他
[00:03:34.880 --> 00:03:37.280]  激導他使他崩潰
[00:03:37.280 --> 00:03:40.320]  而這個祈求的基礎很簡單
[00:03:40.320 --> 00:03:43.920]  就是「我投靠祢」
[00:03:43.920 --> 00:03:46.040]  我們事實上沒有靠任何東西
[00:03:46.040 --> 00:03:48.680]  去得到上帝的幫助
[00:03:48.680 --> 00:03:53.520]  只是很清楚地將自己的生命交在神的手裡
[00:03:53.520 --> 00:03:55.840]  不是我們配得祂的幫助
[00:03:55.840 --> 00:03:59.320]  而是出於我們知道這位上帝是這麼憐憫
[00:03:59.320 --> 00:04:00.600]  愛屬於祂的人
[00:04:00.600 --> 00:04:03.120]  我們投靠祂
[00:04:03.120 --> 00:04:08.640]  投靠上帝是我們每時每刻要作的抉擇
[00:04:08.640 --> 00:04:12.600]  不過很多時候我們都會拖延很久才投靠
[00:04:12.600 --> 00:04:16.640]  沒有其他方法才去找上帝
[00:04:16.640 --> 00:04:19.320]  所以往往是一些大病、失業
[00:04:19.320 --> 00:04:22.440]  家人有問題的時候才去找上帝
[00:04:22.440 --> 00:04:23.880]  然後很後悔
[00:04:23.880 --> 00:04:26.040]  然後我們又會用一句說話說
[00:04:26.040 --> 00:04:30.080]  「人的盡頭就是神的開始」
[00:04:30.080 --> 00:04:33.320]  弟兄姊妹這句說話雖然出於荒漠金泉
[00:04:33.320 --> 00:04:35.400]  不過我不是很認同
[00:04:35.400 --> 00:04:38.680]  不要去到盡頭才投靠上帝
[00:04:38.680 --> 00:04:45.560]  神的恩典應該是我們一切生活動作傳流的開始基礎
[00:04:45.560 --> 00:04:51.280]  持續的力量和智慧是我們的方向和目標
[00:04:51.280 --> 00:04:52.720]  不要去到盡頭才找上帝
[00:04:52.720 --> 00:04:55.960]  讓神的恩典一直在你為祂而活
