
[00:00:00.000 --> 00:00:06.000]  愛蓮近晚,愛蓮近晚,還沒到,還沒新年
[00:00:06.000 --> 00:00:15.000]  接下來農曆年,通常在還沒到新年期間
[00:00:15.000 --> 00:00:23.000]  中國大陸,特別是在廣州,一到年廿五左右
[00:00:23.000 --> 00:00:29.000]  很多人都回到過年,如果是廣州的本地人留在這裡
[00:00:30.000 --> 00:00:35.000]  但是大部份,有不少人都出去其他省份,或者去了外地旅遊
[00:00:35.000 --> 00:00:39.000]  所以平時搭地鐵是迫到不得了的
[00:00:39.000 --> 00:00:46.000]  但是到新年期間,前前後後,基本上城是很空的
[00:00:46.000 --> 00:00:50.000]  搭地鐵是不需要去迫位,搭巴士是不需要去迫位
[00:00:50.000 --> 00:00:55.000]  而且一條路比較順暢很多,因為所有的車都出去了
[00:00:55.000 --> 00:01:00.000]  那些人都走了,大部份在這裏打工的人
[00:01:00.000 --> 00:01:04.000]  他們是沒有,他們真的很多,因為收入不是那麼高
[00:01:04.000 --> 00:01:09.000]  在廣州買房子都是頗難的,因為一間房子不少錢
[00:01:09.000 --> 00:01:12.000]  所以他們大部份都要回去他們的鄉下過年
[00:01:12.000 --> 00:01:16.000]  那鄉下是怎樣的呢?鄉下有很多留守兒童在這裏
[00:01:16.000 --> 00:01:23.000]  為甚麼?因為大部份的,一些在鄉下的人,在村那些
[00:01:23.000 --> 00:01:26.000]  他們年輕力壯就出來工作
[00:01:26.000 --> 00:01:34.000]  如果是小孩子和老人家,通常會留在鄉下
[00:01:34.000 --> 00:01:42.000]  所以通常他們沒有自己的家,所以過年才回去
[00:01:42.000 --> 00:01:47.000]  所以回去的時候,看到小孩子已經大了一歲
[00:01:47.000 --> 00:01:53.000]  那老人家呢?老人家老了一年了,對不對?
[00:01:53.000 --> 00:01:58.000]  所以在這個地上其實都很不容易
[00:01:58.000 --> 00:02:05.000]  但是無論怎樣都好,每一個人,人家每一生都要靠神的恩典
[00:02:05.000 --> 00:02:07.000]  無論是基督徒,不是基督徒
[00:02:07.000 --> 00:02:11.000]  神祂有祂的普遍恩典給所有的人
[00:02:11.000 --> 00:02:17.000]  因為神祂要用日頭照好人,也要照壞人
[00:02:17.000 --> 00:02:20.000]  照義人,也要照惡人
[00:02:20.000 --> 00:02:23.000]  我們基督徒實在很忘恩
[00:02:23.000 --> 00:02:26.000]  因為有一位神作我們隨時的幫助
[00:02:26.000 --> 00:02:31.000]  先說一句,新年蒙福,對不對?
[00:02:31.000 --> 00:02:34.000]  祝大家歷上加歷
[00:02:34.000 --> 00:02:37.000]  如果是尋求智慧的,至上加至
[00:02:37.000 --> 00:02:41.000]  但是如果新年是要說
