
[00:00:00.000 --> 00:00:02.000]  在這幾個月 我發覺
[00:00:02.000 --> 00:00:05.360]  我真心體會到 什麼叫做資訊的世代
[00:00:05.360 --> 00:00:09.720]  你每天都接收了很多很多很多的資訊
[00:00:09.720 --> 00:00:13.440]  甚至乎去到一個資訊爆炸的年代
[00:00:13.440 --> 00:00:15.440]  到底資訊越多
[00:00:15.440 --> 00:00:21.800]  是不是代表我們距離的真相越近呢
[00:00:21.800 --> 00:00:22.800]  你明白我問什麼嗎
[00:00:22.800 --> 00:00:24.640]  我們好像想多些資訊
[00:00:24.640 --> 00:00:26.640]  希望得到真相
[00:00:26.640 --> 00:00:29.480]  但當我們得到的資訊越多
[00:00:29.480 --> 00:00:33.400]  我們得到的真相是不是越多呢
[00:00:33.400 --> 00:00:35.400]  有這句話
[00:00:35.400 --> 00:00:38.520]  你會填什麼字進去呢
[00:00:38.520 --> 00:00:44.240]  「圖」 證明你是old school(老派)
[00:00:44.240 --> 00:00:47.920]  幾年前 五六年前阿彪就對了
[00:00:47.920 --> 00:00:51.000]  你說是沒用的 怎樣才有真相
[00:00:51.000 --> 00:00:53.280]  有圖 有真相
[00:00:53.280 --> 00:00:56.320]  但慢慢開始演化了 阿彪有別的答案嗎
[00:00:56.320 --> 00:00:57.320]  (有片有真相)
[00:00:57.320 --> 00:01:00.480]  好啦 有片有真相 是不是真的呢
[00:01:00.480 --> 00:01:02.080]  都不一定的
[00:01:02.080 --> 00:01:06.240]  你就會問 那條片有沒有被人剪過的
[00:01:06.240 --> 00:01:08.960]  你知啦 不同電視台都要播片的
[00:01:08.960 --> 00:01:12.080]  但不同電視台得出來的結論是完全不同的
[00:01:12.080 --> 00:01:13.200]  那你就會說
[00:01:13.200 --> 00:01:16.880]  會不會有一條未經剪接的片呢
[00:01:16.880 --> 00:01:19.040]  就有真相
[00:01:19.040 --> 00:01:20.920]  但其實都不是
[00:01:20.920 --> 00:01:23.840]  因為這幾天你又看到一條未經剪接的片
[00:01:23.840 --> 00:01:27.000]  你就懷疑它是拍出來的
[00:01:27.000 --> 00:01:29.280]  我想強調其實
[00:01:29.280 --> 00:01:32.160]  我們以為我們多些資訊就多些真相
[00:01:32.160 --> 00:01:34.160]  其實不一定的
[00:01:34.160 --> 00:01:36.080]  可能去到最尾
[00:01:36.080 --> 00:01:38.640]  其實我們就算有片有圖
[00:01:38.640 --> 00:01:40.920]  有人證有物證
[00:01:40.920 --> 00:01:44.560]  我們都未必肯定我們有真相
[00:01:44.560 --> 00:01:46.800]  大概五個月前
[00:01:46.800 --> 00:01:48.800]  今天剛剛是五個月
[00:01:48.800 --> 00:01:52.320]  距離六月九日 今天是十一月九日
[00:01:52.320 --> 00:01:56.520]  我們好像進入了一個fact check(事實查核)的年代
[00:01:57.600 --> 00:02:00.320]  但慢慢經過這五個月之後
[00:02:00.320 --> 00:02:06.000]  我又覺得我們是進入了一個無法fact check(事實查核)的年代
[00:02:06.000 --> 00:02:08.320]  你有沒有同感
[00:02:08.320 --> 00:02:11.680]  有些事我們之前好像很肯定
[00:02:11.680 --> 00:02:14.040]  但慢慢你又覺得
[00:02:14.040 --> 00:02:16.600]  其實我們都不是很肯定
[00:02:16.600 --> 00:02:19.200]  有些事以為有圖有片
[00:02:19.200 --> 00:02:20.560]  以為很肯定
[00:02:20.560 --> 00:02:23.560]  但慢慢又覺得不是很肯定
[00:02:23.560 --> 00:02:26.000]  就算有一條未經剪接的片
[00:02:26.000 --> 00:02:28.560]  你就會懷疑
[00:02:28.560 --> 00:02:31.120]  那些反應那麼快應該拍出來的
[00:02:31.120 --> 00:02:32.080]  夾過的
[00:02:32.080 --> 00:02:33.480]  那些timing沒那麼準的
[00:02:33.480 --> 00:02:35.480]  沒那麼準的
[00:02:35.480 --> 00:02:38.120]  你有很多的疑惑
[00:02:38.120 --> 00:02:39.120]  我在想
[00:02:39.120 --> 00:02:41.560]  其實聖經有沒有address這個時代呢
[00:02:41.560 --> 00:02:43.320]  或者聖經怎樣說呢
[00:02:43.320 --> 00:02:47.800]  聖經在說我們今天是一個末後的時代
[00:02:47.800 --> 00:02:51.440]  我猜末後的時代其中一個特色
[00:02:51.440 --> 00:02:52.920]  就是混亂
[00:02:52.920 --> 00:02:55.320]  就是我們不知道什麼是對
[00:02:55.320 --> 00:02:56.800]  什麼是不對
[00:02:56.800 --> 00:02:58.720]  不過今天我的目的
[00:02:58.720 --> 00:03:01.240]  或者我的
[00:03:01.240 --> 00:03:04.320]  我想強調我想處理的問題
[00:03:04.320 --> 00:03:06.080]  不是社會的問題
[00:03:06.080 --> 00:03:08.280]  是教會的問題
[00:03:08.280 --> 00:03:11.880]  有人就期望在一個那麼混亂的世界
[00:03:11.880 --> 00:03:17.640]  教會會不會穩定些、穩妥些呢
[00:03:17.640 --> 00:03:19.640]  不會
[00:03:19.640 --> 00:03:22.360]  教會同樣充滿問題
[00:03:22.360 --> 00:03:24.920]  教會同樣千瘡百孔
[00:03:24.920 --> 00:03:27.640]  我不是只指我們現在這間教會
[00:03:27.640 --> 00:03:30.800]  我是說香港甚至世界的教會
[00:03:30.800 --> 00:03:33.440]  當然同幅as其中一間教會
[00:03:33.440 --> 00:03:35.080]  我們都不能倖免
[00:03:35.080 --> 00:03:37.280]  我們都面對很多的問題
[00:03:37.280 --> 00:03:40.400]  而早期教會面對一個什麼問題呢
[00:03:40.400 --> 00:03:43.640]  就是他們有很多假教師
[00:03:43.640 --> 00:03:45.840]  和假的教導
[00:03:45.840 --> 00:03:46.840]  是因為這樣
[00:03:46.840 --> 00:03:49.840]  我想了今天的題目
[00:03:49.840 --> 00:03:52.840]  叫做「變度成長」
[00:03:52.840 --> 00:03:57.840]  這幅圖,你看到什麼?
[00:03:57.840 --> 00:03:59.120]  看你看什麼,是不是?
[00:03:59.120 --> 00:04:00.760]  有些人第一眼看下去
[00:04:00.760 --> 00:04:01.920]  回答都回答不來的
[00:04:01.920 --> 00:04:04.240]  就說看到羊
[00:04:04.240 --> 00:04:05.200]  很多隻羊
[00:04:05.200 --> 00:04:07.760]  但是你見不見到有一隻很精靈
[00:04:07.760 --> 00:04:09.480]  好像Husky的
[00:04:09.480 --> 00:04:14.840]  其實那隻應該是狼來的
[00:04:14.840 --> 00:04:17.760]  原來在早期教會都強調
[00:04:17.760 --> 00:04:19.360]  在教會裡面
[00:04:19.360 --> 00:04:23.280]  有假先知、有假師傅、有假的教師
[00:04:23.280 --> 00:04:25.960]  有假的教導
[00:04:25.960 --> 00:04:28.400]  來到2019年的香港
[00:04:28.400 --> 00:04:29.720]  在我們的教會
[00:04:29.720 --> 00:04:31.000]  在宗教會裡面
[00:04:31.000 --> 00:04:34.240]  其實我們都面對著同一個問題
[00:04:34.240 --> 00:04:36.600]  我很想和你今天看很多聖經
[00:04:36.600 --> 00:04:38.280]  所以你應該睡不著的
[00:04:38.280 --> 00:04:40.400]  因為聖經太多了
[00:04:40.400 --> 00:04:41.600]  很多聖經的原因
[00:04:41.600 --> 00:04:45.440]  我很想將一幅比較整全的圖畫告訴你
[00:04:45.440 --> 00:04:48.400]  第一段經文是在《馬太福音》的七章十五十六節
[00:04:48.400 --> 00:04:51.000]  這些經文我只會讀一次
[00:04:51.000 --> 00:04:52.960]  耶穌基督祂自己說
[00:04:52.960 --> 00:04:54.920]  你們要防備假的先知
[00:04:54.920 --> 00:04:58.760]  他們來到你這裡要外面披著羊皮
[00:04:58.760 --> 00:05:01.680]  裡面卻是殘暴的狼
[00:05:01.680 --> 00:05:04.680]  祂說你怎樣分辨到他?
[00:05:04.680 --> 00:05:06.680]  憑他的果子
