
[00:00:00.000 --> 00:00:03.000]  兄弟姊妹平安
[00:00:03.000 --> 00:00:07.000]  不知道你有沒有看過金庸的武俠小說
[00:00:07.000 --> 00:00:12.000]  在香港來說 金庸的武俠小說應該是每隻人口
[00:00:12.000 --> 00:00:17.000]  就算沒有看過小說 也可能看過電視
[00:00:17.000 --> 00:00:22.000]  不知道你對金庸的武俠小說認識有多少呢
[00:00:22.000 --> 00:00:26.000]  有一位看金庸武俠小說大的前輩
[00:00:26.000 --> 00:00:30.000]  他問一個年輕人
[00:00:30.000 --> 00:00:34.000]  他說 你有沒有看過金庸武俠小說
[00:00:34.000 --> 00:00:38.000]  沒有 但我看過電視劇
[00:00:38.000 --> 00:00:42.000]  那你知不知道金庸武俠小說那十四本小說
[00:00:42.000 --> 00:00:49.000]  第一個字連起來是一首詩
[00:00:49.000 --> 00:00:58.000]  那首詩就是飛雪連天射白綠 笑書神俠倚碧鴛
[00:00:58.000 --> 00:01:02.000]  那個年輕人說 我不認識
[00:01:02.000 --> 00:01:08.000]  但你知不知道羅林那七本小說
[00:01:08.000 --> 00:01:14.000]  第一個字連起來又是甚麼呢
[00:01:14.000 --> 00:01:21.000]  那位前輩說 咦 又真的不知道
[00:01:21.000 --> 00:01:24.000]  於是那位年輕人告訴他
[00:01:24.000 --> 00:01:27.000]  那七本小說第一個字連起來就是
[00:01:27.000 --> 00:01:34.000]  哈哈哈哈
[00:01:34.000 --> 00:01:39.000]  你會笑即是你知道那七本小說是甚麼名字
[00:01:39.000 --> 00:01:41.000]  有人喜歡金庸的武俠小說
[00:01:41.000 --> 00:01:46.000]  也有人喜歡哈利波特 即是羅林的小說
[00:01:46.000 --> 00:01:50.000]  你有沒有發現無論是武俠小說
[00:01:50.000 --> 00:01:56.000]  或者是哈利波特 裏面都有一些共同的橋段
[00:01:56.000 --> 00:02:01.000]  有一些共同的劇情
[00:02:01.000 --> 00:02:07.000]  那個劇情那個線索就是報仇
[00:02:07.000 --> 00:02:11.000]  你試想想 如果武俠小說裏面沒有報仇
[00:02:11.000 --> 00:02:18.000]  那那本武俠小說就不知道剩下甚麼劇情了
[00:02:18.000 --> 00:02:22.000]  你記不記得《射雕英雄傳》裏面
[00:02:22.000 --> 00:02:28.000]  郭靖他的前半生為甚麼而報仇
[00:02:28.000 --> 00:02:30.000]  為他的父親而報仇
[00:02:30.000 --> 00:02:34.000]  所以他要找殺害父親的幕後主使
[00:02:34.000 --> 00:02:38.000]  找他出來報仇
[00:02:38.000 --> 00:02:41.000]  後半段你記不記得
[00:02:41.000 --> 00:02:46.000]  他那幾位師父在桃花島遇害
[00:02:46.000 --> 00:02:52.000]  所以他又報復仇 變成報屍仇
[00:02:52.000 --> 00:02:59.000]  你又記不記得《神鵰俠侶》裏面楊過
[00:02:59.000 --> 00:03:02.000]  他要報的又是復仇
[00:03:02.000 --> 00:03:04.000]  他要尋找他的殺父仇人
[00:03:04.000 --> 00:03:08.000]  還有一位人物叫做裘千尺
[00:03:08.000 --> 00:03:11.000]  他驅在深潭裏面很多年
[00:03:11.000 --> 00:03:15.000]  為的是甚麼 就是有一天他要報仇
[00:03:15.000 --> 00:03:17.000]  還有一個人叫做李莫愁
[00:03:17.000 --> 00:03:20.000]  他的名字叫做莫愁
[00:03:20.000 --> 00:03:25.000]  但是你知道他內心裏面充滿著仇怨
[00:03:25.000 --> 00:03:27.000]  因為他被情傷所困
[00:03:27.000 --> 00:03:31.000]  他充滿著情愁
[00:03:31.000 --> 00:03:36.000]  在《武俠小說》裏面充滿著恩怨情仇
[00:03:36.000 --> 00:03:44.000]  在現實世界裏面會不會也有很多恩怨情仇呢
[00:03:44.000 --> 00:03:56.000]  在基督教裏面會不會也有恩怨情仇呢
[00:03:56.000 --> 00:04:01.000]  你有沒有看過有一本舊約導讀
[00:04:01.000 --> 00:04:04.000]  是中國神學研究院的院長李斯健博士所寫的
[00:04:04.000 --> 00:04:11.000]  書名叫做《恩怨情仇論舊約》
[00:04:11.000 --> 00:04:13.000]  他已經告訴你了
[00:04:13.000 --> 00:04:16.000]  如果你以為在基督教裏面沒有恩怨情仇
[00:04:16.000 --> 00:04:21.000]  這只不過是一廂情願的美麗想像
[00:04:21.000 --> 00:04:28.000]  今日我們還讀的舊約經課可算是恩怨情仇裏面的其中一幕
[00:04:28.000 --> 00:04:31.000]  我們翻開今日我們讀的舊約經課
[00:04:31.000 --> 00:04:36.000]  創世紀第五十章十五節
[00:04:36.000 --> 00:04:43.000]  創世紀第五十章十五節
[00:04:43.000 --> 00:04:51.000]  至到第二十一節
[00:04:51.000 --> 00:04:56.000]  剛才你聽讀經賢幫我們將這段經文讀了出來
[00:04:56.000 --> 00:05:01.000]  你大概有印象在說甚麼
[00:05:01.000 --> 00:05:07.000]  古人說冰封三尺非一日之寒
[00:05:07.000 --> 00:05:13.000]  我們現在就會說這是深層次矛盾
[00:05:13.000 --> 00:05:16.000]  如何處理這些恩怨情仇
[00:05:16.000 --> 00:05:19.000]  如何處理這些深層次矛盾
[00:05:19.000 --> 00:05:21.000]  如何達至和解
[00:05:21.000 --> 00:05:24.000]  的確是一個非常複雜的事情
[00:05:24.000 --> 00:05:33.000]  畢竟沒有人可以強迫加害者真心尋求寬恕
[00:05:33.000 --> 00:05:49.000]  沒有人可以代替被害者誠心接受別人的認錯而給予寬恕
[00:05:49.000 --> 00:05:58.000]  這個故事只不過是世界上眾多恩怨情仇裏面的其中一幕
[00:05:58.000 --> 00:06:05.000]  而且這一幕故事是約瑟和他兄弟之間的故事
[00:06:05.000 --> 00:06:11.000]  未必能夠直接地普及其他的事情
[00:06:11.000 --> 00:06:16.000]  所以當我們想像去應用在其他事務上的時候
[00:06:16.000 --> 00:06:20.000]  我們必須要謹慎
[00:06:20.000 --> 00:06:22.000]  保羅曾經教導信徒
[00:06:22.000 --> 00:06:25.000]  他說不可含怒到日落
[00:06:25.000 --> 00:06:28.000]  但是解決恩怨情仇
[00:06:28.000 --> 00:06:31.000]  就正如保羅的另一句話所說
[00:06:31.000 --> 00:06:34.000]  立志行善由得我
[00:06:34.000 --> 00:06:37.000]  只是行出來由不得我
[00:06:37.000 --> 00:06:41.000]  除了個人意願之外
[00:06:41.000 --> 00:06:45.000]  現實上要解決恩怨情仇
[00:06:45.000 --> 00:06:49.000]  時機是一個非常重要的條件
[00:06:49.000 --> 00:06:53.000]  有些事情不是即時可以處理
[00:06:53.000 --> 00:06:59.000]  你試試看約瑟和他兄弟之間的恩怨情仇
[00:06:59.000 --> 00:07:01.000]  維持了多長時間
[00:07:01.000 --> 00:07:04.000]  才可以處理得到
[00:07:04.000 --> 00:07:06.000]  時機是一個很重要的因素
[00:07:06.000 --> 00:07:09.000]  當我們今天再來讀約瑟和他兄弟的故事的時候
[00:07:09.000 --> 00:07:12.000]  希望我們能夠從中找到一些啟迪
[00:07:12.000 --> 00:07:14.000]  我們回來他的故事
[00:07:14.000 --> 00:07:18.000]  開始第五十章十五節
[00:07:18.000 --> 00:07:22.000]  約瑟他的哥哥見父親死了
[00:07:22.000 --> 00:07:24.000]  約瑟懷恨我們
[00:07:24.000 --> 00:07:27.000]  照著我們從前代他一切的惡
[00:07:27.000 --> 00:07:31.000]  足足地報復我們
[00:07:31.000 --> 00:07:36.000]  第一個很重要的事情就是
[00:07:36.000 --> 00:07:39.000]  舊的秩序失效
[00:07:39.000 --> 00:07:43.000]  新的秩序有待重建
[00:07:43.000 --> 00:07:48.000]  其實仇怨不一定會顯露
[00:07:48.000 --> 00:07:53.000]  恨也不一定能夠報到
[00:07:53.000 --> 00:07:59.000]  當大家之間都有一個尊重的父老
[00:07:59.000 --> 00:08:02.000]  他在維持秩序的狀況下
[00:08:02.000 --> 00:08:05.000]  大家都給予面子這個父老的時候
[00:08:05.000 --> 00:08:13.000]  大家就會和平共處
[00:08:13.000 --> 00:08:17.000]  不過這種表面的和諧
