
[00:00:00.000 --> 00:00:05.540]  在德國有一位學者叫做古倫神父
[00:00:05.540 --> 00:00:11.080]  他是在修道院裏面做一個行政的主管
[00:00:11.080 --> 00:00:15.480]  亦都被在德國一些大的企業
[00:00:15.480 --> 00:00:18.720]  好像Benz的汽車
[00:00:18.720 --> 00:00:21.940]  Puma的運動服裝
[00:00:21.940 --> 00:00:30.600]  都被邀請到他那裏講述一些管理的專題
[00:00:30.600 --> 00:00:33.960]  他的著作超過三百多本
[00:00:33.960 --> 00:00:41.840]  被譽為德國最有影響力的宗教和心靈的作家
[00:00:41.840 --> 00:00:45.680]  他有一本書是關於聖誕節期的
[00:00:45.680 --> 00:00:56.480]  叫做「歡慶一個美好的相遇」
[00:00:56.480 --> 00:00:59.440]  在他的書裏面這樣寫
[00:00:59.440 --> 00:01:02.160]  他說耶穌誕生的故事
[00:01:02.160 --> 00:01:07.240]  在我們所敘述的各種的相遇
[00:01:07.240 --> 00:01:10.620]  讓慶祝聖誕的活動
[00:01:10.620 --> 00:01:13.960]  能夠更新我們的關係
[00:01:13.960 --> 00:01:18.880]  深化我們彼此的相遇
[00:01:18.880 --> 00:01:22.380]  我認為其中最重要的是
[00:01:22.380 --> 00:01:28.900]  只有我們同時間亦都與上帝所派遣的天使相遇
[00:01:28.900 --> 00:01:33.420]  與馬槽中的聖嬰相遇
[00:01:33.420 --> 00:01:38.680]  並與祂的光芒進入我們的內心當中的時候
[00:01:38.680 --> 00:01:47.960]  我們人與人之間的相遇才會成為美好
[00:01:47.960 --> 00:01:55.320]  聖誕節期是人與人之間互相建立關係
[00:01:55.320 --> 00:02:01.080]  彼此欣賞的一個節期
[00:02:01.080 --> 00:02:04.120]  在章林奇的第三個主日
[00:02:04.120 --> 00:02:08.320]  我們的主題是「喜樂的靈」
[00:02:08.320 --> 00:02:12.840]  是如何我們才能夠從心裏
[00:02:12.840 --> 00:02:19.000]  產生這種喜樂和快樂的心呢?
[00:02:19.000 --> 00:02:22.120]  就是當我與我身邊的人
[00:02:22.120 --> 00:02:31.000]  能夠建立這份和諧和喜樂的關係的時候
[00:02:31.000 --> 00:02:36.360]  我們才能夠說「我很開心」
[00:02:36.360 --> 00:02:39.320]  任何一個時間令到我們的關係破損
[00:02:39.320 --> 00:02:44.080]  我們都不能夠說得上我們是一個開心的人
[00:02:44.080 --> 00:02:46.280]  在這個主日
[00:02:46.280 --> 00:02:53.560]  我們還讀了帖撒羅尼加前書第五章十二節至二十八節的經文
[00:02:53.560 --> 00:02:57.680]  在這段經文裏面是說了有幾種的關係
[00:02:57.680 --> 00:03:01.240]  特別是我們在教會裏面的關係
[00:03:01.240 --> 00:03:06.120]  我們就透過去看這幾種的關係
[00:03:06.120 --> 00:03:09.400]  如何去建立一份好的關係
[00:03:09.400 --> 00:03:13.400]  以致我們在這個相遇的季節當中
[00:03:13.400 --> 00:03:17.720]  我們能夠可以活得更加的喜樂
[00:03:17.720 --> 00:03:20.080]  每一次回到教會的時候
[00:03:20.080 --> 00:03:23.240]  我們可以有一個喜樂的心
[00:03:23.240 --> 00:03:25.760]  這三種的關係
[00:03:25.760 --> 00:03:30.680]  就是我們與教會領袖的關係
[00:03:30.680 --> 00:03:35.680]  第二個就是我們與弟兄姊妹的關係
[00:03:35.680 --> 00:03:40.520]  第三個就是我們與自己的關係
[00:03:40.520 --> 00:03:44.280]  這是一個靈性的關係
[00:03:44.280 --> 00:03:47.640]  以致我們與神的關係
[00:03:47.640 --> 00:03:49.400]  時間不是很多
[00:03:49.400 --> 00:03:54.400]  我很簡短地跟大家去思想一下這三種的關係
[00:03:54.400 --> 00:03:58.840]  第一個就是我們與教會領袖的關係
[00:03:58.840 --> 00:04:02.000]  我們比較少去思想這一方面
[00:04:02.000 --> 00:04:05.560]  與教會領袖的關係
[00:04:05.560 --> 00:04:09.800]  我想我們需要再看看聖經怎樣說這個關係
[00:04:09.800 --> 00:04:12.320]  既然已經將經文印了出來
[00:04:12.320 --> 00:04:15.800]  就是第十二節和第十三節
[00:04:15.800 --> 00:04:19.640]  我們一起去讀聖經裏面給我們的提醒
[00:04:19.640 --> 00:04:20.760]  一起來
[00:04:20.760 --> 00:04:21.880]  弟兄們
[00:04:21.880 --> 00:04:27.520]  我們勸你們敬重那在你們中間奴婦的人
[00:04:27.520 --> 00:04:31.000]  就是在主裏面治理你們
[00:04:31.000 --> 00:04:32.960]  勸戒你們的
[00:04:32.960 --> 00:04:35.720]  又因他們所作的功
[00:04:35.720 --> 00:04:39.160]  用愛心格外尊重他們
[00:04:39.160 --> 00:04:43.760]  你們也要彼此和睦
[00:04:43.760 --> 00:04:46.720]  這裏也說得很清楚
[00:04:46.720 --> 00:04:50.440]  甚麼是教會的領袖呢?
[00:04:50.440 --> 00:04:55.480]  就是那些在你們中間奴婦的人
[00:04:55.480 --> 00:04:56.920]  教會領袖
[00:04:56.920 --> 00:04:59.880]  在你們中間奴婦的人
[00:04:59.880 --> 00:05:05.240]  第二就是在主裏面去治理你們
[00:05:05.240 --> 00:05:11.920]  勸戒你們的那些人
[00:05:11.920 --> 00:05:14.880]  不是說他們是甚麼職位
[00:05:14.880 --> 00:05:16.880]  有沒有一個職責
[00:05:16.880 --> 00:05:18.000]  當然啦
[00:05:18.000 --> 00:05:20.160]  執事當然是教會的領袖
[00:05:20.160 --> 00:05:21.920]  沒錯他們是教會的領袖
[00:05:21.920 --> 00:05:25.960]  但不只是因為那個職位的職責
[00:05:25.960 --> 00:05:29.040]  小組組長是不是一個領袖呢?
[00:05:29.040 --> 00:05:34.680]  他有沒有治理你們?
[00:05:34.680 --> 00:05:39.280]  有沒有勸戒你們?
[00:05:39.280 --> 00:05:46.160]  他有沒有憤愛的奴婦?
[00:05:46.160 --> 00:05:47.360]  你心裏面說就行了
[00:05:47.360 --> 00:05:50.520]  我聽到了
[00:05:50.520 --> 00:05:54.200]  聖經就只是用了這些說話
[00:05:54.200 --> 00:05:57.280]  來形容在教會裏面
[00:05:57.280 --> 00:06:00.200]  有的確是需要有些這樣的人
[00:06:00.200 --> 00:06:03.600]  去做了一些這樣的事
[00:06:03.600 --> 00:06:05.600]  我們在今天就說
[00:06:05.600 --> 00:06:09.200]  這些就是我們教會的領袖
[00:06:09.200 --> 00:06:11.640]  就是他會做一些
[00:06:11.640 --> 00:06:15.160]  一般的信徒都未必會做的事
[00:06:15.160 --> 00:06:20.120]  這些就是教會的領袖
[00:06:20.120 --> 00:06:22.800]  我們對於這些
[00:06:22.800 --> 00:06:26.640]  願意再付出多一點的時間
[00:06:26.640 --> 00:06:28.640]  不厭麻煩
[00:06:28.640 --> 00:06:30.280]  又不怕被人罵
[00:06:30.280 --> 00:06:34.720]  又不怕被人篤背脊的這一班人
[00:06:34.720 --> 00:06:40.840]  我們應該怎樣去看待他們呢?
[00:06:40.840 --> 00:06:42.160]  我沒有用對待
[00:06:42.160 --> 00:06:43.760]  我看待
[00:06:43.760 --> 00:06:47.000]  怎樣去看待他們呢?
[00:06:47.000 --> 00:06:52.920]  保羅他只是用了兩個很重要的詞彙
[00:06:52.920 --> 00:06:55.040]  第一個就是尊重
[00:06:55.040 --> 00:06:58.080]  第二個就是愛護
