
[00:00:00.000 --> 00:00:02.000]  我們一起禱告才開始講道
[00:00:02.000 --> 00:00:05.000]  天父多謝祢保守我們能夠認識祢
[00:00:05.000 --> 00:00:07.000]  以致我們生命不再一樣
[00:00:07.000 --> 00:00:08.000]  主啊我們知道
[00:00:08.000 --> 00:00:11.000]  聽祢的話信服祢其實是一條蒙福的路
[00:00:11.000 --> 00:00:14.000]  求祢親自來幫助我們每一個
[00:00:14.000 --> 00:00:15.000]  讓我們更加愛祢
[00:00:15.000 --> 00:00:18.000]  我們這樣禱告奉靠主耶穌基督的名
[00:00:18.000 --> 00:00:19.000]  Amen
[00:00:19.000 --> 00:00:23.000]  好,今天我們的題目是講終極渴求
[00:00:23.000 --> 00:00:25.000]  原因就是
[00:00:25.000 --> 00:00:27.000]  事緣很快講到
[00:00:27.000 --> 00:00:29.000]  所以上一篇道
[00:00:29.000 --> 00:00:33.000]  其實自己的腦都未能夠完全解開
[00:00:33.000 --> 00:00:35.000]  就已經是第二篇道來了
[00:00:35.000 --> 00:00:37.000]  上次因為講到私慾的問題
[00:00:37.000 --> 00:00:38.000]  在討論的時候
[00:00:38.000 --> 00:00:41.000]  都有些大家聊天的知會都會覺得
[00:00:41.000 --> 00:00:43.000]  其實是怎樣分呢
[00:00:43.000 --> 00:00:44.000]  我們經常都祈禱
[00:00:44.000 --> 00:00:45.000]  很想有些東西
[00:00:45.000 --> 00:00:46.000]  想得到的嘛
[00:00:46.000 --> 00:00:49.000]  譬如很想女兒入港間學校
[00:00:49.000 --> 00:00:51.000]  很想自己找一份工作
[00:00:51.000 --> 00:00:53.000]  其實渴求都是很好的
[00:00:53.000 --> 00:00:55.000]  因為渴求是一個動力來的嘛
[00:00:55.000 --> 00:00:56.000]  令到我們會有
[00:00:56.000 --> 00:00:58.000]  想做好一點
[00:00:58.000 --> 00:00:59.000]  但如果求不成
[00:00:59.000 --> 00:01:01.000]  那求多久才叫做私慾
[00:01:01.000 --> 00:01:02.000]  才不求呢
[00:01:02.000 --> 00:01:05.000]  於是在這個聯誼之下
[00:01:05.000 --> 00:01:08.000]  我就在想渴求這個字
[00:01:08.000 --> 00:01:09.000]  於是就查一下
[00:01:09.000 --> 00:01:11.000]  有沒有其他東西幫幫忙呢
[00:01:11.000 --> 00:01:14.000]  查到英文原來都有幾多
[00:01:14.000 --> 00:01:16.000]  代表是渴求的
[00:01:16.000 --> 00:01:18.000]  其中一個我想我們大家都很熟悉的
[00:01:18.000 --> 00:01:19.000]  就叫desire
[00:01:19.000 --> 00:01:21.000]  就是渴慕的意思
[00:01:21.000 --> 00:01:23.000]  即是你很特別
[00:01:23.000 --> 00:01:24.000]  我們說渴慕主啦
[00:01:24.000 --> 00:01:26.000]  或者是否我們很想
[00:01:26.000 --> 00:01:28.000]  很想買一個層樓就好了
[00:01:28.000 --> 00:01:30.000]  或者現在有些人在儲錢
[00:01:30.000 --> 00:01:31.000]  就很想去日本
[00:01:31.000 --> 00:01:32.000]  那就很開心了
[00:01:32.000 --> 00:01:34.000]  是一些很想很強烈地
[00:01:34.000 --> 00:01:35.000]  想做到的事
[00:01:35.000 --> 00:01:36.000]  當然有些叫
[00:01:36.000 --> 00:01:38.000]  longing to do something
[00:01:38.000 --> 00:01:40.000]  就是一些我們平常用的英文
[00:01:40.000 --> 00:01:42.000]  就是很想做某些事
[00:01:42.000 --> 00:01:44.000]  但查到的字就叫yearn
[00:01:44.000 --> 00:01:46.000]  我有一些卡著了
[00:01:46.000 --> 00:01:48.000]  因為我是冰山人
[00:01:48.000 --> 00:01:51.000]  yearning都是在冰山工具裏面
[00:01:51.000 --> 00:01:53.000]  一個很重要的環節
[00:01:53.000 --> 00:01:56.000]  但是一個很難去理解的環節
[00:01:56.000 --> 00:01:58.000]  但是我沒有想過
[00:01:58.000 --> 00:02:02.000]  原來是中文那裡這樣翻譯
[00:02:02.000 --> 00:02:04.000]  yearn的分別就是渴求一些
[00:02:04.000 --> 00:02:07.000]  你難以得到的東西
[00:02:07.000 --> 00:02:10.000]  即是說有些東西你想要
