
[00:00:00.000 --> 00:00:04.280]  今天是6月3號
[00:00:04.280 --> 00:00:07.280]  如果你還記得去年這個時候
[00:00:07.280 --> 00:00:10.160]  正是我們經歷Shekinah Glory
[00:00:10.160 --> 00:00:12.800]  突破N高的時候
[00:00:12.800 --> 00:00:14.080]  去年5月底
[00:00:14.080 --> 00:00:16.440]  正當我們卡在
[00:00:16.440 --> 00:00:19.960]  Bank of the West對我們停車的要求
[00:00:19.960 --> 00:00:23.800]  我們走投無路 一籌莫展的時候
[00:00:23.800 --> 00:00:27.720]  神忽然間興起香港 上海 商業銀行
[00:00:27.720 --> 00:00:32.400]  在最短的時間內提供我們所需要的貸款
[00:00:32.400 --> 00:00:36.160]  我還記得那是在Memorial Weekend長週末
[00:00:36.160 --> 00:00:39.440]  上海商業銀行在舊金山的分行
[00:00:39.440 --> 00:00:44.680]  特別爲我們加班預備所有的貸款文件
[00:00:44.680 --> 00:00:49.480]  5月29號是Memorial Weekend那一天的晚上
[00:00:49.480 --> 00:00:53.640]  他們向我們提出了正式的貸款提案
[00:00:53.640 --> 00:00:55.480]  我們簽好之後
[00:00:55.480 --> 00:01:01.040]  6月2號我們就拿到銀行正式的Term Sheet
[00:01:01.040 --> 00:01:05.000]  6月6號我們就簽好了Long Document
[00:01:05.000 --> 00:01:07.960]  6月8號Close Escrow
[00:01:07.960 --> 00:01:11.360]  6月9號推土機就開進我們教會了
[00:01:11.360 --> 00:01:13.360]  Hallelujah
[00:01:13.360 --> 00:01:20.320]  回想這一段過程真的像做夢一樣
[00:01:20.320 --> 00:01:24.120]  神所能成就的遠遠超乎我們所求所想的
[00:01:24.120 --> 00:01:25.320]  Amen
[00:01:25.320 --> 00:01:30.200]  當然也許你會說牧師那是一年前的事情
[00:01:30.200 --> 00:01:33.920]  神突破的恩高早已經成爲過去了
[00:01:33.920 --> 00:01:38.240]  但事實上我卻看見這個突破的恩高並沒有過去
[00:01:38.240 --> 00:01:41.680]  反而這個突破的恩高是越來越強
[00:01:41.680 --> 00:01:44.480]  而且影響越來越廣
[00:01:44.480 --> 00:01:48.600]  上個禮拜我去紐約參加美東凌涼特會
[00:01:48.600 --> 00:01:53.560]  這次美東凌涼特會是在紐約豐收凌涼堂
[00:01:53.560 --> 00:01:57.440]  剛剛完成的新堂來舉行
[00:01:57.440 --> 00:01:59.440]  我還記得今年4月初的時候
[00:01:59.440 --> 00:02:02.880]  我們去在那裏舉行開幕典禮的時候
[00:02:02.880 --> 00:02:08.240]  當時他們教會的新堂還有13項檢查還沒通過
[00:02:08.240 --> 00:02:13.200]  只是拿到一個臨時使用執照就開幕典禮了
[00:02:13.200 --> 00:02:15.720]  但現在已經完全完工
[00:02:15.720 --> 00:02:17.680]  樓下可以坐500多人
[00:02:17.680 --> 00:02:20.520]  樓上的Balcony可以坐200多人
[00:02:20.520 --> 00:02:24.320]  這個會堂總共一次可以坐800人
[00:02:24.320 --> 00:02:27.680]  上個主日他們教會的弟兄姐妹一同來
[00:02:27.680 --> 00:02:31.200]  再加上外地凌涼堂的弟兄妹一同參與
[00:02:31.200 --> 00:02:35.280]  整整在整個會堂裏面充滿一千人在那裏聚會
[00:02:35.280 --> 00:02:37.120]  充滿了神的恩典跟榮耀
[00:02:37.120 --> 00:02:40.760]  Amen
[00:02:40.760 --> 00:02:43.640]  不但我們紐約豐收凌涼堂經歷神的恩典
[00:02:43.640 --> 00:02:48.280]  我們在紐約還有另外一間分堂叫紐約生命和凌涼堂
[00:02:48.280 --> 00:02:50.280]  他們也是經歷神的恩典
[00:02:50.280 --> 00:02:54.960]  他們剛剛買到一個在Flushing的Downtown
[00:02:54.960 --> 00:02:57.560]  兩個店鋪合在一起的店鋪
[00:02:57.560 --> 00:03:00.520]  他們買下這個連在一起的店鋪
[00:03:00.520 --> 00:03:03.280]  把他們打通上面做會堂
[00:03:03.280 --> 00:03:05.960]  中間做辦公室跟教室
[00:03:05.960 --> 00:03:08.440]  地下室成爲交誼廳
[00:03:08.440 --> 00:03:10.520]  他們現在正在改建
[00:03:10.520 --> 00:03:12.440]  計劃年底就要完工
[00:03:12.440 --> 00:03:13.440]  Amen
[00:03:13.440 --> 00:03:16.320]  不但紐約的分堂經歷神恩典
[00:03:16.320 --> 00:03:20.200]  我們在Houston的分堂也剛剛買了一個地方
[00:03:20.200 --> 00:03:22.600]  預備改建成爲教會
[00:03:22.600 --> 00:03:25.080]  拉斯維加斯生命和凌涼堂
[00:03:25.080 --> 00:03:29.080]  也剛剛看好一個場地準備要購買
[00:03:29.080 --> 00:03:30.640]  第二點我要說的是
[00:03:30.640 --> 00:03:35.560]  Shakina Glory的恩高並沒有成爲過去
[00:03:35.560 --> 00:03:38.200]  事實上這恩高是越來越強
[00:03:38.200 --> 00:03:40.960]  而且影響越來越廣
[00:03:40.960 --> 00:03:43.360]  今天你在生命和聚會
[00:03:43.360 --> 00:03:45.280]  你絕對不要錯過這個恩高
[00:03:45.280 --> 00:03:47.960]  跟你講你不要錯過這個恩高
[00:03:47.960 --> 00:03:49.800]  你需要認識這恩高
[00:03:49.800 --> 00:03:53.600]  而且緊緊抓住神的應許來跟隨神
[00:03:53.600 --> 00:03:55.560]  你就必得蒙祝福的
[00:03:55.560 --> 00:03:56.560]  Amen
[00:03:56.560 --> 00:04:00.840]  那麼到底這個Shakina Glory的恩高是怎麼樣的恩高呢
[00:04:00.840 --> 00:04:03.200]  今天早上從三方面很快地來分享
